"symbol","date","open","high","low","close","adjclose","volume"
"STT","12/30/2016",77.69,78.22,77.46,77.72,76.68217,1279400
"STT","12/29/2016",78.01,78.29,77.21,77.66,76.62297,1081700
"STT","12/29/2016",0,0,0,0,0,0
"STT","12/28/2016",79.32,79.44,78.25,78.4,76.97816,1174200
"STT","12/27/2016",78.98,79.12,78.57,79,77.56728,1117300
"STT","12/23/2016",79,79,78.14,78.69,77.26291,1107300
"STT","12/22/2016",78.97,79.22,78.57,79,77.56728,1999700
"STT","12/21/2016",78.98,79.07,78.16,78.86,77.42982,1573100
"STT","12/20/2016",79.02,79.91,78.48,79.01,77.57711,2256200
"STT","12/19/2016",78.62,78.95,77.6,78.32,76.89962,2005700
"STT","12/16/2016",80.28,80.28,78.45,78.62,77.19418,2810400
"STT","12/15/2016",80.05,80.72,79.32,80.09,78.63752,2412900
"STT","12/14/2016",79.39,80.91,78.95,79.38,77.94038,2360000
"STT","12/13/2016",80.66,80.93,79.53,80.06,78.60806,1749100
"STT","12/12/2016",80.57,81.49,79.88,80.23,78.77498,1893500
"STT","12/09/2016",81.19,81.19,80.04,80.53,79.06953,2018000
"STT","12/08/2016",80.72,81.91,80,81.44,79.96304,1363200
"STT","12/07/2016",79.43,79.97,79.15,79.92,78.4706,2317600
"STT","12/06/2016",79.83,79.86,78.74,79.61,78.16623,2800200
"STT","12/05/2016",78.98,79.94,78.75,79.16,77.72439,2520700
"STT","12/02/2016",80.06,80.11,78.22,78.44,77.01744,3274200
"STT","12/01/2016",79.13,80.99,79.13,80.39,78.93207,2886500
"STT","11/30/2016",77.77,78.96,77.77,78.8,77.37092,2339300
"STT","11/29/2016",77.03,77.4,76.62,77.01,75.61338,1537400
"STT","11/28/2016",77.82,78.22,76.79,76.86,75.46609,1891000
"STT","11/25/2016",78.17,78.44,77.85,78.44,77.01744,518600
"STT","11/23/2016",78.2,78.93,77.54,78.28,76.86034,1770800
"STT","11/22/2016",78.79,78.94,77.61,78.01,76.59524,1961000
"STT","11/21/2016",78.93,79,78.36,78.59,77.16472,1305300
"STT","11/18/2016",78.4,78.91,77.67,78.5,77.07635,2668300
"STT","11/17/2016",77.73,79.2,77.59,78.52,77.09598,2129200
"STT","11/16/2016",76.58,78.49,76.58,77.88,76.46759,2276400
"STT","11/15/2016",78.04,79.27,77.7,79.25,77.81276,4937400
"STT","11/14/2016",77.38,78.93,77.25,78.51,77.08617,3281700
"STT","11/11/2016",76.25,76.66,75.5,76.45,75.06353,2506300
"STT","11/10/2016",76.55,79.2,76.24,76.74,75.34827,4245500
"STT","11/09/2016",72.91,76,72.39,75.54,74.17004,2776900
"STT","11/08/2016",72,72.69,71.35,72.26,70.94951,1316800
"STT","11/07/2016",71.96,72.38,71.81,72.34,71.02806,1459200
"STT","11/04/2016",70.35,71.3,69.73,70.39,69.11343,1644600
"STT","11/03/2016",69.93,70.87,69.92,70.35,69.07416,2188300
"STT","11/02/2016",70.29,70.34,69.49,69.98,68.71087,2551500
"STT","11/01/2016",70.67,71.16,70.28,70.67,69.38835,2140300
"STT","10/31/2016",70.75,71.02,70.19,70.21,68.93669,1779900
"STT","10/28/2016",70.98,71.22,69.77,70.48,69.20181,1146300
"STT","10/27/2016",70.9,71.9,70.38,70.81,69.52581,2604400
"STT","10/26/2016",71.72,71.89,68.68,70.19,68.91706,2568900
"STT","10/25/2016",71.47,71.74,70.52,70.89,69.60436,2416300
