"symbol","date","open","high","low","close","adjclose","volume"
"T","12/30/2016",42.76,42.83,42.45,42.53,40.50246,16674000
"T","12/29/2016",42.53,42.8,42.53,42.66,40.62626,12312100
"T","12/28/2016",42.65,42.82,42.47,42.52,40.49294,11026900
"T","12/27/2016",42.73,42.84,42.52,42.65,40.61674,11432700
"T","12/23/2016",42.79,42.8,42.47,42.73,40.69293,9641200
"T","12/22/2016",42.24,42.78,42.16,42.72,40.68341,17560600
"T","12/21/2016",42.42,42.57,42.33,42.36,40.34056,13753000
"T","12/20/2016",42.17,42.76,42.14,42.47,40.44532,21164400
"T","12/19/2016",41.67,42.18,41.45,42.12,40.112,20563900
"T","12/16/2016",41.65,41.75,41.42,41.67,39.68346,26493100
"T","12/15/2016",40.9,41.68,40.85,41.5,39.52156,24486600
"T","12/14/2016",41.3,41.55,40.93,41.1,39.14063,26333400
"T","12/13/2016",41.27,41.56,41.22,41.36,39.38824,21159900
"T","12/12/2016",40.56,41.36,40.53,41.12,39.15968,31910100
"T","12/09/2016",40.28,40.42,40.17,40.38,38.45496,17105200
"T","12/08/2016",40.25,40.75,40.19,40.41,38.48353,21999100
"T","12/07/2016",39.49,40.49,39.44,40.45,38.52162,32963400
"T","12/06/2016",38.78,39.42,38.7,39.35,37.47406,23569800
"T","12/05/2016",38.7,38.98,38.63,38.63,36.78839,20773400
"T","12/02/2016",38.84,39.12,38.47,38.61,36.76934,16102200
"T","12/01/2016",38.63,38.91,38.16,38.88,37.02647,27398400
"T","11/30/2016",39.21,39.21,38.62,38.63,36.78839,32679300
"T","11/29/2016",39.58,39.63,39.27,39.48,37.59787,19857200
"T","11/28/2016",39.18,39.67,39.17,39.54,37.65501,26656500
"T","11/25/2016",38.77,39.21,38.73,39.21,37.34073,10844400
"T","11/23/2016",38.42,38.97,38.41,38.73,36.88362,21343400
"T","11/22/2016",37.99,38.74,37.82,38.55,36.7122,26152000
"T","11/21/2016",37.67,37.74,37.46,37.74,35.94082,17247400
"T","11/18/2016",37.45,37.61,37.3,37.56,35.7694,16982200
"T","11/17/2016",37.3,37.69,37.27,37.41,35.62654,21184900
"T","11/16/2016",36.92,37.23,36.85,37.15,35.37894,20636800
"T","11/15/2016",36.16,36.77,36.14,36.77,35.01706,20888800
"T","11/14/2016",36.61,36.63,36.1,36.13,34.40757,25930600
"T","11/11/2016",36.51,36.57,36.3,36.51,34.76945,25316800
"T","11/10/2016",37.47,37.47,36.4,36.57,34.8266,37997400
"T","11/09/2016",36.97,37.53,36.43,37.44,35.65512,34764400
"T","11/08/2016",36.81,37.09,36.81,36.99,35.22657,17717100
"T","11/07/2016",36.79,36.87,36.64,36.81,35.05515,21394400
"T","11/04/2016",36.78,36.82,36.5,36.5,34.75993,23256300
"T","11/03/2016",36.56,36.99,36.39,36.63,34.88373,25546900
"T","11/02/2016",36.6,36.7,36.3,36.37,34.63613,26048800
"T","11/01/2016",36.97,37.19,36.4,36.56,34.81707,27614200
"T","10/31/2016",36.61,36.82,36.52,36.79,35.03611,31383700
"T","10/28/2016",36.65,36.81,36.44,36.51,34.76945,23224100
"T","10/27/2016",36.6,36.89,36.46,36.52,34.77897,43182000
"T","10/26/2016",36.64,36.77,36.27,36.43,34.69327,32878700
"T","10/25/2016",36.86,37.06,36.55,36.7,34.95039,40486400
"T","10/24/2016",36.51,37.33,36.3,36.86,35.10277,100586200
"T","10/21/2016",38.4,38.67,36.96,37.49,35.70274,82765000
"T","10/20/2016",39.05,39.08,38.5,38.65,36.80743,31131500
"T","10/19/2016",39.46,39.57,39.31,39.38,37.50263,11711500
"T","10/18/2016",39.23,39.45,39.15,39.36,37.48359,15597400
"T","10/17/2016",39.1,39.49,39.05,39.27,37.39788,13885000
"T","10/14/2016",39.41,39.58,39.22,39.22,37.35026,13517000
"T","10/13/2016",39.28,39.48,39.02,39.37,37.49311,17546600
"T","10/12/2016",39.15,39.49,39.06,39.33,37.45501,17179900
