"symbol","date","open","high","low","close","adjclose","volume"
"TEL","12/30/2016",70.27,70.52,69,69.28,67.94575,1145800
"TEL","12/29/2016",69.99,70.44,69.69,70.05,68.70091,566300
"TEL","12/28/2016",70.75,70.78,69.89,70,68.65187,889000
"TEL","12/27/2016",70.84,71.03,70.38,70.55,69.19128,886600
"TEL","12/23/2016",70.72,70.79,70.32,70.62,69.25993,506200
"TEL","12/22/2016",70.59,70.76,69.97,70.6,69.24031,979500
"TEL","12/21/2016",70.87,71.21,70.65,70.66,69.29916,633600
"TEL","12/20/2016",70.74,70.97,70.12,70.83,69.46588,756400
"TEL","12/19/2016",69.98,70.58,69.82,70.44,69.0834,1099400
"TEL","12/16/2016",70.86,70.89,69.66,69.74,68.39688,1864300
"TEL","12/15/2016",70.48,71.08,69.98,70.69,69.32859,954100
"TEL","12/14/2016",71.44,71.87,70.5,70.62,69.25993,1074600
"TEL","12/13/2016",71.18,71.82,70.91,71.6,70.22105,1281700
"TEL","12/12/2016",70.74,71.23,70.5,70.87,69.50513,967900
"TEL","12/09/2016",70.74,70.98,70.29,70.75,69.38742,819200
"TEL","12/08/2016",70.41,70.74,70.21,70.6,69.24031,1192100
"TEL","12/07/2016",69.05,70.55,68.85,70.46,69.10301,1732900
"TEL","12/06/2016",69.59,69.88,68.75,69.04,67.71037,3723500
"TEL","12/05/2016",68.16,69.64,67.9,69.39,68.05361,2999200
"TEL","12/02/2016",66.98,67.69,66.88,67.58,66.27847,923800
"TEL","12/01/2016",67.52,67.88,66.53,66.85,65.56254,1555200
"TEL","11/30/2016",67.83,69.4,67.34,67.64,66.33733,1780300
"TEL","11/29/2016",67.64,67.93,67.13,67.22,65.92541,1355500
"TEL","11/28/2016",67.63,68.14,67.6,67.7,66.39617,1123500
"TEL","11/25/2016",67.66,68,67.33,68,66.69038,434500
"TEL","11/23/2016",66.81,67.37,66.67,67.35,66.05291,1111600
"TEL","11/22/2016",66.17,67,66.14,66.92,65.63119,1258100
"TEL","11/22/2016",0,0,0,0,0,0
"TEL","11/21/2016",67,67.31,66.54,66.75,65.10159,1092400
"TEL","11/18/2016",67.07,67.08,66.51,66.67,65.02357,1077300
"TEL","11/17/2016",66.81,67.3,66.46,67.17,65.51121,1170200
"TEL","11/16/2016",66.9,67.35,66.48,66.82,65.16987,1359100
"TEL","11/15/2016",66.87,67.43,66.47,67.25,65.58924,1705100
"TEL","11/14/2016",67.1,67.5,66.45,66.74,65.09184,2096500
"TEL","11/11/2016",66.41,67.01,66.13,66.9,65.24789,1428600
"TEL","11/10/2016",66.37,67.44,66.11,66.77,65.12109,1678200
"TEL","11/09/2016",64.32,66.24,63.43,65.95,64.32134,1829800
"TEL","11/08/2016",64.5,65.61,64.46,65.35,63.73616,1133900
"TEL","11/07/2016",63.38,64.74,63.32,64.71,63.11197,1194700
"TEL","11/04/2016",62.41,63.12,62.22,62.63,61.08334,808700
"TEL","11/03/2016",62.92,63.44,62.29,62.41,60.86877,1476600
"TEL","11/02/2016",64.24,65.47,62.87,62.92,61.36617,2704300
"TEL","11/01/2016",63.05,63.5,62.54,63.29,61.72704,2895700
"TEL","10/31/2016",62.64,62.96,62.25,62.87,61.31741,1517300
"TEL","10/28/2016",62.26,62.86,62.05,62.36,60.82,931000
"TEL","10/27/2016",62.91,63.2,62.03,62.14,60.60543,1022800
"TEL","10/26/2016",61.73,63.27,61.54,62.79,61.23939,1263100
"TEL","10/25/2016",62.82,62.82,61.3,61.9,60.37136,1486900
"TEL","10/24/2016",62.32,62.88,62.32,62.82,61.26865,1220800
"TEL","10/21/2016",61.55,62.04,61.07,61.78,60.25433,933600
"TEL","10/20/2016",61.9,62.15,61.54,62.05,60.51766,831400
"TEL","10/19/2016",61.45,62.17,61.04,61.97,60.43964,950900
