"symbol","date","open","high","low","close","adjclose","volume"
"TJX","12/30/2016",75.94,76.26,74.96,75.13,73.9017,2316700
"TJX","12/29/2016",75.57,75.99,75.48,75.71,74.47221,1857600
"TJX","12/28/2016",76.3,76.38,75.23,75.31,74.07876,2164800
"TJX","12/27/2016",76.53,76.86,76.03,76.25,75.00339,1249600
"TJX","12/23/2016",76.44,76.9,76.28,76.44,75.19028,1590400
"TJX","12/22/2016",77.18,77.21,76.19,76.44,75.19028,2747700
"TJX","12/21/2016",77.38,77.87,77.02,77.45,76.18376,2299600
"TJX","12/20/2016",77.2,77.87,76.91,77.62,76.35099,2518900
"TJX","12/19/2016",76.73,77.46,76.64,76.94,75.68211,3030800
"TJX","12/16/2016",77.5,77.75,76.62,76.77,75.51488,5626200
"TJX","12/15/2016",77.43,77.92,77.08,77.42,76.15426,3097800
"TJX","12/14/2016",78.32,78.54,77.22,77.3,76.03622,3644800
"TJX","12/13/2016",77.34,78.59,76.95,78.26,76.98053,3928800
"TJX","12/12/2016",77.68,77.87,76.74,77.09,75.82964,3914800
"TJX","12/09/2016",78.1,78.26,77.2,78.03,76.75429,2823100
"TJX","12/08/2016",78.34,78.54,77.69,77.98,76.70512,2930900
"TJX","12/07/2016",77.44,78.26,77.29,78.19,76.91168,3562400
"TJX","12/06/2016",77.53,77.58,77.06,77.44,76.17393,2602300
"TJX","12/05/2016",77.14,77.98,76.89,77.33,76.06573,4188900
"TJX","12/02/2016",77.67,77.97,76.96,77.1,75.83949,3195900
"TJX","12/01/2016",78.08,78.56,77.54,77.67,76.40017,3492300
"TJX","11/30/2016",78.46,79.05,78.25,78.34,77.05921,4146900
"TJX","11/29/2016",78.78,79.16,78.68,78.81,77.52153,3180900
"TJX","11/28/2016",78.83,79.24,78.54,78.65,77.36415,2960400
"TJX","11/25/2016",79.36,79.79,79.07,79.24,77.94451,1366600
"TJX","11/23/2016",79.03,79.71,78.89,79.43,78.1314,2571000
"TJX","11/22/2016",77.96,79.72,77.79,79.31,78.01335,5491700
"TJX","11/21/2016",77.48,77.72,77.18,77.67,76.40017,4961500
"TJX","11/18/2016",76.94,77.93,76.47,77.73,76.4592,4867600
"TJX","11/17/2016",76.08,77.14,75.44,77.1,75.83949,5215100
"TJX","11/16/2016",73.5,76.52,73.5,76.39,75.14111,6303200
"TJX","11/15/2016",73.3,74.65,72.32,73.49,72.28851,6172600
"TJX","11/14/2016",75.52,76.04,73.96,74.22,73.00658,5747700
"TJX","11/11/2016",74.89,75.51,74.62,75.39,74.15745,3461900
"TJX","11/10/2016",74.39,76.08,74.39,75.39,74.15745,5156400
"TJX","11/09/2016",71.89,74.15,71.5,73.94,72.73116,3875300
"TJX","11/08/2016",73.13,73.7,72.81,73.23,72.03276,3361500
"TJX","11/08/2016",0,0,0,0,0,0
"TJX","11/07/2016",72.8,73.35,72.34,73.33,71.87537,4259500
"TJX","11/04/2016",72.07,72.51,71.73,71.92,70.49334,2990800
"TJX","11/03/2016",72.88,73.18,71.63,71.8,70.37573,2656300
"TJX","11/02/2016",72.33,73.15,72.3,72.74,71.29707,2732500
"TJX","11/01/2016",73.68,73.76,72.34,72.47,71.03243,2855700
"TJX","10/31/2016",73.55,73.83,73.23,73.75,72.28704,2673300
"TJX","10/28/2016",73.31,73.97,73.03,73.48,72.0224,1476000
"TJX","10/27/2016",74.03,74.27,73.11,73.18,71.72835,2276000
"TJX","10/26/2016",73.26,74.29,73.14,74.09,72.6203,1777200
"TJX","10/25/2016",73.67,73.89,72.97,73.62,72.15963,2483200
"TJX","10/24/2016",73.87,74.23,73.61,74.18,72.70852,1949400
"TJX","10/21/2016",73.25,73.7,72.8,73.49,72.0322,1993900
"TJX","10/20/2016",73.7,73.85,73.23,73.29,71.83617,1554800
"TJX","10/19/2016",73.4,73.6,72.78,73.46,72.0028,2169300
"TJX","10/18/2016",73.8,73.97,72.51,73.16,71.70875,2083300
"TJX","10/17/2016",74.06,74.18,73.19,73.32,71.86557,2106300
"TJX","10/14/2016",74.67,74.74,74.21,74.23,72.75753,2584700
"TJX","10/13/2016",75.08,75.09,73.9,74.47,72.99277,2881600
"TJX","10/12/2016",74.18,75.55,74.04,75.39,73.89452,2827500
"TJX","10/11/2016",74.53,74.84,74.18,74.23,72.75753,2846100
"TJX","10/10/2016",74.62,75.22,74.45,74.83,73.34563,3012200
"TJX","10/07/2016",74.87,75.15,73.24,73.74,72.27724,4993200
"TJX","10/06/2016",73.98,74.4,73.56,74.22,72.74772,2575700
"TJX","10/05/2016",74.42,74.9,74.12,74.2,72.72813,2111100
"TJX","10/04/2016",74.43,74.94,74.16,74.39,72.91434,2712800
"TJX","10/03/2016",74.43,74.82,74.31,74.35,72.87514,3276000
"TJX","09/30/2016",74.53,74.97,74.17,74.78,73.29662,3117900
"TJX","09/29/2016",74.55,74.66,73.84,73.87,72.40466,2808900
"TJX","09/28/2016",75.27,75.47,74.16,74.39,72.91434,2676400
"TJX","09/27/2016",75.27,75.52,74.94,75.24,73.74749,2838800
"TJX","09/26/2016",75.65,75.65,74.83,75.18,73.68867,3396100
"TJX","09/23/2016",76.48,76.7,75.9,76.02,74.51201,3603600
"TJX","09/22/2016",76.6,77.13,76.13,76.5,74.98249,3044200
"TJX","09/21/2016",75.19,76.14,75.11,76.1,74.59043,2458800
"TJX","09/20/2016",75,76.3,74.94,75.06,73.57105,3511800
"TJX","09/19/2016",75.05,75.26,74.68,74.69,73.2084,2186600
"TJX","09/16/2016",74.67,75.09,74.34,74.67,73.1888,3490300
"TJX","09/15/2016",74.09,75.22,73.94,75.04,73.55146,4856700
"TJX","09/14/2016",74.38,74.6,73.9,74.17,72.69871,3562000
