"symbol","date","open","high","low","close","adjclose","volume"
"USB","12/30/2016",51.5,51.61,51.21,51.37,50.53733,5184600
"USB","12/29/2016",51.75,51.87,51.04,51.3,50.46846,4565700
"USB","12/28/2016",52.12,52.26,51.78,51.78,50.94068,8111900
"USB","12/28/2016",0,0,0,0,0,0
"USB","12/27/2016",52.33,52.39,52.2,52.31,51.18663,3135800
"USB","12/23/2016",52.29,52.33,52.07,52.2,51.07899,3771200
"USB","12/22/2016",51.99,52.28,51.97,52.15,51.03007,5141200
"USB","12/21/2016",52.47,52.5,52.17,52.17,51.04964,3871600
"USB","12/20/2016",52.13,52.68,52.06,52.54,51.41169,6144300
"USB","12/19/2016",51.59,51.98,51.38,51.87,50.75608,5439400
"USB","12/16/2016",52.23,52.23,51.61,51.74,50.62888,9606300
"USB","12/15/2016",51.97,52.31,51.48,51.98,50.86372,7602000
"USB","12/14/2016",51.31,52.3,51.19,51.73,50.61909,9356800
"USB","12/13/2016",51.73,51.92,51.19,51.7,50.58973,7358600
"USB","12/12/2016",51.89,52.1,51.45,51.58,50.47231,6113400
"USB","12/09/2016",51.9,52.08,51.59,52.04,50.92244,8612900
"USB","12/08/2016",51.56,52.29,51.56,51.9,50.78543,10423500
"USB","12/07/2016",50.74,51.4,50.49,51.36,50.25703,9559000
"USB","12/06/2016",50.53,50.77,50.23,50.73,49.64056,9259100
"USB","12/05/2016",50.41,50.63,50.19,50.36,49.27851,7209600
"USB","12/02/2016",50.35,50.42,49.84,50,48.92624,5864800
"USB","12/01/2016",49.81,50.62,49.63,50.39,49.30787,10571300
"USB","11/30/2016",49.57,49.77,49.43,49.62,48.5544,6887100
"USB","11/29/2016",49.12,49.35,49.01,49.1,48.04557,5726600
"USB","11/28/2016",49.14,49.45,48.78,48.9,47.84986,5887300
"USB","11/25/2016",49.36,49.5,49.12,49.42,48.35869,2631500
"USB","11/23/2016",49.3,49.5,49.08,49.35,48.2902,7053400
"USB","11/22/2016",49.27,49.57,48.77,49.03,47.97707,10580100
"USB","11/21/2016",49.32,49.39,49.01,49.28,48.2217,5184100
"USB","11/18/2016",48.74,49.4,48.66,49.23,48.17278,9090500
"USB","11/17/2016",48.1,48.77,47.98,48.68,47.63459,9369800
"USB","11/16/2016",47.59,48.39,47.59,47.87,46.84198,10771100
"USB","11/15/2016",48.26,48.73,48.04,48.7,47.65416,13446700
"USB","11/14/2016",48.07,48.75,47.81,48.73,47.68351,15161800
"USB","11/11/2016",47.57,47.96,47.43,47.9,46.87134,9661100
"USB","11/10/2016",47.05,48.5,46.98,47.61,46.58757,17493900
"USB","11/09/2016",45.45,46.93,45.13,46.67,45.66775,14953300
"USB","11/08/2016",44.78,45.09,44.59,44.98,44.01404,4504000
"USB","11/07/2016",44.66,44.93,44.65,44.92,43.95533,6908800
"USB","11/04/2016",44.15,44.4,43.83,43.93,42.9866,6284100
"USB","11/03/2016",44.01,44.48,43.93,44.05,43.10402,5532800
"USB","11/02/2016",44.24,44.33,43.92,44,43.05509,7794000
"USB","11/01/2016",44.88,45,44.1,44.46,43.50521,9440300
"USB","10/31/2016",44.82,44.96,44.69,44.76,43.79877,7262200
"USB","10/28/2016",44.79,44.91,44.39,44.64,43.68135,8548400
"USB","10/27/2016",44.43,45.14,44.38,44.7,43.74006,12715600
"USB","10/26/2016",43.72,44.37,43.7,44.23,43.28016,6012500
"USB","10/25/2016",43.96,44.17,43.78,43.84,42.89853,5589600
"USB","10/24/2016",44.08,44.15,43.94,44.02,43.07466,4919500
