"symbol","date","open","high","low","close","adjclose","volume"
"V","12/30/2016",78.43,78.54,77.94,78.02,77.47159,7127300
"V","12/29/2016",78.49,78.84,78.3,78.33,77.77943,6016300
"V","12/28/2016",78.4,78.65,77.97,78.3,77.74963,7587100
"V","12/27/2016",78.27,78.85,78.23,78.35,77.79928,3776000
"V","12/23/2016",78.08,78.48,77.9,78.15,77.60068,6189700
"V","12/22/2016",78.02,78.06,77.19,77.9,77.35245,12074000
"V","12/21/2016",78.48,78.55,77.98,78.14,77.59075,9343600
"V","12/20/2016",78.41,78.58,77.69,78.36,77.80921,6917400
"V","12/19/2016",78.04,78.6,78.02,78.1,77.55104,8699100
"V","12/16/2016",79.22,79.46,78.17,78.35,77.79928,18869100
"V","12/15/2016",79.37,80.39,79.13,79.5,78.94119,14070900
"V","12/14/2016",79.28,79.98,79.12,79.13,78.57378,20146200
"V","12/13/2016",78.81,79.5,78.25,79.2,78.6433,12995100
"V","12/12/2016",78.99,79.03,77.92,78.5,77.94822,11942300
"V","12/09/2016",79.15,79.93,78.83,79.14,78.58372,10728300
"V","12/08/2016",79.68,79.87,78.97,79.28,78.72274,13320100
"V","12/07/2016",77.27,79.49,77.25,79.31,78.75253,13919800
"V","12/06/2016",77.94,77.97,76.71,77.11,76.56799,13896600
"V","12/05/2016",76.63,77.6,76.55,77.31,76.76659,12119200
"V","12/02/2016",75.4,76.25,75.17,75.72,75.18776,13629600
"V","12/01/2016",77.57,77.62,75.25,75.43,74.8998,21053000
"V","11/30/2016",79.45,79.45,77.28,77.32,76.77652,15353900
"V","11/29/2016",79.12,79.58,78.95,79.15,78.59365,8575200
"V","11/28/2016",79.66,80.01,79.05,79.08,78.52415,11793100
"V","11/25/2016",79.99,80.37,79.74,80.13,79.56676,6495700
"V","11/23/2016",79.98,79.99,78.95,79.57,79.0107,12802600
"V","11/22/2016",81.69,81.69,79.26,79.93,79.36817,18133900
"V","11/21/2016",81.23,81.78,80.9,81.69,81.11581,8942100
"V","11/18/2016",81.15,81.5,80.53,80.82,80.25192,7920800
"V","11/17/2016",80.32,81.2,80.18,81.07,80.50016,8081800
"V","11/16/2016",78.79,80.19,78.76,80.08,79.51712,9891200
"V","11/16/2016",0,0,0,0,0,0
"V","11/15/2016",78.23,79.54,77.8,78.57,77.85389,18523400
"V","11/14/2016",82.02,82.22,77.3,78.38,77.66561,21647000
"V","11/11/2016",81.59,82.63,81.52,81.88,81.13372,7368000
"V","11/10/2016",83.3,83.96,81.42,81.87,81.12382,17171600
"V","11/09/2016",81.81,83.3,81.22,83.24,82.48132,12158500
"V","11/08/2016",82.39,83.16,82.15,82.88,82.1246,7100600
"V","11/07/2016",81.64,82.53,81.45,82.51,81.75798,7277900
"V","11/04/2016",80.65,81.24,80.33,80.36,79.62757,7588100
"V","11/03/2016",80.75,81.13,80.54,80.65,79.91493,7563100
"V","11/02/2016",80.89,81.38,80.52,80.58,79.84557,9170900
"V","11/01/2016",82.64,82.69,81.33,81.62,80.87609,10881500
"V","10/31/2016",82.44,82.9,82.36,82.51,81.75798,10024000
"V","10/28/2016",82.52,83.36,82.11,82.22,81.47062,10919600
"V","10/27/2016",81.96,82.27,81.61,81.92,81.17335,7039200
"V","10/26/2016",81.62,82.26,81.41,81.75,81.00491,8748400
"V","10/25/2016",83.17,83.17,81.7,82.03,81.28236,15085900
"V","10/24/2016",83.27,83.59,82.71,83.17,82.41196,16267000
"V","10/21/2016",82.02,82.54,81.58,82.35,81.59944,8043200
"V","10/20/2016",83.05,83.1,82.17,82.5,81.74806,6945200
"V","10/19/2016",81.65,82.87,81.65,82.81,82.05524,8440900
"V","10/18/2016",81.5,82.37,81.35,81.58,80.83646,11621200
"V","10/17/2016",82.58,82.69,82.04,82.15,81.40126,8473700
"V","10/14/2016",82.04,83.19,82.04,82.45,81.69852,6698100
"V","10/13/2016",81.65,82.13,81.11,81.87,81.12382,6810900
"V","10/12/2016",81.84,82.54,81.82,82.25,81.50034,3923600
"V","10/11/2016",82.68,82.79,81.57,82.04,81.29227,6227400
"V","10/10/2016",83.13,83.54,82.94,83.12,82.36242,7341100
"V","10/07/2016",83.49,83.7,82.64,82.88,82.1246,8238100
"V","10/06/2016",83.12,83.48,82.88,83.36,82.60023,7687100
"V","10/05/2016",82.96,83.45,82.9,83.35,82.59032,6163400
"V","10/04/2016",83.28,83.53,82.58,82.73,81.97598,5772000
"V","10/03/2016",82.42,83.11,82.3,82.86,82.10479,8155400
"V","09/30/2016",82.16,83.04,81.68,82.7,81.94624,9776800
"V","09/29/2016",82.72,83.06,81.79,81.92,81.17335,5885400
"V","09/28/2016",82.38,83.01,81.94,82.97,82.2138,7974300
"V","09/27/2016",81.79,82.38,81.5,82.16,81.41117,7969500
"V","09/26/2016",82.15,82.26,81.69,81.81,81.06436,8486800
"V","09/23/2016",83.33,83.45,82.52,82.54,81.7877,8283700
"V","09/22/2016",83.42,83.79,83.2,83.36,82.60023,6599400
"V","09/21/2016",82.92,83.25,82.27,83.22,82.4615,7536200
"V","09/20/2016",82.97,83.23,82.32,82.48,81.72826,6473300
"V","09/19/2016",82.43,83.04,82.23,82.51,81.75798,8338300
"V","09/16/2016",81.74,82.26,81.42,82.07,81.32199,11702000
"V","09/15/2016",81.42,82.13,81.19,82.01,81.26254,10580300
"V","09/14/2016",81.46,82.22,81.45,81.49,80.74727,10999500
"V","09/13/2016",82.41,82.44,81.62,81.89,81.14362,8834300
"V","09/12/2016",81.34,83.13,81.18,82.97,82.2138,9882700
"V","09/09/2016",82.4,82.81,81.33,81.33,80.58873,11563000
"V","09/08/2016",83.02,83.63,82.59,82.97,82.2138,7882800
"V","09/07/2016",82.48,83.26,82.36,83.24,82.48132,9304700
"V","09/06/2016",82,82.53,81.81,82.53,81.77779,8140400
"V","09/02/2016",81.57,82.15,81.5,82,81.25263,6408900
"V","09/01/2016",81.14,81.55,80.97,81.3,80.55902,6240600
"V","08/31/2016",80.95,81.2,80.71,80.9,80.16265,7386100
"V","08/30/2016",81,81.19,80.72,81.17,80.43019,4128700
"V","08/29/2016",80.54,80.99,80.54,80.87,80.13293,4709100
"V","08/26/2016",80.62,81.14,80.17,80.57,79.83566,7932200
"V","08/25/2016",80.29,80.52,80,80.32,79.58794,5773700
"V","08/24/2016",80.8,80.98,80.19,80.29,79.55821,5028000
"V","08/23/2016",81.37,81.76,80.8,80.8,80.06356,10007800
"V","08/22/2016",80.34,81.08,79.96,81.06,80.32119,7954500
"V","08/19/2016",80.01,80.47,79.74,80.47,79.73658,8480900
"V","08/18/2016",80.01,80.59,79.91,80.27,79.53838,7453900
"V","08/17/2016",80.71,80.86,80.4,80.84,80.1032,4655400
"V","08/17/2016",0,0,0,0,0,0
"V","08/16/2016",80.42,80.91,80.22,80.81,79.93475,6182600
"V","08/15/2016",80.13,81.15,80.02,80.91,80.03366,6290300
"V","08/12/2016",79.8,80.08,79.65,80.02,79.15331,4420400
"V","08/11/2016",80,80.28,79.84,80.12,79.25224,6519800
"V","08/10/2016",79.97,80.22,79.51,79.68,78.81698,5945500
"V","08/09/2016",79.96,80.48,79.95,80.06,79.19286,4455700
"V","08/08/2016",80.23,80.34,79.8,79.95,79.08405,5119700
"V","08/05/2016",79.73,80.24,79.66,80.14,79.272,6662500
"V","08/04/2016",78.83,79.65,78.75,79.48,78.61916,5942100
"V","08/03/2016",78.28,78.71,78.21,78.71,77.85749,7272700
"V","08/02/2016",78.07,78.47,77.75,78.28,77.43215,7910000
"V","08/01/2016",78.31,78.53,77.73,78.26,77.41238,8908800
"V","07/29/2016",79.24,79.35,78,78.05,77.20465,7777700
"V","07/28/2016",78.69,80,78.55,79.19,78.3323,8709700
"V","07/27/2016",78.46,78.79,77.53,78.53,77.67944,10185100
"V","07/26/2016",78.98,79.06,77.94,78.49,77.63988,9673200
"V","07/25/2016",80.17,80.17,78.73,78.94,78.08501,7979900
"V","07/22/2016",79.98,80.08,78.33,79.91,79.04449,12532400
"V","07/21/2016",79.44,79.73,78.4,78.79,77.93663,9018000
"V","07/20/2016",78.75,79.75,78.75,79.36,78.50045,7922100
