"symbol","date","open","high","low","close","adjclose","volume"
"VIAB","12/30/2016",35.4,35.73,35,35.1,34.26314,2542200
"VIAB","12/29/2016",35.5,35.7,35.2,35.28,34.43885,1824700
"VIAB","12/28/2016",35.89,35.96,35.46,35.52,34.67313,2008600
"VIAB","12/27/2016",35.06,36.15,35.03,35.79,34.9367,4023500
"VIAB","12/23/2016",35.09,35.48,34.86,35.15,34.31195,2102800
"VIAB","12/22/2016",35.11,35.31,34.69,35.15,34.31195,3630900
"VIAB","12/21/2016",34.46,35.3,34.44,35.25,34.40956,4045300
"VIAB","12/20/2016",34.51,34.71,34.36,34.63,33.80434,2227700
"VIAB","12/19/2016",35.2,35.39,34.29,34.49,33.66769,3749200
"VIAB","12/16/2016",35.15,36.32,34.92,35.22,34.38028,7198400
"VIAB","12/15/2016",34.91,35.12,34.6,34.91,34.07767,4899900
"VIAB","12/14/2016",34.95,35.14,34.58,34.6,33.77506,4827400
"VIAB","12/13/2016",34.38,35.56,33.94,34.96,34.12648,6636000
"VIAB","12/13/2016",0,0,0,0,0,0
"VIAB","12/12/2016",36.55,37.21,34.86,34.99,33.96053,14901700
"VIAB","12/09/2016",38.75,39.49,38.25,38.62,37.48373,3251200
"VIAB","12/08/2016",38.1,38.94,37.78,38.8,37.65844,4834100
"VIAB","12/07/2016",36.46,38.27,36.45,38.01,36.89168,4700800
"VIAB","12/06/2016",36.63,36.8,36.38,36.54,35.46493,3020200
"VIAB","12/05/2016",36.83,36.85,36.45,36.63,35.55228,3927300
"VIAB","12/02/2016",37.2,37.45,36.32,36.52,35.44552,2542700
"VIAB","12/01/2016",37.47,37.94,37.13,37.26,36.16374,3677500
"VIAB","11/30/2016",37,37.75,37,37.48,36.37727,4316500
"VIAB","11/29/2016",36.73,37.18,36.63,36.95,35.86287,3380000
"VIAB","11/28/2016",37.46,37.82,36.75,36.79,35.70757,2223100
"VIAB","11/25/2016",36.68,37.73,36.26,37.64,36.53257,1323900
"VIAB","11/23/2016",37.16,37.46,36.94,37.25,36.15404,1751400
"VIAB","11/22/2016",37.36,37.64,37.2,37.23,36.13462,4249200
"VIAB","11/21/2016",37.82,38.23,37.19,37.21,36.11522,2711400
"VIAB","11/18/2016",38.58,38.78,37.71,37.77,36.65874,2745200
"VIAB","11/17/2016",38.41,38.8,38.31,38.61,37.47402,2212100
"VIAB","11/16/2016",38.59,38.94,38.43,38.58,37.44491,2087700
