"symbol","date","open","high","low","close","adjclose","volume"
"WM","12/30/2016",71.27,71.5,70.75,70.91,69.33755,1230600
"WM","12/29/2016",71,71.24,70.93,71.01,69.43533,871200
"WM","12/28/2016",71,71.4,70.9,70.96,69.38644,1098800
"WM","12/27/2016",70.96,71.11,70.85,70.96,69.38644,708400
"WM","12/23/2016",70.96,71.11,70.76,70.92,69.34733,910700
"WM","12/22/2016",70.69,70.93,70.61,70.79,69.22021,1608700
"WM","12/21/2016",71.1,71.35,70.68,70.69,69.12243,1440700
"WM","12/20/2016",71.25,71.78,71.1,71.14,69.56245,1460800
"WM","12/19/2016",70.74,71.36,70.66,71.09,69.51356,2249700
"WM","12/16/2016",70.33,70.81,70,70.08,68.52596,3361900
"WM","12/15/2016",69.89,70.41,69.87,70.1,68.54551,3199700
"WM","12/14/2016",71.03,71.1,69.99,70.04,68.48684,2384200
"WM","12/13/2016",70.76,71.17,70.39,70.83,69.25932,1788000
"WM","12/12/2016",69.94,70.77,69.87,70.7,69.1322,1402100
"WM","12/09/2016",70.07,70.23,69.76,70.02,68.46728,1628100
"WM","12/08/2016",69.91,70.28,69.79,70.06,68.50639,1385200
"WM","12/07/2016",69.46,69.95,68.97,69.94,68.38906,2539200
"WM","12/06/2016",68.89,69.53,68.84,69.51,67.9686,2257400
"WM","12/05/2016",69.9,70.22,68.88,69,67.4699,2621300
"WM","12/02/2016",69.58,70.41,69.41,69.87,68.32062,1834600
"WM","12/01/2016",69.62,69.81,68.93,69.29,67.75347,2392900
"WM","11/30/2016",70.36,70.36,69.52,69.52,67.97837,2896700
"WM","11/30/2016",0,0,0,0,0,0
"WM","11/29/2016",70.02,70.67,69.9,70.39,68.42817,2391200
"WM","11/28/2016",70,70.36,69.76,70.23,68.27264,1514700
"WM","11/25/2016",69.59,70.13,69.53,70.03,68.0782,750500
"WM","11/23/2016",69.54,69.92,69.37,69.54,67.60186,1422100
"WM","11/22/2016",69.67,69.9,69.49,69.57,67.63103,1591100
"WM","11/21/2016",68.99,69.58,68.81,69.53,67.59215,1635200
"WM","11/18/2016",68.76,68.97,68.52,68.9,66.9797,2078900
"WM","11/17/2016",68.58,68.91,68.42,68.77,66.85332,1864000
"WM","11/16/2016",68.66,69.45,68.3,68.71,66.79499,2559900
"WM","11/15/2016",67.84,68.68,67.75,68.65,66.73667,2988200
"WM","11/14/2016",67.65,68,67.14,67.72,65.83258,1953900
"WM","11/11/2016",66.4,67.87,66.4,67.61,65.72565,2424900
"WM","11/10/2016",66,66.66,65.56,66.54,64.68548,2748500
"WM","11/09/2016",64.68,66.1,64.32,65.96,64.12164,2532900
"WM","11/08/2016",64.68,65.58,64.52,65.3,63.48004,1704000
"WM","11/07/2016",64.26,64.75,64.04,64.7,62.89676,1905000
"WM","11/04/2016",63.41,63.72,63.35,63.37,61.60382,1136600
"WM","11/03/2016",63.64,63.64,63.19,63.41,61.64271,1069700
"WM","11/02/2016",64.07,64.28,63.5,63.64,61.8663,1853500
"WM","11/01/2016",64.92,65,63.79,63.95,62.16766,2696000
"WM","10/31/2016",64.93,65.87,64.92,65.66,63.83001,3529600
"WM","10/28/2016",63.51,64.43,63.51,63.98,62.19683,2556300
"WM","10/27/2016",64.19,64.44,63.22,63.36,61.5941,2113000
"WM","10/26/2016",64.04,64.25,62.96,63.97,62.1871,2276500
"WM","10/25/2016",62.48,63.39,62.33,62.74,60.99139,2363200
"WM","10/24/2016",62.4,62.71,62.4,62.58,60.83585,1263500
"WM","10/21/2016",62.02,62.25,61.59,62.21,60.47615,1158400
"WM","10/20/2016",62.4,62.59,62.17,62.44,60.69974,979500
"WM","10/19/2016",62.55,62.59,61.98,62.43,60.69002,1394700
"WM","10/18/2016",63.05,63.15,62.45,62.54,60.79696,937000
"WM","10/17/2016",61.87,62.82,61.81,62.64,60.89417,1733100
"WM","10/14/2016",61.85,62.46,61.74,61.88,60.15535,1869100
"WM","10/13/2016",62.1,62.22,61.08,61.7,59.98037,2567400
"WM","10/12/2016",62.54,63.14,62.36,62.82,61.06915,1826000
"WM","10/11/2016",62.61,62.85,62.22,62.43,60.69002,1440900
"WM","10/10/2016",62.34,62.86,62.34,62.78,61.03027,2355400
"WM","10/07/2016",62.73,62.85,62.28,62.28,60.5442,2323000
"WM","10/06/2016",62.37,63,62.06,62.78,61.03027,2706100
"WM","10/05/2016",62.82,62.96,62.26,62.41,60.67058,1665500
"WM","10/04/2016",63.47,63.58,62.38,62.65,60.90389,1813900
"WM","10/03/2016",63.7,63.76,63.38,63.46,61.69131,1230600
"WM","09/30/2016",63.49,64.04,63.4,63.76,61.98295,2471700
"WM","09/29/2016",63.73,63.78,63.21,63.27,61.50661,1650800
"WM","09/28/2016",63.96,64.16,63.72,63.85,62.07045,1455700
"WM","09/27/2016",63.71,64.03,63.71,63.89,62.10933,2660600
"WM","09/26/2016",63.31,63.67,63.09,63.5,61.7302,1450100
"WM","09/23/2016",63.12,63.74,63.12,63.36,61.5941,1922500
"WM","09/22/2016",64.2,64.25,63.7,64.01,62.22599,5233200
"WM","09/21/2016",63.36,64.05,63.25,64,62.21627,2558200
"WM","09/20/2016",63.48,63.7,63.17,63.22,61.458,3085300
"WM","09/19/2016",62.66,63.17,62.57,62.99,61.23441,2500800
