"symbol","date","open","high","low","close","adjclose","volume"
"CF","12/29/2017",42.94,43.29,42.29,42.54,42.54,1426200
"CF","12/28/2017",42.94,43.42,42.46,42.61,42.61,1870800
"CF","12/27/2017",42.54,43.1,42.21,43.07,43.07,3087400
"CF","12/26/2017",41.8,43.04,41.71,42.85,42.85,1853400
"CF","12/22/2017",41.36,42.07,41.1,41.71,41.71,5559700
"CF","12/21/2017",40.93,41.32,40.88,41.25,41.25,3096000
"CF","12/20/2017",41.29,41.36,40.85,40.88,40.88,2258100
"CF","12/19/2017",41.07,41.62,40.82,41.2,41.2,3126600
"CF","12/18/2017",41.45,41.64,40.6,40.93,40.93,4759000
"CF","12/15/2017",40.94,41.17,39.95,41.09,41.09,5468800
"CF","12/14/2017",41.07,41.46,40.92,41.02,41.02,3845500
"CF","12/13/2017",40.77,41.41,40.6,41.26,41.26,3007900
"CF","12/12/2017",39.28,41.8,39.2,40.6,40.6,7533700
"CF","12/11/2017",39.25,39.64,39.1,39.4,39.4,3051100
"CF","12/08/2017",38.41,39.68,38.4,39.26,39.26,4567200
"CF","12/07/2017",37.18,38.3,36.51,38.22,38.22,2349700
"CF","12/06/2017",37.02,37.24,36.52,36.55,36.55,3585900
"CF","12/05/2017",36.82,37.97,36.71,37.36,37.36,3051800
"CF","12/04/2017",37.95,38.69,36.84,36.9,36.9,4266400
"CF","12/01/2017",37.59,37.85,36.76,37.59,37.59,2837100
"CF","11/30/2017",36.77,37.63,36.77,37.47,37.47,2683600
"CF","11/29/2017",36.57,37.03,36.28,36.85,36.85,2799900
"CF","11/28/2017",35.81,36.54,35.72,36.45,36.45,3180700
"CF","11/27/2017",36.05,36.41,35.84,35.92,35.92,3235600
"CF","11/24/2017",35.82,36.32,35.39,35.94,35.94,1893100
"CF","11/22/2017",36.69,36.8,36.17,36.31,36.31,2567900
"CF","11/21/2017",35.96,36.89,35.96,36.45,36.45,2559800
"CF","11/20/2017",35.34,35.86,35.03,35.78,35.78,2332800
"CF","11/17/2017",35.89,36.04,35.25,35.48,35.48,4330200
"CF","11/16/2017",35.35,36.83,35.3,36.17,36.17,3147300
"CF","11/15/2017",35.11,35.5,33.5,35.32,35.32,4213100
"CF","11/14/2017",35.68,36.62,35.01,35.52,35.52,3518800
"CF","11/14/2017",0,0,0,0,0,0
"CF","11/13/2017",36.96,37.72,36.83,37.37,37.07,2634900
"CF","11/10/2017",37.26,37.92,37,37.28,36.98072,3391300
"CF","11/09/2017",37.52,38.01,36.77,37.14,36.84185,3156500
"CF","11/08/2017",36.97,37.86,36.52,37.78,37.47671,3320500
"CF","11/07/2017",37.74,38,36.42,36.89,36.59385,6080500
"CF","11/06/2017",38.67,39.32,38.6,39.21,38.89523,3938600
"CF","11/03/2017",38.75,38.85,37.81,38.6,38.29012,3506300
"CF","11/02/2017",38.74,39.04,36.71,38.55,38.24052,5965800
"CF","11/01/2017",38.25,38.5,37.58,38.04,37.73462,4439000
"CF","10/31/2017",37.62,38.1,37.42,37.98,37.6751,4838600
"CF","10/30/2017",37.51,38.06,37.33,37.37,37.07,3952100
"CF","10/27/2017",37.15,37.53,36.67,37.11,36.81209,2659100
"CF","10/26/2017",37.31,37.53,36.62,37.45,37.14936,2317400
"CF","10/25/2017",37.47,38.01,37.17,37.68,37.37751,3350300
"CF","10/24/2017",36.74,37.68,36.56,37.61,37.30807,3257400
"CF","10/23/2017",36.9,37.19,36.28,36.31,36.01851,2501000
"CF","10/20/2017",36.75,37.02,36.36,36.99,36.69305,3194000
"CF","10/19/2017",36.54,36.77,36.01,36.33,36.03835,3192800
"CF","10/18/2017",37.02,37.31,36.26,36.83,36.53434,3160900
"CF","10/17/2017",36.9,37.39,36.47,37,36.70297,4643600
"CF","10/16/2017",36.76,37.29,36.47,36.89,36.59385,4278200
"CF","10/13/2017",36.07,37,35.93,36.8,36.50457,6124100
"CF","10/12/2017",34.92,35.87,34.91,35.84,35.55228,4026600
"CF","10/11/2017",34.5,34.96,33.95,34.91,34.62975,5852100
"CF","10/10/2017",34.44,34.56,34.05,34.48,34.2032,2979800
"CF","10/09/2017",34.36,34.68,33.93,34.44,34.16352,2712400
"CF","10/06/2017",34.87,34.9,33.98,34.2,33.92545,3331500
"CF","10/05/2017",35.17,35.25,34.83,35.03,34.74878,2199000
"CF","10/04/2017",35.42,35.86,34.91,35.1,34.81822,2334400
"CF","10/03/2017",35.53,35.72,35.03,35.39,35.10589,3332800
"CF","10/02/2017",35.11,35.53,34.69,35.4,35.11581,3315700
"CF","09/29/2017",34.72,35.2,34.11,35.16,34.87774,4052800
"CF","09/28/2017",35.28,35.79,34.43,34.84,34.56031,4499000
"CF","09/27/2017",34.88,35.35,34.39,35.09,34.8083,3814900
"CF","09/26/2017",35.78,35.88,34.33,34.88,34.59999,5100100
"CF","09/25/2017",35.45,36.01,35.23,35.91,35.62172,3658600
"CF","09/22/2017",35.83,35.99,35.13,35.23,34.94718,3144600
"CF","09/21/2017",35.14,36.1,35.02,35.96,35.67132,3249500
"CF","09/20/2017",35.63,36.01,34.86,35.19,34.9075,4621300
"CF","09/19/2017",35.25,36.13,35.2,35.54,35.25469,5590000
"CF","09/18/2017",33.47,36.51,33.32,35.1,34.81822,10287800
"CF","09/15/2017",32.28,33,32.24,32.89,32.62597,4864000
"CF","09/14/2017",32.07,32.44,31.9,32.36,32.10022,3406300
"CF","09/13/2017",32.3,32.47,31.75,32.1,31.8423,2184900
"CF","09/12/2017",32.5,33.56,31.92,32.19,31.93158,5621500
"CF","09/11/2017",32.3,32.76,31.96,32.31,32.05062,3500300
"CF","09/08/2017",31.65,32.27,31.47,32.04,31.78279,3834900
"CF","09/07/2017",31.2,31.8,30.91,31.68,31.42568,3975400
"CF","09/06/2017",29.26,31.35,29.21,31.2,30.94953,5988900
"CF","09/05/2017",30,30.39,28.95,29.08,28.84655,4924000
"CF","09/01/2017",28.99,30.08,28.89,29.98,29.73932,3970000
"CF","08/31/2017",29.11,29.32,28.79,28.99,28.75727,3119700
"CF","08/30/2017",28.8,29.15,28.56,28.94,28.70767,2158500
"CF","08/29/2017",28.7,28.85,28.47,28.83,28.59856,2052700
"CF","08/28/2017",29.1,29.46,28.79,29.03,28.79695,4411800
"CF","08/25/2017",29.19,29.19,28.83,28.98,28.74735,2082800
"CF","08/24/2017",28.94,29.17,28.65,29.03,28.79695,3038000
"CF","08/23/2017",29.07,29.39,28.91,28.93,28.69775,1873200
"CF","08/22/2017",29.2,29.62,29.13,29.24,29.00527,2849100
"CF","08/21/2017",29.09,29.37,28.89,29.18,28.94575,2154000
"CF","08/18/2017",29.08,29.37,28.55,29.03,28.79695,3399500
"CF","08/17/2017",30.18,30.3,29.06,29.16,28.92591,4758700
"CF","08/16/2017",30.3,30.74,30.04,30.21,29.96748,2348500
"CF","08/15/2017",30.07,30.42,29.6,30.3,30.05676,2819900
"CF","08/14/2017",30.8,30.8,30.2,30.22,29.9774,2365600
"CF","08/11/2017",30.57,30.84,30.21,30.51,30.26507,3853800
"CF","08/11/2017",0,0,0,0,0,0
"CF","08/10/2017",31.6,32.59,30.66,30.76,30.21547,6247600
"CF","08/09/2017",31.24,31.92,31.13,31.88,31.31565,3585900
"CF","08/08/2017",31.86,32.22,31.28,31.49,30.93255,5247800
"CF","08/07/2017",32.35,32.35,31.26,31.93,31.36476,4184000
"CF","08/04/2017",30.86,32.37,30.85,32.21,31.6398,8358500
"CF","08/03/2017",28.39,30.78,27.77,30.71,30.16636,9932000
"CF","08/02/2017",29.19,29.28,28.49,28.72,28.21158,5361500
"CF","08/01/2017",29.48,29.52,28.26,29.22,28.70273,6144200
"CF","07/31/2017",29.04,29.57,28.98,29.35,28.83043,6794500
"CF","07/28/2017",28.74,29.23,28.74,28.99,28.4768,2708000
"CF","07/27/2017",28.93,29.2,28.44,28.81,28.29999,4933600
"CF","07/26/2017",29.85,30.01,28.64,28.88,28.36875,8457200
"CF","07/25/2017",30.56,30.98,29.9,30.17,29.63592,6840900
"CF","07/24/2017",30.95,31.01,30.13,30.22,29.68503,4873200
"CF","07/21/2017",30.94,31.31,30.89,31.14,30.58874,2669300
"CF","07/20/2017",30.95,31.32,30.4,31.13,30.57892,4044000
"CF","07/19/2017",29.61,30.84,29.6,30.81,30.26459,5647400
"CF","07/18/2017",29.23,29.47,28.82,29.43,28.90902,3003500
"CF","07/17/2017",29.46,29.86,28.93,29.27,28.75185,3076300
"CF","07/14/2017",29.56,29.88,29.29,29.49,28.96795,3695800
"CF","07/13/2017",28.86,29.7,28.3,29.51,28.9876,4243700
"CF","07/12/2017",29.67,30.43,28.6,28.92,28.40804,6523100
"CF","07/11/2017",29.71,30.06,28.68,29.44,28.91884,4628500
"CF","07/10/2017",27.85,29.96,27.73,29.72,29.19388,7721300
"CF","07/07/2017",27.6,27.93,27.27,27.89,27.39628,3339400
"CF","07/06/2017",28.61,28.86,27.53,27.58,27.09177,3710200
"CF","07/05/2017",29.34,29.34,28.35,28.72,28.21158,5108500
"CF","07/03/2017",28.2,29.37,28.18,29.22,28.70273,4050700
"CF","06/30/2017",27.49,28.08,26.96,27.96,27.46504,4521400
"CF","06/29/2017",27.4,28.04,27.36,27.43,26.94442,4403900
"CF","06/28/2017",27.13,27.55,27.04,27.17,26.68902,2460700
"CF","06/27/2017",27.49,27.81,26.84,26.87,26.39433,3353900
"CF","06/26/2017",27.58,27.66,27.08,27.41,26.92477,3752900
"CF","06/23/2017",27.3,27.48,26.78,27.45,26.96407,4262400
"CF","06/22/2017",26.59,27.61,26.51,27.34,26.85601,3179400
"CF","06/21/2017",27.3,27.51,26.62,26.7,26.22734,2810000
"CF","06/20/2017",28.02,28.02,27.13,27.18,26.69885,3732600
"CF","06/19/2017",27.76,28.27,27.76,28.24,27.74008,3114900
"CF","06/16/2017",26.75,27.58,26.62,27.58,27.09177,4027500
"CF","06/15/2017",27.16,27.28,26.63,26.75,26.27646,3486600
"CF","06/14/2017",28.5,28.5,27.33,27.37,26.88548,3376000
"CF","06/13/2017",27.44,28.5,27.08,28.48,27.97583,3257100
"CF","06/12/2017",27.21,28.49,27.08,27.36,26.87566,5512400
"CF","06/09/2017",26.77,27.48,26.6,27.25,26.76761,5114900
"CF","06/08/2017",26.22,27.25,26,26.77,26.2961,3690000
"CF","06/07/2017",26.12,26.24,25.77,26.22,25.75584,4920300
"CF","06/06/2017",26.19,26.41,25.65,26.1,25.63797,3795500
"CF","06/05/2017",26.33,26.44,25.92,26.28,25.81478,3496500
"CF","06/02/2017",26.93,26.99,25.79,26.4,25.93266,6658200
"CF","06/01/2017",26.9,27.49,26.75,27.03,26.5515,4141700
"CF","05/31/2017",27.92,28.12,26.72,26.9,26.4238,4788400
"CF","05/30/2017",28,28.37,27.89,27.91,27.41592,2743900
"CF","05/26/2017",27.99,28.19,27.63,28.13,27.63203,2486500
"CF","05/25/2017",28.66,29.07,27.7,28.09,27.59274,4854000
"CF","05/24/2017",28.96,29.29,28.31,28.44,27.93654,3147800
"CF","05/23/2017",28.4,29.11,28.33,28.95,28.43752,4142100
"CF","05/22/2017",28.69,28.85,27.78,28.29,27.7892,2727200
