"symbol","date","open","high","low","close","adjclose","volume"
"CNC","12/29/2017",103.5,103.85,100.84,100.88,100.88,807500
"CNC","12/28/2017",102.47,103.42,101.81,102.9,102.9,629100
"CNC","12/27/2017",102.64,103.96,102.34,103.02,103.02,717400
"CNC","12/26/2017",102.29,103.28,101.89,102.26,102.26,511700
"CNC","12/22/2017",102.67,102.67,101.26,102.16,102.16,766700
"CNC","12/21/2017",103.62,103.99,101.53,102.59,102.59,1613100
"CNC","12/20/2017",101.69,104.65,101.26,102.95,102.95,1667600
"CNC","12/19/2017",98.53,101.25,98.21,100.94,100.94,2310200
"CNC","12/18/2017",95.36,99.62,95.34,97.93,97.93,3220600
"CNC","12/15/2017",100.03,100.17,94.69,94.86,94.86,4537700
"CNC","12/14/2017",101.77,101.91,98.8,99.02,99.02,1326500
"CNC","12/13/2017",100.86,102.38,100.79,101.19,101.19,1989800
"CNC","12/12/2017",100.17,100.88,99.43,100.86,100.86,1361200
"CNC","12/11/2017",101.17,101.92,99.06,99.7,99.7,1128100
"CNC","12/08/2017",101.11,102.3,100.75,101.34,101.34,1158300
"CNC","12/07/2017",98.77,101.31,98.49,100.9,100.9,1291500
"CNC","12/06/2017",99.87,99.91,97.61,98.51,98.51,1062600
"CNC","12/05/2017",98.42,100.57,97.43,99.73,99.73,2583200
"CNC","12/04/2017",102.69,103.15,98.19,98.28,98.28,1513300
"CNC","12/01/2017",102.39,102.99,97.45,101.1,101.1,1355000
"CNC","11/30/2017",99.33,102.44,99.33,102.09,102.09,1549200
"CNC","11/29/2017",97.6,99.98,97.52,99.01,99.01,1094400
"CNC","11/28/2017",98.08,99.18,96.44,97.81,97.81,1288700
"CNC","11/27/2017",96.69,98.9,96.65,98.09,98.09,1495200
"CNC","11/24/2017",97.07,97.89,96.53,97.17,97.17,409000
"CNC","11/22/2017",94.4,98.66,94.33,96.95,96.95,1380800
"CNC","11/21/2017",94.39,94.84,93.15,93.92,93.92,1192100
"CNC","11/20/2017",95.23,95.64,93.39,93.78,93.78,1233300
"CNC","11/17/2017",95.67,95.95,95.04,95.14,95.14,1004600
"CNC","11/16/2017",92.51,96.93,92.51,95.94,95.94,1733300
"CNC","11/15/2017",92.8,93.02,90.07,92.15,92.15,1276400
"CNC","11/14/2017",93.95,94.36,92.75,93.03,93.03,857700
"CNC","11/13/2017",93.11,94.99,93.11,94.36,94.36,1528100
"CNC","11/10/2017",93.37,93.88,92.33,93.68,93.68,653500
"CNC","11/09/2017",92.78,93.35,91.57,93.28,93.28,1059100
"CNC","11/08/2017",94.72,94.74,92.18,93.15,93.15,1243800
"CNC","11/07/2017",95.2,96.11,94.23,94.81,94.81,609000
"CNC","11/06/2017",96.26,97.31,95.1,95.32,95.32,1097800
"CNC","11/03/2017",95.49,96.68,95,96.03,96.03,853700
"CNC","11/02/2017",97.17,97.49,94.73,95.81,95.81,1512200
"CNC","11/01/2017",94.09,97.08,94.09,96.65,96.65,2238100
"CNC","10/31/2017",93.97,95.43,92.93,93.67,93.67,1414200
"CNC","10/30/2017",94.09,95,92.94,93.81,93.81,1070900
"CNC","10/27/2017",91.09,94.97,90.54,94.41,94.41,2181500
"CNC","10/26/2017",91.18,91.42,89.87,91.13,91.13,2356400
"CNC","10/25/2017",93,93.05,89.08,90.76,90.76,2718900
"CNC","10/24/2017",93.14,94.84,90.5,93.02,93.02,4543800
"CNC","10/23/2017",97.24,98.38,96.15,97.99,97.99,1790300
"CNC","10/20/2017",95.31,96.93,94.1,96.5,96.5,1470800
"CNC","10/19/2017",93.45,94.72,92.12,94.7,94.7,1428600
"CNC","10/18/2017",93.36,94.23,92.31,93.54,93.54,1900300
"CNC","10/17/2017",92.02,94.8,91.54,93.8,93.8,3005300
"CNC","10/16/2017",90.56,92.98,90.11,90.92,90.92,2485900
"CNC","10/13/2017",87.06,91.22,83.56,90.56,90.56,6397100
"CNC","10/12/2017",96.24,96.57,92.87,93.68,93.68,3221600
"CNC","10/11/2017",96.02,96.31,94.26,96.05,96.05,2491200
"CNC","10/10/2017",97.48,97.48,95.17,96.35,96.35,1588900
"CNC","10/09/2017",97.59,97.95,96.15,97.22,97.22,860800
"CNC","10/06/2017",97.46,98.03,97.07,98.01,98.01,1113800
"CNC","10/05/2017",97,97.82,96.36,97.35,97.35,1534500
"CNC","10/04/2017",97.04,97.77,96.61,96.77,96.77,694300
"CNC","10/03/2017",97.03,98.28,95.83,96.97,96.97,971100
"CNC","10/02/2017",97.13,98.13,96.13,96.96,96.96,1870400
"CNC","09/29/2017",96.21,97.93,94.97,96.77,96.77,2096800
"CNC","09/28/2017",93.3,96.47,92.88,95.84,95.84,2671500
"CNC","09/27/2017",92.73,94.25,91.93,93.72,93.72,1412800
"CNC","09/26/2017",91.22,93.87,91.22,92.32,92.32,2202300
"CNC","09/25/2017",92,96.08,90.27,90.33,90.33,2109700
"CNC","09/22/2017",90.74,94.52,87.26,92.22,92.22,3495600
"CNC","09/21/2017",90.7,91.01,89.9,90.74,90.74,1655100
"CNC","09/20/2017",90,90.95,89.35,90.76,90.76,1865900
"CNC","09/19/2017",94.74,94.76,88.12,89.78,89.78,4711800
"CNC","09/18/2017",95.95,95.99,94.07,94.58,94.58,1618200
"CNC","09/15/2017",95.88,97.21,94.93,95.98,95.98,1945200
"CNC","09/14/2017",97.86,98.57,95.07,95.92,95.92,2073300
"CNC","09/13/2017",97,98.72,95.2,98.16,98.16,3576200
"CNC","09/12/2017",90.73,91.16,89.62,90.88,90.88,1008200
"CNC","09/11/2017",90,91.09,89.65,90.54,90.54,1388500
"CNC","09/08/2017",88.82,89.95,88.66,89.54,89.54,910300
"CNC","09/07/2017",88.52,89.56,87.75,89.08,89.08,845700
"CNC","09/06/2017",89.16,89.16,87.37,88.32,88.32,1329900
"CNC","09/05/2017",88.24,89.23,87.99,88.63,88.63,946600
"CNC","09/01/2017",88.9,88.9,87,88.62,88.62,901200
"CNC","08/31/2017",86.89,88.96,86.87,88.85,88.85,1335200
"CNC","08/30/2017",86.2,87.07,85.85,86.43,86.43,774100
"CNC","08/29/2017",85.9,86.46,84.89,86.22,86.22,645900
"CNC","08/28/2017",86,87.02,85.84,86.34,86.34,690200
"CNC","08/25/2017",86.04,86.88,85.75,85.9,85.9,1066900
"CNC","08/24/2017",86.07,86.5,85.44,86,86,634000
"CNC","08/23/2017",85.85,86.2,84.99,85.7,85.7,887200
"CNC","08/22/2017",84.31,86.38,84.31,86.25,86.25,1085200
"CNC","08/21/2017",83.64,84.67,83.43,84.26,84.26,1253200
"CNC","08/18/2017",83.73,83.96,83.03,83.49,83.49,872600
"CNC","08/17/2017",82.98,84.91,82.98,83.62,83.62,1644400
"CNC","08/16/2017",82.8,83.51,82.59,82.87,82.87,1539300
"CNC","08/15/2017",83.13,83.29,82.2,82.85,82.85,1036100
"CNC","08/14/2017",83.13,83.37,82.47,82.95,82.95,759600
"CNC","08/11/2017",81.5,82.37,81,82.14,82.14,767700
"CNC","08/10/2017",82.3,82.45,81.11,81.41,81.41,796100
"CNC","08/09/2017",82.69,83.3,82.17,82.73,82.73,838600
"CNC","08/08/2017",82.65,83.42,82.08,82.72,82.72,836700
"CNC","08/07/2017",82.39,82.84,81.45,82.6,82.6,1153800
"CNC","08/04/2017",83.66,84.12,82.22,82.38,82.38,1672600
"CNC","08/03/2017",81.79,83.24,81.64,83.19,83.19,1283200
"CNC","08/02/2017",80.53,81.96,79.88,81.79,81.79,1794800
"CNC","08/01/2017",79.43,80.91,79.38,80.45,80.45,1667900
"CNC","07/31/2017",82.68,82.69,79.06,79.42,79.42,2040200
"CNC","07/28/2017",82,83.23,81.3,82.69,82.69,1214900
"CNC","07/27/2017",83.08,83.09,80.64,81.17,81.17,1389400
"CNC","07/26/2017",82.85,84.5,82.62,83.39,83.39,2086400
"CNC","07/25/2017",87.24,87.94,82.13,82.85,82.85,3187400
"CNC","07/24/2017",84.73,85.02,84.01,84.2,84.2,2122600
"CNC","07/21/2017",85.37,85.37,84.34,84.73,84.73,831100
"CNC","07/20/2017",84.97,86.02,84.51,85.4,85.4,1962500
"CNC","07/19/2017",84.5,85.22,84.13,84.65,84.65,1329700
"CNC","07/18/2017",84.31,84.52,83.55,84.44,84.44,1949900
"CNC","07/17/2017",82.97,83.93,82.61,83.69,83.69,1620800
"CNC","07/14/2017",82.71,83.39,82.33,82.8,82.8,1746500
"CNC","07/13/2017",82.49,82.72,81.52,82.4,82.4,1389500
"CNC","07/12/2017",82.37,82.87,81.68,82.5,82.5,1805200
"CNC","07/11/2017",81.8,82.92,81.29,81.98,81.98,1648800
"CNC","07/10/2017",81.11,81.74,80.74,81.13,81.13,935900
"CNC","07/07/2017",80.2,81.85,79.89,81.26,81.26,1281200
"CNC","07/06/2017",81,81.55,79.37,79.7,79.7,1324600
"CNC","07/05/2017",80.48,82.12,80.16,81.59,81.59,1347000
"CNC","07/03/2017",80,80.73,79.71,80.14,80.14,724600
"CNC","06/30/2017",80.28,80.6,79.36,79.88,79.88,1353200
"CNC","06/29/2017",81.5,81.5,78.56,79.95,79.95,1046300
"CNC","06/28/2017",81.61,81.7,80.49,81.36,81.36,1244300
"CNC","06/27/2017",82.58,82.58,80.78,81.01,81.01,1675300
"CNC","06/26/2017",84.15,84.83,82.21,82.35,82.35,2325400
"CNC","06/23/2017",83.18,85.8,82.39,84.15,84.15,4265400
"CNC","06/22/2017",80.21,83.81,79.85,83,83,2640700
"CNC","06/21/2017",78.87,80.36,78.54,80.12,80.12,1751200
"CNC","06/20/2017",78.46,78.6,77.97,78.32,78.32,1228800
"CNC","06/19/2017",78.58,79.48,78.46,78.63,78.63,1534000
"CNC","06/16/2017",79.12,79.5,77.95,78.63,78.63,1700800
"CNC","06/15/2017",77.83,79.03,77.83,79.02,79.02,1936000
"CNC","06/14/2017",78.55,79.16,77.91,78.36,78.36,1015100
"CNC","06/13/2017",76.93,78.28,76.9,78.06,78.06,1286800
"CNC","06/12/2017",77.38,77.47,74.73,76.49,76.49,1262100
"CNC","06/09/2017",77.48,78.63,76.91,77.5,77.5,1313500
"CNC","06/08/2017",77.62,78.14,77.28,77.67,77.67,1255600
"CNC","06/07/2017",76.57,78.04,76.43,77.62,77.62,1434400
"CNC","06/06/2017",75.57,76.96,75.42,76.23,76.23,1582700
"CNC","06/05/2017",75.12,76.26,74.93,75.6,75.6,1065300
"CNC","06/02/2017",75.43,75.75,75,75.19,75.19,1420600
"CNC","06/01/2017",72.69,75.76,72.67,75.25,75.25,2936300
"CNC","05/31/2017",73.48,73.73,72.14,72.63,72.63,3054400
"CNC","05/30/2017",74.57,74.69,73.33,73.46,73.46,1129500
"CNC","05/26/2017",75.31,75.47,74.32,74.57,74.57,919700
"CNC","05/25/2017",74.97,75.63,74.54,75.25,75.25,1823300
