"symbol","date","open","high","low","close","adjclose","volume"
"COG","12/29/2017",28.69,28.71,28.19,28.6,28.6,5095500
"COG","12/28/2017",28.32,28.6,28.09,28.54,28.54,4402400
"COG","12/27/2017",28.01,28.22,27.95,28.13,28.13,3635800
"COG","12/26/2017",27.75,28.11,27.66,28.1,28.1,2901000
"COG","12/22/2017",27.66,27.82,27.42,27.59,27.59,4296000
"COG","12/21/2017",26.83,27.78,26.75,27.72,27.72,7591900
"COG","12/20/2017",26.75,27.05,26.58,26.97,26.97,3550000
"COG","12/19/2017",27.15,27.21,26.77,26.82,26.82,3411300
"COG","12/18/2017",26.86,27.36,26.73,27.09,27.09,5070500
"COG","12/15/2017",27.46,27.47,26.46,26.64,26.64,7074200
"COG","12/14/2017",27.61,27.73,27.25,27.26,27.26,4482900
"COG","12/13/2017",27.58,28.07,27.44,27.76,27.76,4039700
"COG","12/12/2017",28.39,28.51,27.59,27.6,27.6,3252000
"COG","12/11/2017",28.03,28.63,28,28.33,28.33,3282200
"COG","12/08/2017",27.89,28.08,27.7,27.75,27.75,4460900
"COG","12/07/2017",27.95,28.12,27.65,27.78,27.78,3204900
"COG","12/06/2017",28.28,28.39,27.89,28.05,28.05,3586000
"COG","12/05/2017",28.43,28.5,28.14,28.33,28.33,4090200
"COG","12/04/2017",28.51,29.27,28.44,28.57,28.57,4391300
"COG","12/01/2017",29.23,29.54,28.37,28.68,28.68,7238300
"COG","11/30/2017",29.21,29.57,28.58,28.95,28.95,8371900
"COG","11/29/2017",29.39,29.47,28.91,29.17,29.17,3336700
"COG","11/28/2017",29.25,29.31,29.02,29.1,29.1,2885400
"COG","11/27/2017",29.4,29.47,29.08,29.14,29.14,2858400
"COG","11/24/2017",29.49,29.5,29.19,29.25,29.25,995500
"COG","11/22/2017",29.28,29.48,29.13,29.44,29.44,2645300
"COG","11/21/2017",29.13,29.3,28.91,29.07,29.07,2791400
"COG","11/20/2017",29.24,29.37,28.92,29.01,29.01,4078000
"COG","11/17/2017",28.91,29.41,28.82,29.39,29.39,5599600
"COG","11/16/2017",28.58,28.84,28.32,28.74,28.74,3802800
"COG","11/15/2017",28.36,28.56,27.95,28.45,28.45,3996200
"COG","11/14/2017",28.81,28.92,28.29,28.46,28.46,4607100
"COG","11/13/2017",28.89,29.26,28.76,29.06,29.06,4422300
"COG","11/10/2017",28.31,29.06,28.3,28.99,28.99,6005300
"COG","11/09/2017",28.25,28.82,28.13,28.56,28.56,7256400
"COG","11/08/2017",27.8,28.11,27.34,27.82,27.82,6921100
"COG","11/07/2017",27.45,27.92,27.17,27.84,27.84,10863400
"COG","11/07/2017",0,0,0,0,0,0
"COG","11/06/2017",28.6,29.03,28.4,28.78,28.73,7741600
"COG","11/03/2017",28.23,28.41,28.01,28.23,28.18096,6115300
"COG","11/02/2017",27.97,28.29,27.78,28.26,28.21091,7370400
"COG","11/01/2017",27.75,28.1,27.55,27.91,27.86151,7164100
"COG","10/31/2017",27.4,28,27.24,27.7,27.65188,9259700
