"symbol","date","open","high","low","close","adjclose","volume"
"GT","12/29/2017",32.87,32.88,32.31,32.31,32.31,1634100
"GT","12/28/2017",32.62,32.77,32.45,32.75,32.75,2414400
"GT","12/27/2017",32.6,32.85,32.5,32.59,32.59,1725600
"GT","12/26/2017",32.83,33.07,32.53,32.6,32.6,1270100
"GT","12/22/2017",32.54,32.89,32.32,32.85,32.85,1822700
"GT","12/21/2017",32.45,32.85,32.45,32.57,32.57,1654200
"GT","12/20/2017",32.33,32.52,32.21,32.42,32.42,1900900
"GT","12/19/2017",32.14,32.44,32,32.17,32.17,2229800
"GT","12/18/2017",31.88,32.49,31.63,31.98,31.98,3485100
"GT","12/15/2017",31.52,31.67,31.33,31.46,31.46,3644700
"GT","12/14/2017",31.75,31.84,31.24,31.3,31.3,2577300
"GT","12/13/2017",31.5,31.97,31.47,31.77,31.77,2076400
"GT","12/12/2017",31.5,31.72,31.34,31.57,31.57,2084800
"GT","12/11/2017",31.68,31.83,31.36,31.41,31.41,2270100
"GT","12/08/2017",31.55,31.85,31.45,31.75,31.75,3033400
"GT","12/07/2017",31.25,31.54,31.11,31.32,31.32,2796700
"GT","12/06/2017",32.14,32.27,31.31,31.36,31.36,3176100
"GT","12/05/2017",32.09,32.26,31.66,32.22,32.22,2633100
"GT","12/04/2017",32.39,32.68,31.96,32.07,32.07,2782800
"GT","12/01/2017",32.34,32.47,31.6,32.12,32.12,4018900
"GT","11/30/2017",32.25,32.69,32.25,32.37,32.37,3181400
"GT","11/29/2017",31.83,32.43,31.71,32.14,32.14,3092400
"GT","11/28/2017",31.14,31.85,31.02,31.81,31.81,3533400
"GT","11/27/2017",30.69,30.92,30.61,30.89,30.89,2376200
"GT","11/24/2017",30.72,30.73,30.41,30.67,30.67,1065700
"GT","11/22/2017",30.71,30.89,30.55,30.69,30.69,2759700
"GT","11/21/2017",30.66,31,30.55,30.82,30.82,2044200
"GT","11/20/2017",30.08,30.93,30.05,30.65,30.65,4771600
"GT","11/17/2017",29.48,30,29.45,29.94,29.94,4275600
"GT","11/16/2017",29.22,29.35,29.1,29.31,29.31,1526600
"GT","11/15/2017",29.28,29.37,28.96,29.06,29.06,2542800
"GT","11/14/2017",29.15,29.5,29.02,29.36,29.36,2270200
"GT","11/13/2017",29.04,29.43,29,29.23,29.23,2379500
"GT","11/10/2017",29.18,29.27,28.81,29.07,29.07,2806800
"GT","11/09/2017",29.08,29.33,29.02,29.15,29.15,2156600
