"symbol","date","open","high","low","close","adjclose","volume"
"HAL","12/29/2017",48.68,49.06,48.13,48.87,48.87,5194800
"HAL","12/28/2017",48.85,48.91,48.4,48.57,48.57,3884200
"HAL","12/27/2017",48.92,49.29,48.52,48.82,48.82,5409900
"HAL","12/26/2017",48.13,48.94,47.92,48.77,48.77,4983900
"HAL","12/22/2017",48.31,48.36,47.69,48.01,48.01,6767800
"HAL","12/21/2017",47.58,48.7,47.2,48.17,48.17,10710600
"HAL","12/20/2017",46.25,47.61,46.09,47.42,47.42,9148900
"HAL","12/19/2017",45.64,46.67,45.56,45.87,45.87,8005300
"HAL","12/18/2017",44.84,45.85,44.72,45.48,45.48,7610800
"HAL","12/15/2017",44.79,45.04,44.51,44.61,44.61,9721600
"HAL","12/14/2017",44.31,44.9,44.11,44.41,44.41,7172900
"HAL","12/13/2017",45.2,45.4,44.49,44.76,44.76,7717100
"HAL","12/12/2017",45.33,45.8,45,45.24,45.24,9823500
"HAL","12/11/2017",44.08,45.25,44.05,45.16,45.16,11262900
"HAL","12/08/2017",43.78,44.26,43.63,43.99,43.99,8178200
"HAL","12/07/2017",43.38,43.86,43.17,43.46,43.46,6269400
"HAL","12/06/2017",43.37,43.56,42.71,43.38,43.38,8807700
"HAL","12/06/2017",0,0,0,0,0,0
"HAL","12/05/2017",44.02,44.35,43.55,43.63,43.45,8993000
"HAL","12/04/2017",43.16,45.21,43.06,43.89,43.70893,13897200
"HAL","12/01/2017",41.87,43.57,41.85,43.06,42.88235,18066400
"HAL","11/30/2017",41.48,42.24,41.36,41.78,41.60763,13390400
"HAL","11/29/2017",41.07,41.57,40.86,41.3,41.12961,7383600
"HAL","11/28/2017",41.02,41.17,40.72,41.02,40.85077,8102800
"HAL","11/27/2017",41.35,41.65,40.89,41.07,40.90056,5376400
"HAL","11/24/2017",41.66,41.91,41.46,41.58,41.40846,3352700
"HAL","11/22/2017",41.52,41.6,41.3,41.43,41.25908,4916000
"HAL","11/21/2017",41.87,41.93,40.98,41.17,41.00015,11601600
"HAL","11/20/2017",41.76,41.88,41.36,41.57,41.3985,5806100
"HAL","11/17/2017",41.65,41.98,41.31,41.77,41.59768,5902500
"HAL","11/16/2017",41.57,41.92,41.42,41.51,41.33875,5721200
"HAL","11/15/2017",42.48,42.69,41.51,41.69,41.518,10470500
"HAL","11/14/2017",43.96,44.14,42.84,42.94,42.76284,7938400
"HAL","11/13/2017",44.29,44.49,43.98,44.21,44.02761,5350500
"HAL","11/10/2017",44.9,45.02,44.39,44.58,44.39608,4565200
"HAL","11/09/2017",44.9,45.13,44.56,45.01,44.82431,5760700
"HAL","11/08/2017",45.02,45.6,44.67,45.12,44.93385,6728900
"HAL","11/07/2017",45.34,45.93,45.05,45.27,45.08323,9507100
"HAL","11/06/2017",43.39,45.31,43.32,45.08,44.89402,10277400
"HAL","11/03/2017",42.55,43.48,42.53,43.23,43.05165,9575000
"HAL","11/02/2017",43.16,43.52,42.29,42.69,42.51388,6218200
"HAL","11/01/2017",43.15,43.93,43.03,43.05,42.87239,7257600
"HAL","10/31/2017",42.8,42.97,42.42,42.74,42.56367,6243400
"HAL","10/30/2017",42.49,43.07,42.15,42.93,42.75289,7615600
"HAL","10/27/2017",41.04,42.58,40.99,42.43,42.25495,12555700
"HAL","10/26/2017",41.53,41.91,40.96,41.24,41.06986,8211300
"HAL","10/25/2017",41.4,41.74,41,41.46,41.28895,8965200
"HAL","10/24/2017",42.43,42.65,41.28,41.37,41.19932,14280500
"HAL","10/23/2017",42.51,43.61,42.15,42.24,42.06573,12842900
"HAL","10/20/2017",43.56,43.7,43.01,43.33,43.15124,10522600
"HAL","10/19/2017",43.55,43.82,43.08,43.42,43.24086,9024600
"HAL","10/18/2017",44.48,44.8,43.59,43.77,43.58942,7481700
"HAL","10/17/2017",44.6,44.66,44.15,44.46,44.27658,7556600
"HAL","10/16/2017",44.98,45.17,44.58,44.61,44.42596,4114200
"HAL","10/13/2017",45.21,45.36,44.67,44.72,44.5355,4730000
"HAL","10/12/2017",45.02,45.2,44.69,44.76,44.57534,5783500
"HAL","10/11/2017",44.93,45.52,44.71,45.51,45.32224,5749500
"HAL","10/10/2017",45.34,45.87,44.98,45.03,44.84422,6522000
"HAL","10/09/2017",44.76,45.19,44.73,44.93,44.74464,3709100
"HAL","10/06/2017",44.86,45.05,44.23,44.75,44.56538,11162200
"HAL","10/05/2017",45.36,45.39,44.94,45.09,44.90398,5485800
"HAL","10/04/2017",45.05,45.42,44.84,45.18,44.99361,7061100
"HAL","10/03/2017",45.42,45.51,44.79,44.93,44.74464,8635500
"HAL","10/02/2017",45.23,45.73,45.02,45.53,45.34216,7408900
"HAL","09/29/2017",45.61,46.18,45.49,46.03,45.8401,6683300
"HAL","09/28/2017",45.7,46.08,45.55,45.83,45.64093,12198100
"HAL","09/27/2017",44.74,45.72,44.54,45.58,45.39196,11317000
"HAL","09/26/2017",44.5,44.87,44.24,44.64,44.45583,6067000
"HAL","09/25/2017",44.51,45.11,44.4,44.69,44.50563,11540100
"HAL","09/22/2017",43.48,44.32,43.47,44.25,44.06744,9209100
"HAL","09/21/2017",43.5,43.7,43.11,43.48,43.30062,9634300
"HAL","09/20/2017",42.9,43.78,42.86,43.61,43.43008,12057100
"HAL","09/19/2017",42.82,42.93,42.37,42.81,42.63338,7023900
"HAL","09/18/2017",42.4,42.91,42.11,42.62,42.44416,6479000
"HAL","09/15/2017",42.09,42.34,41.86,42.31,42.13545,8173000
"HAL","09/14/2017",42.03,42.7,41.95,42.18,42.00598,10484000
"HAL","09/13/2017",41.36,42.25,41.26,41.8,41.62755,10385100
"HAL","09/12/2017",40.67,41.51,40.46,41.26,41.08978,6736900
"HAL","09/11/2017",40.43,40.77,40.19,40.63,40.46238,10529800
"HAL","09/08/2017",41.24,41.26,39.86,40.29,40.12378,9178200
"HAL","09/07/2017",41,41.42,40.68,41.31,41.13957,8303700
"HAL","09/06/2017",40.22,41.19,40.18,41.01,40.84081,14240600
"HAL","09/05/2017",39.28,40.16,39.25,39.83,39.66568,16722100
"HAL","09/01/2017",38.99,39.3,38.81,38.9,38.73952,5199500
"HAL","09/01/2017",0,0,0,0,0,0
"HAL","08/31/2017",38.9,39.15,38.6,38.97,38.62997,7303700
"HAL","08/30/2017",38.61,39.04,38.38,38.67,38.33258,4481900
"HAL","08/29/2017",38.66,38.79,38.34,38.72,38.38215,5120500
"HAL","08/28/2017",39.07,39.18,38.28,38.79,38.45154,7348300
"HAL","08/25/2017",38.93,39.37,38.84,39.01,38.66962,6167200
"HAL","08/24/2017",38.97,39,38.57,38.79,38.45154,7345900
"HAL","08/23/2017",38.56,39.28,38.52,39.03,38.68944,4623500
"HAL","08/22/2017",38.86,39.03,38.65,38.66,38.32267,6032800
"HAL","08/21/2017",38.93,38.99,38.55,38.74,38.40198,5084500
"HAL","08/18/2017",38.66,39.45,38.18,38.99,38.6498,8868200
"HAL","08/17/2017",39.2,39.36,38.55,38.69,38.35241,8145400
"HAL","08/16/2017",39.69,39.96,39.13,39.32,38.97691,6662700
"HAL","08/15/2017",39.83,39.9,39.25,39.55,39.20491,7691300
"HAL","08/14/2017",40.05,40.2,39.75,39.91,39.56177,7180300
"HAL","08/11/2017",40.3,40.74,40,40.02,39.67081,5519600
"HAL","08/10/2017",41.32,41.33,40.36,40.51,40.15653,6988600
"HAL","08/09/2017",41.18,41.38,40.75,41.29,40.92973,6396700
"HAL","08/08/2017",41.2,41.83,40.71,41.03,40.67199,9244700
"HAL","08/07/2017",41.77,41.86,41.08,41.45,41.08833,7546700
"HAL","08/04/2017",42,42.11,41.55,41.99,41.62362,6534100
"HAL","08/03/2017",42.77,42.85,41.76,42.03,41.66327,7944800
"HAL","08/02/2017",42.13,42.95,41.81,42.85,42.47611,9983300
"HAL","08/01/2017",42.5,42.57,41.68,42.45,42.0796,14301500
"HAL","07/31/2017",42.82,42.9,42.16,42.44,42.06969,8185400
"HAL","07/28/2017",42.77,44,42.71,42.93,42.55542,8895600
"HAL","07/27/2017",43.5,44.39,42.54,43.09,42.71402,10452300
"HAL","07/26/2017",43.04,43.77,42.32,43.32,42.94201,11246800
"HAL","07/25/2017",42.89,43.71,42.68,42.69,42.31751,13843600
"HAL","07/24/2017",45.05,45.3,42.02,42.51,42.13908,22394900
"HAL","07/21/2017",45.36,45.61,44.12,44.38,43.99276,11819200
"HAL","07/20/2017",45.89,46.06,45.06,45.38,44.98404,10591700
"HAL","07/19/2017",43.97,45.82,43.92,45.58,45.18229,12052200
"HAL","07/18/2017",44.41,44.41,43.66,44,43.61608,8182300
"HAL","07/17/2017",44.15,44.52,44,44.11,43.72512,6880500
"HAL","07/14/2017",43.9,44.42,43.81,44.22,43.83416,7946900
"HAL","07/13/2017",42.7,43.85,42.67,43.77,43.38808,8674800
"HAL","07/12/2017",43.51,43.68,42.6,42.78,42.40672,5692300
"HAL","07/11/2017",42.35,43.17,42.19,42.71,42.33733,5400900
"HAL","07/10/2017",41.51,42.51,41.43,42.32,41.95074,6132100
"HAL","07/07/2017",41.85,41.94,41.03,41.78,41.41545,10193200
"HAL","07/06/2017",43.1,43.42,41.86,42.02,41.65335,9338600
"HAL","07/05/2017",44.07,44.07,42.53,42.86,42.48603,9475900
"HAL","07/03/2017",42.94,44.01,42.73,43.72,43.33852,5754800
"HAL","06/30/2017",42.8,43.06,42.3,42.71,42.33733,7160800
"HAL","06/29/2017",42.2,42.97,42.13,42.42,42.04987,7879800
"HAL","06/28/2017",41.6,42.41,41.54,42.01,41.64344,8331800
"HAL","06/27/2017",41.83,42.3,41.47,41.53,41.16763,7244100
"HAL","06/26/2017",41.84,42,41.48,41.7,41.33615,5517100
"HAL","06/23/2017",41.9,42.02,41.36,41.5,41.13789,19487600
"HAL","06/22/2017",42.25,42.56,41.9,41.9,41.5344,11881200
"HAL","06/21/2017",43.15,43.21,41.95,42.23,41.86152,18500700
"HAL","06/20/2017",43.29,43.57,42.44,43.4,43.02132,11237600
"HAL","06/19/2017",44.3,44.42,43.62,43.97,43.58634,8613800
"HAL","06/16/2017",44.38,44.38,43.73,44.27,43.88372,10776800
"HAL","06/15/2017",44.4,44.71,43.86,44.08,43.69538,8839800
"HAL","06/14/2017",45.69,45.69,44.19,44.83,44.43884,13733100
"HAL","06/13/2017",44.98,46.18,44.8,45.84,45.44003,12214200
"HAL","06/12/2017",45.39,45.63,44.68,44.92,44.52805,9591600
"HAL","06/09/2017",44.23,45.26,44.18,44.85,44.45866,11389400
"HAL","06/08/2017",44.4,44.6,43.91,44.13,43.74495,10138400
"HAL","06/07/2017",45.71,46.01,44.01,44.4,44.01259,16379300
"HAL","06/06/2017",45.29,46.22,44.98,46,45.59863,9345500
"HAL","06/05/2017",44.77,45.54,44.77,45.32,44.92456,5920000
"HAL","06/05/2017",0,0,0,0,0,0
"HAL","06/02/2017",45.09,45.5,44.62,45.3,44.7263,9598300
"HAL","06/01/2017",45.3,45.88,44.82,45.49,44.9139,9067200
"HAL","05/31/2017",44.66,45.59,44.27,45.19,44.6177,9938200
"HAL","05/30/2017",45.36,45.43,44.95,45.15,44.57821,8476200
"HAL","05/26/2017",45.43,46.04,45.25,45.76,45.18048,9938800
"HAL","05/25/2017",47.59,48.32,45,45.41,44.83492,18438700
"HAL","05/24/2017",47.58,48.12,47.32,47.71,47.10579,10331900
"HAL","05/23/2017",47.06,47.86,46.68,47.6,46.99718,11837500
"HAL","05/22/2017",47.97,48.18,46.86,47.12,46.52326,9495500
"HAL","05/19/2017",47.29,48.04,47.04,47.78,47.1749,13304600
"HAL","05/18/2017",46.05,46.87,45.67,46.58,45.9901,9072300
"HAL","05/17/2017",46.78,47.11,46.22,46.34,45.75314,8064500
"HAL","05/16/2017",46.89,46.92,46.21,46.78,46.18756,8862700
"HAL","05/15/2017",46.2,47.11,45.97,46.51,45.92098,12600700
"HAL","05/12/2017",45.72,45.72,44.97,45.14,44.56833,8969300
"HAL","05/11/2017",46.37,46.37,45.56,45.61,45.03238,7942100
"HAL","05/10/2017",45.49,46.33,45.43,45.81,45.22985,10051500
"HAL","05/09/2017",45.37,45.5,44.8,45.03,44.45973,8453900
"HAL","05/08/2017",45.66,45.93,45.28,45.36,44.78555,8283100
"HAL","05/05/2017",44.6,45.71,44.54,45.58,45.00277,11907100
"HAL","05/04/2017",44.7,44.79,43.7,44.6,44.03518,13768700
"HAL","05/03/2017",45.12,45.55,44.91,45.25,44.67694,7261300
"HAL","05/02/2017",45.82,46.07,45.09,45.3,44.7263,7739700
"HAL","05/01/2017",45.94,46.12,45.56,45.77,45.19036,4640700
"HAL","04/28/2017",47.34,47.38,45.83,45.88,45.29896,7171000
"HAL","04/27/2017",46.6,46.82,45.1,46.4,45.81238,12907600
"HAL","04/26/2017",46.65,47.55,46.6,46.99,46.39491,7921900
"HAL","04/25/2017",46.88,47.22,46.71,47.02,46.42453,8032500
"HAL","04/24/2017",47.22,47.98,46.63,46.75,46.15794,11843600
"HAL","04/21/2017",47.15,47.66,46.78,47.06,46.46402,13268900
"HAL","04/20/2017",47.82,48.26,47.58,47.69,47.08604,6425000
"HAL","04/19/2017",48.73,48.84,47.15,47.43,46.82933,9432800
"HAL","04/18/2017",48.47,48.95,48.29,48.53,47.9154,4703300
"HAL","04/17/2017",48.38,48.85,48.24,48.84,48.22147,5249000
"HAL","04/13/2017",49.19,49.42,48.18,48.38,47.7673,6762400
"HAL","04/12/2017",50,50.23,49.15,49.33,48.70527,7358000
"HAL","04/11/2017",49.97,50.02,49.09,50.01,49.37666,6766900
"HAL","04/10/2017",49.94,50.23,49.75,49.97,49.33717,5588100
"HAL","04/07/2017",50.33,50.5,49.5,49.68,49.05084,6212000
"HAL","04/06/2017",50.2,50.45,49.86,50.15,49.51489,5773200
"HAL","04/05/2017",50.25,51.26,49.82,49.85,49.21868,12281900
"HAL","04/04/2017",49.3,49.69,48.76,49.55,48.92248,6288700
"HAL","04/03/2017",49.46,49.66,48.81,49.28,48.6559,6870700
"HAL","03/31/2017",49.02,49.52,48.91,49.21,48.58679,6392600
"HAL","03/30/2017",49.76,49.82,48.65,49.02,48.3992,11840200
"HAL","03/29/2017",48,49.52,47.96,49.22,48.59666,10831200
"HAL","03/28/2017",47.92,48.27,47.55,48.02,47.41186,10606800
"HAL","03/27/2017",48.6,48.77,47.52,47.78,47.1749,14193700
"HAL","03/24/2017",49.2,50.62,49.19,49.41,48.78426,9607400
"HAL","03/23/2017",49.74,50.16,49.43,49.71,49.08046,5620000
"HAL","03/22/2017",49.87,50.31,49.36,49.83,49.19894,7544900
"HAL","03/21/2017",51.11,51.26,49.82,50.15,49.51489,7673000
"HAL","03/20/2017",50.36,50.83,49.84,50.64,49.99868,7763200
"HAL","03/17/2017",51.15,51.47,50.59,50.78,50.1369,8131400
"HAL","03/16/2017",51.65,51.83,50.81,50.92,50.27513,7336000
"HAL","03/15/2017",50.32,51.92,49.99,51.54,50.88728,9993000
"HAL","03/14/2017",50.88,50.88,48.54,49.8,49.16932,13128100
"HAL","03/13/2017",51.02,51.33,50.67,50.88,50.23564,6272400
"HAL","03/10/2017",51.39,51.5,50.61,50.91,50.26526,7711100
"HAL","03/09/2017",50.59,50.99,49.75,50.89,50.24551,14967400
"HAL","03/08/2017",52.63,53.23,51.2,51.29,50.64045,14736900
"HAL","03/07/2017",53.72,53.78,52.83,52.97,52.29917,7246400
"HAL","03/06/2017",53.79,54,53.34,53.8,53.11866,5656100
"HAL","03/03/2017",54,54.4,53.7,53.87,53.18777,4092800
"HAL","03/02/2017",54.37,54.5,53.68,53.87,53.18777,5772100
"HAL","03/01/2017",53.97,55.21,53.94,54.7,54.00726,7176400
"HAL","02/28/2017",53,53.65,52.5,53.46,52.78297,6503700
"HAL","02/27/2017",52.86,53.71,52.59,53.2,52.52626,6902500
"HAL","02/27/2017",0,0,0,0,0,0
"HAL","02/24/2017",52.75,53,52.35,52.87,52.02272,6489600
"HAL","02/23/2017",53.75,54.28,53.1,53.19,52.33759,7971000
"HAL","02/22/2017",53.49,53.93,52.99,53.06,52.20968,7736100
"HAL","02/21/2017",54.44,54.93,53.8,53.84,52.97718,7496900
"HAL","02/17/2017",54.02,54.41,53.53,53.71,52.84926,9055800
