"symbol","date","open","high","low","close","adjclose","volume"
"HOLX","12/29/2017",43.5,43.5,42.68,42.75,42.75,1217600
"HOLX","12/28/2017",43.34,43.37,42.95,43.3,43.3,1001700
"HOLX","12/27/2017",43.39,43.45,43.14,43.23,43.23,847700
"HOLX","12/26/2017",43.34,43.61,43.16,43.23,43.23,509200
"HOLX","12/22/2017",43.24,43.49,43.13,43.37,43.37,809400
"HOLX","12/21/2017",43.6,43.67,43.12,43.25,43.25,1358600
"HOLX","12/20/2017",43.51,43.9,43.3,43.44,43.44,1797400
"HOLX","12/19/2017",43.36,43.82,43.26,43.49,43.49,2161200
"HOLX","12/18/2017",43.79,44.19,43.25,43.36,43.36,2264100
"HOLX","12/15/2017",43.4,43.67,42.67,43.53,43.53,4541700
"HOLX","12/14/2017",43.77,43.94,42.93,42.96,42.96,2346300
"HOLX","12/13/2017",43.75,43.92,43.35,43.68,43.68,2885000
"HOLX","12/12/2017",43.81,43.82,43.04,43.57,43.57,2950900
"HOLX","12/11/2017",43.47,44.18,43.1,43.82,43.82,4438400
"HOLX","12/08/2017",42.84,44,42.18,42.69,42.69,3666100
"HOLX","12/07/2017",41.43,41.94,41.27,41.68,41.68,2166300
"HOLX","12/06/2017",41.82,42.16,41.11,41.44,41.44,3069100
"HOLX","12/05/2017",41.84,42.31,41.52,41.89,41.89,2221400
"HOLX","12/04/2017",40.85,42.58,40.85,41.85,41.85,5889200
"HOLX","12/01/2017",41.7,41.93,40.37,40.85,40.85,4392600
"HOLX","11/30/2017",42.16,42.56,41.67,41.72,41.72,5542900
"HOLX","11/29/2017",40.56,42.68,40.56,42.27,42.27,4855300
"HOLX","11/28/2017",40.82,40.9,40.36,40.45,40.45,2311100
"HOLX","11/27/2017",40.84,41.04,40.48,40.77,40.77,2098600
"HOLX","11/24/2017",40.92,40.98,40.31,40.87,40.87,1037000
"HOLX","11/22/2017",40.59,41.06,39.87,40.88,40.88,3276300
"HOLX","11/21/2017",40.32,40.95,40.03,40.6,40.6,2693600
"HOLX","11/20/2017",39.84,40.23,39.77,40.19,40.19,2200800
"HOLX","11/17/2017",39.62,40.2,39.17,39.96,39.96,2092400
"HOLX","11/16/2017",39.29,39.8,38.84,39.72,39.72,1472600
"HOLX","11/15/2017",39.6,39.78,39.22,39.25,39.25,2598600
"HOLX","11/14/2017",40.34,40.55,39.32,39.62,39.62,4083900
"HOLX","11/13/2017",38.8,40.7,38.8,40.64,40.64,4259700
"HOLX","11/10/2017",39.53,39.85,38.58,38.97,38.97,4908600
"HOLX","11/09/2017",37.48,39.76,36.59,39.65,39.65,5799200
"HOLX","11/08/2017",39.29,39.75,38.96,39.54,39.54,3995600
"HOLX","11/07/2017",38.93,39.52,38.77,39.5,39.5,2970600
"HOLX","11/06/2017",39.4,39.47,38.81,39.06,39.06,2687400
"HOLX","11/03/2017",38.75,39.89,38.72,39.56,39.56,5262500
"HOLX","11/02/2017",38.14,38.5,38,38.42,38.42,3227500
"HOLX","11/01/2017",37.99,38.52,37.87,38.2,38.2,3508900
"HOLX","10/31/2017",37.27,37.87,37.15,37.85,37.85,2932900
"HOLX","10/30/2017",37.05,37.27,36.7,37.21,37.21,2666100
"HOLX","10/27/2017",37.13,37.43,36.89,37.24,37.24,2953400
"HOLX","10/26/2017",37.12,37.53,36.91,37.13,37.13,1978000
"HOLX","10/25/2017",36.84,37.11,36.75,37.03,37.03,1742800
"HOLX","10/24/2017",37.16,37.23,36.85,37.04,37.04,1810900
"HOLX","10/23/2017",37.16,37.61,37.04,37.2,37.2,1653200
"HOLX","10/20/2017",37.23,37.37,36.94,37.01,37.01,2339600
"HOLX","10/19/2017",36.78,37.16,36.78,37.08,37.08,2029200
"HOLX","10/18/2017",36.86,37.19,36.77,36.89,36.89,2647200
"HOLX","10/17/2017",35.91,36.88,35.76,36.81,36.81,4381400
"HOLX","10/16/2017",36.31,36.46,35.78,35.9,35.9,5243300
"HOLX","10/13/2017",36.5,36.59,36.23,36.28,36.28,2590500
"HOLX","10/12/2017",36.65,36.67,36.43,36.56,36.56,1750800
"HOLX","10/11/2017",36.69,36.92,36.44,36.66,36.66,2746500
"HOLX","10/10/2017",36.7,37.02,36.67,36.86,36.86,2428700
"HOLX","10/09/2017",37.38,37.54,36.59,36.89,36.89,2677200
"HOLX","10/06/2017",37.85,37.97,37.61,37.69,37.69,3022700
"HOLX","10/05/2017",37.88,38.27,37.71,37.79,37.79,2628200
"HOLX","10/04/2017",37.73,38.06,37.66,37.78,37.78,3329300
"HOLX","10/03/2017",37.2,37.74,37.15,37.7,37.7,4134500
"HOLX","10/02/2017",36.83,37.02,36.66,37.02,37.02,4157800
"HOLX","09/29/2017",36.59,37.1,36.2,36.69,36.69,5125400
"HOLX","09/28/2017",37.15,37.15,36.63,36.65,36.65,4144000
"HOLX","09/27/2017",37.46,37.46,36.98,37.17,37.17,3279700
"HOLX","09/26/2017",37.47,37.61,37.36,37.42,37.42,1400100
"HOLX","09/25/2017",37.51,37.64,37.19,37.36,37.36,1951600
"HOLX","09/22/2017",37.48,37.73,37.48,37.57,37.57,1935900
"HOLX","09/21/2017",37.4,37.67,37.19,37.53,37.53,2306300
"HOLX","09/20/2017",37.27,37.53,37.12,37.38,37.38,3965700
"HOLX","09/19/2017",37.25,37.46,36.98,37.13,37.13,3127100
"HOLX","09/18/2017",37.73,37.85,37.31,37.36,37.36,2276600
"HOLX","09/15/2017",37.72,38.03,37.48,37.72,37.72,3344500
"HOLX","09/14/2017",37.57,37.83,37.45,37.74,37.74,3561500
"HOLX","09/13/2017",38.18,38.3,37.03,37.56,37.56,6978400
"HOLX","09/12/2017",39.12,39.13,38.1,38.19,38.19,4419800
"HOLX","09/11/2017",39.26,39.59,38.77,39.2,39.2,3326600
"HOLX","09/08/2017",38.97,39.26,38.78,38.8,38.8,3423700
"HOLX","09/07/2017",39.04,39.17,38.86,38.9,38.9,2066700
"HOLX","09/06/2017",38.94,39.14,38.72,39.06,39.06,1718900
"HOLX","09/05/2017",38.27,39.27,38.27,38.92,38.92,3132300
"HOLX","09/01/2017",38.63,38.83,38.22,38.51,38.51,1770600
"HOLX","08/31/2017",38.08,38.82,37.92,38.6,38.6,2745600
"HOLX","08/30/2017",37.76,38.07,37.54,37.92,37.92,1971600
"HOLX","08/29/2017",37.24,37.92,37.11,37.77,37.77,2657800
"HOLX","08/28/2017",38.02,38.23,37.46,37.49,37.49,3264500
"HOLX","08/25/2017",37.63,38.06,37.63,37.91,37.91,2976600
"HOLX","08/24/2017",37.24,37.59,37.11,37.54,37.54,4864700
"HOLX","08/23/2017",37.51,37.53,37.19,37.19,37.19,2260800
"HOLX","08/22/2017",37.68,38,37.52,37.6,37.6,3056800
"HOLX","08/21/2017",37.39,37.68,37.22,37.63,37.63,2504600
"HOLX","08/18/2017",37.92,38.07,37.41,37.42,37.42,3632200
"HOLX","08/17/2017",38.16,38.48,37.9,37.95,37.95,3998800
"HOLX","08/16/2017",38.21,38.36,38.06,38.21,38.21,2818200
"HOLX","08/15/2017",38.46,38.51,37.98,38.19,38.19,3626800
"HOLX","08/14/2017",38.47,38.66,38.05,38.44,38.44,4694600
"HOLX","08/11/2017",37.53,38.31,37.19,38.2,38.2,3819100
"HOLX","08/10/2017",38.12,38.24,37.38,37.39,37.39,3691100
"HOLX","08/09/2017",38.81,38.98,38.17,38.33,38.33,5540900
"HOLX","08/08/2017",38.86,39.08,38.42,38.96,38.96,4143100
"HOLX","08/07/2017",38.68,39.26,38.43,39.03,39.03,4007600
"HOLX","08/04/2017",39.93,40.01,39.08,39.25,39.25,5768100
"HOLX","08/03/2017",40.2,40.68,39.29,39.91,39.91,13607800
"HOLX","08/02/2017",43.9,44.05,42.61,43.67,43.67,6896700
"HOLX","08/01/2017",44.37,44.41,43.97,44,44,2313700
"HOLX","07/31/2017",44.21,44.34,43.94,44.21,44.21,2102700
"HOLX","07/28/2017",44.43,44.74,43.82,44.12,44.12,2689200
"HOLX","07/27/2017",45.05,45.05,44.3,44.44,44.44,1863600
"HOLX","07/26/2017",45.13,45.18,44.8,45.14,45.14,1199700
"HOLX","07/25/2017",45.27,45.37,44.77,45.09,45.09,1363000
"HOLX","07/24/2017",45.02,45.28,44.89,45.13,45.13,1430600
"HOLX","07/21/2017",45.35,45.58,44.95,45.01,45.01,1566900
"HOLX","07/20/2017",45.4,45.54,45.07,45.41,45.41,1990900
"HOLX","07/19/2017",45.01,45.33,44.82,45.28,45.28,2259100
"HOLX","07/18/2017",44.59,44.98,44.31,44.95,44.95,1649700
"HOLX","07/17/2017",45.19,45.47,44.49,44.61,44.61,2992900
"HOLX","07/14/2017",44.92,45.37,44.73,45.17,45.17,1506900
"HOLX","07/13/2017",45.19,45.19,44.43,44.84,44.84,1660200
"HOLX","07/12/2017",44.76,45.17,44.68,45.16,45.16,2064500
