"symbol","date","open","high","low","close","adjclose","volume"
"JEC","12/29/2017",66.57,66.81,65.94,65.96,65.96,519500
"JEC","12/28/2017",66.61,66.75,66.14,66.57,66.57,506700
"JEC","12/27/2017",66.27,66.31,65.6,66.28,66.28,729100
"JEC","12/26/2017",65.94,66.4,65.16,66.05,66.05,733700
"JEC","12/22/2017",66.9,66.9,66.01,66.28,66.28,495900
"JEC","12/21/2017",66.74,66.81,66.06,66.48,66.48,735400
"JEC","12/20/2017",66.95,67.03,66.37,66.39,66.39,885200
"JEC","12/19/2017",66.63,67.01,66.34,66.39,66.39,919100
"JEC","12/18/2017",66.43,67.2,66.3,66.74,66.74,1244400
"JEC","12/15/2017",66.43,67.18,65.93,66.19,66.19,1636100
"JEC","12/14/2017",67.06,67.12,65.9,66.13,66.13,1190600
"JEC","12/13/2017",68.63,69.35,67.92,68.16,68.16,906900
"JEC","12/12/2017",68.46,68.95,68.2,68.39,68.39,714500
"JEC","12/11/2017",68.44,68.57,67.83,68.38,68.38,731700
"JEC","12/08/2017",68,68.69,67.56,68.51,68.51,854100
"JEC","12/07/2017",68.97,68.97,67.49,67.69,67.69,1041700
"JEC","12/06/2017",66.36,68.12,66.31,67.69,67.69,1247300
"JEC","12/05/2017",66.85,66.89,66.04,66.46,66.46,795600
"JEC","12/04/2017",66.3,67.69,66.12,66.69,66.69,1110500
"JEC","12/01/2017",65.87,65.99,63.88,65.46,65.46,733600
"JEC","11/30/2017",65.01,66.2,64.67,65.63,65.63,1024900
"JEC","11/29/2017",64.46,65.34,64.12,64.83,64.83,764800
"JEC","11/28/2017",63.39,64.75,62.73,64.56,64.56,1483100
"JEC","11/27/2017",63.33,63.9,62.89,63.32,63.32,903100
"JEC","11/24/2017",64.81,64.81,63.03,63.29,63.29,619300
"JEC","11/22/2017",64.92,65.8,64.28,64.78,64.78,864700
"JEC","11/21/2017",62.06,65.29,61.41,64.86,64.86,1966100
"JEC","11/20/2017",58.61,59.78,58.54,59.34,59.34,679000
"JEC","11/17/2017",58.26,58.86,58.23,58.63,58.63,390300
"JEC","11/16/2017",57.55,58.43,57.32,58.43,58.43,581100
"JEC","11/15/2017",57.49,57.97,57.21,57.35,57.35,445200
"JEC","11/14/2017",59.42,59.43,57.81,57.94,57.94,618400
"JEC","11/13/2017",59.33,59.83,58.88,59.82,59.82,503400
"JEC","11/10/2017",60.04,60.3,59.73,60.03,60.03,619200
"JEC","11/09/2017",60.64,60.64,59.68,60.28,60.28,540100
"JEC","11/08/2017",60.77,61.14,60.17,61.12,61.12,692800
"JEC","11/07/2017",61.2,61.33,60.7,60.93,60.93,825400
"JEC","11/06/2017",59.25,61.18,59.16,61.11,61.11,954700
"JEC","11/03/2017",58.63,59.43,58.19,59.29,59.29,589700
"JEC","11/02/2017",58.2,58.93,58.04,58.74,58.74,376800
"JEC","11/01/2017",58.38,58.87,58.12,58.29,58.29,516100
"JEC","10/31/2017",58.6,58.84,58.17,58.21,58.21,563600
"JEC","10/30/2017",58.34,58.86,58.34,58.46,58.46,395800
"JEC","10/27/2017",58.49,59,58.42,58.71,58.71,338100
"JEC","10/26/2017",58,58.92,58,58.73,58.73,465300
"JEC","10/25/2017",58.56,58.69,57.57,58.08,58.08,423600
"JEC","10/24/2017",58.35,58.91,58.35,58.59,58.59,573700
"JEC","10/23/2017",58.75,59.06,58.21,58.34,58.34,376000
"JEC","10/20/2017",58.67,58.86,58.46,58.82,58.82,351400
"JEC","10/19/2017",57.93,58.35,57.93,58.3,58.3,396700
"JEC","10/18/2017",58.23,58.53,58.15,58.17,58.17,506200
"JEC","10/17/2017",58.91,58.96,58.08,58.23,58.23,589000
"JEC","10/16/2017",59.01,59.27,58.73,59,59,488600
"JEC","10/13/2017",58.77,58.77,58.4,58.55,58.55,571400
"JEC","10/12/2017",57.82,58.6,57.78,58.52,58.52,508000
"JEC","10/12/2017",0,0,0,0,0,0
"JEC","10/11/2017",58.37,58.37,57.8,58.01,57.86,605100
"JEC","10/10/2017",58.96,58.96,58.17,58.36,58.2091,437700
"JEC","10/09/2017",58.91,59.05,58.13,58.38,58.22904,552100
"JEC","10/06/2017",58.51,58.98,58.24,58.96,58.80754,433000
"JEC","10/05/2017",58.8,59.13,58.53,58.79,58.63799,452100
"JEC","10/04/2017",58.43,58.82,58.12,58.6,58.44847,678900
"JEC","10/03/2017",58.85,58.98,57.99,58.44,58.28889,629600
"JEC","10/02/2017",58.14,58.79,57.93,58.79,58.63799,914600
"JEC","09/29/2017",58.18,58.3,57.67,58.27,58.11933,588200
"JEC","09/28/2017",58.28,58.46,57.58,58.17,58.01958,668000
"JEC","09/27/2017",58.5,58.51,57.9,58.34,58.18915,558600
"JEC","09/26/2017",58.31,58.49,57.82,58.3,58.14925,583300
"JEC","09/25/2017",57.52,58.44,57.51,58.26,58.10935,611500
"JEC","09/22/2017",57.4,57.63,56.88,57.54,57.39122,816100
"JEC","09/21/2017",57.83,57.96,57.38,57.41,57.26155,601000
"JEC","09/20/2017",57,57.76,56.95,57.72,57.57075,744500
"JEC","09/19/2017",56.86,57.01,56.61,56.85,56.703,620000
"JEC","09/18/2017",56.03,56.88,55.85,56.76,56.61323,1252400
"JEC","09/15/2017",55.7,56.45,55.61,55.95,55.80533,1034600
"JEC","09/14/2017",55.8,56.15,55.66,55.79,55.64574,441800
"JEC","09/13/2017",55.79,56.4,55.67,55.98,55.83525,582600
"JEC","09/12/2017",55.2,56.18,55.17,55.93,55.78538,612700
"JEC","09/11/2017",55,55.19,54.6,54.89,54.74807,1276400
"JEC","09/08/2017",54.36,55,53.94,54.63,54.48874,597800
"JEC","09/07/2017",54.52,54.65,53.85,54.44,54.29923,930200
"JEC","09/06/2017",54.57,54.83,54.22,54.49,54.3491,607900
"JEC","09/05/2017",55.25,55.36,54,54.38,54.23939,1207000
"JEC","09/01/2017",54.74,55.44,54.63,55.13,54.98745,802200
"JEC","08/31/2017",54.01,54.62,53.75,54.49,54.3491,824400
"JEC","08/30/2017",53.1,53.96,52.54,53.75,53.61102,593900
"JEC","08/29/2017",51.96,53.38,51.96,53.17,53.03251,1014200
"JEC","08/28/2017",52.31,52.44,51.82,52.23,52.09494,811600
"JEC","08/25/2017",51.65,52.2,51.45,51.94,51.80569,590700
"JEC","08/24/2017",51.43,51.7,51.24,51.33,51.19727,780300
"JEC","08/23/2017",50.6,51.56,50.41,51.33,51.19727,1048800
"JEC","08/22/2017",49.72,50.96,49.6,50.87,50.73846,1476900
"JEC","08/21/2017",49.86,49.87,49.31,49.58,49.4518,820200
"JEC","08/18/2017",50.04,50.6,49.71,49.85,49.7211,937500
"JEC","08/17/2017",50.89,51.33,50.21,50.25,50.12006,832700
"JEC","08/16/2017",51.8,52.12,50.97,51.05,50.918,736800
"JEC","08/15/2017",52.59,52.69,51.55,51.57,51.43665,821800
"JEC","08/14/2017",53.14,53.36,52.69,52.73,52.59365,532800
"JEC","08/11/2017",52.47,53,52.36,52.58,52.44404,1007300
"JEC","08/10/2017",53.85,54.62,52.63,52.68,52.54378,1260100
"JEC","08/09/2017",53.74,54.27,53.33,54.22,54.0798,923400
"JEC","08/08/2017",53.3,54.99,52.61,54.12,53.98006,1493100
"JEC","08/07/2017",52.34,52.69,52.1,52.31,52.17474,905100
"JEC","08/04/2017",52.67,52.93,52.01,52.48,52.3443,908200
"JEC","08/03/2017",52.84,53.11,51.85,52.67,52.53381,1657900
"JEC","08/02/2017",52.97,54.5,52.79,53.35,53.21205,2135300
"JEC","08/02/2017",0,0,0,0,0,0
"JEC","08/01/2017",52.99,53.42,52.56,53.25,52.96269,738300
"JEC","07/31/2017",52.63,53.22,52.32,52.72,52.43556,610500
"JEC","07/28/2017",52.89,53.07,52.09,52.39,52.10733,604900
"JEC","07/27/2017",52.84,53.1,52.59,53.06,52.77372,443800
"JEC","07/26/2017",53.11,53.25,52.22,52.8,52.51513,441600
"JEC","07/25/2017",52.67,53.42,52.53,52.99,52.7041,411400
"JEC","07/24/2017",52,52.28,51.35,52.17,51.88852,799500
