"symbol","date","open","high","low","close","adjclose","volume"
"JNJ","12/29/2017",140.98,141.21,139.58,139.72,139.72,4452900
"JNJ","12/28/2017",140.7,141,140.33,140.56,140.56,2485000
"JNJ","12/27/2017",140.42,141.15,140.2,140.57,140.57,3753600
"JNJ","12/26/2017",140.46,140.54,139.68,140.09,140.09,3271100
"JNJ","12/22/2017",141,141.35,140.04,140.12,140.12,4665600
"JNJ","12/21/2017",141.59,142.17,141.02,141.06,141.06,6284700
"JNJ","12/20/2017",142.26,142.58,141.08,141.16,141.16,6289800
"JNJ","12/19/2017",141.89,142.38,141.36,141.78,141.78,6580100
"JNJ","12/18/2017",142.56,143.8,141.4,141.8,141.8,5833200
"JNJ","12/15/2017",142.48,143.14,141.78,142.46,142.46,12517000
"JNJ","12/14/2017",143.52,143.62,141.61,141.65,141.65,5337900
"JNJ","12/13/2017",142.5,143.43,142.21,142.89,142.89,6118400
"JNJ","12/12/2017",142.6,143.57,142.04,142.6,142.6,8016700
"JNJ","12/11/2017",140.9,141.17,139.83,141.14,141.14,4358600
"JNJ","12/08/2017",140,140.76,139.8,140.59,140.59,5101300
"JNJ","12/07/2017",140.01,141.5,139.26,140.01,140.01,4713100
"JNJ","12/06/2017",140.84,141.96,140.19,141.06,141.06,5591700
"JNJ","12/05/2017",139.79,140.81,139.2,139.67,139.67,6745300
"JNJ","12/04/2017",140.62,141.5,138.93,139.01,139.01,5916700
"JNJ","12/01/2017",139.57,140.53,138.6,139.98,139.98,5990500
"JNJ","11/30/2017",140.06,140.28,138.48,139.33,139.33,8941900
"JNJ","11/29/2017",140.22,140.63,138.95,139.81,139.81,5851400
"JNJ","11/28/2017",138.3,140.53,138.25,140.02,140.02,5052800
"JNJ","11/27/2017",137.51,138.31,137.48,138.1,138.1,3933100
"JNJ","11/27/2017",0,0,0,0,0,0
"JNJ","11/24/2017",137.5,138.38,137.31,138.01,137.17,2606800
"JNJ","11/22/2017",138.3,138.38,136.6,137.29,136.4544,3917000
"JNJ","11/21/2017",138.45,139.26,138.19,138.34,137.498,5660600
