"symbol","date","open","high","low","close","adjclose","volume"
"KHC","12/29/2017",77.7,78.68,77.69,77.76,77.76,2443700
"KHC","12/28/2017",78.22,78.29,77.72,77.92,77.92,1883800
"KHC","12/27/2017",78.24,78.6,77.95,77.98,77.98,1757300
"KHC","12/26/2017",78.12,78.47,78,78.11,78.11,2532000
"KHC","12/22/2017",78.14,78.6,77.88,78.24,78.24,3091400
"KHC","12/21/2017",77.84,78.17,77.07,77.88,77.88,4562400
"KHC","12/20/2017",78.81,78.89,77.32,77.38,77.38,3802400
"KHC","12/19/2017",79.52,79.82,78.39,78.52,78.52,2889900
"KHC","12/18/2017",79.98,80.36,79.29,79.37,79.37,2721100
"KHC","12/15/2017",79.8,79.83,79.01,79.54,79.54,6684900
"KHC","12/14/2017",79.28,79.7,78.87,78.98,78.98,3321300
"KHC","12/13/2017",79.25,79.6,78.77,79.28,79.28,3028300
"KHC","12/12/2017",78.33,79.09,78.12,78.95,78.95,3140800
"KHC","12/11/2017",78.18,78.39,77.19,78.37,78.37,3988400
"KHC","12/08/2017",79.6,79.706,77.935,78.48,78.48,5332600
"KHC","12/07/2017",80.17,80.5,79.31,79.36,79.36,2532300
"KHC","12/06/2017",80.75,81.14,80.24,80.49,80.49,2582100
"KHC","12/05/2017",82.05,82.48,80.51,80.64,80.64,3248000
"KHC","12/04/2017",81.32,82.29,81.165,81.92,81.92,2908100
"KHC","12/01/2017",80.95,81.6,80.29,81.21,81.21,3360800
"KHC","11/30/2017",81.44,82.18,80.5,81.37,81.37,4409700
"KHC","11/29/2017",78.95,81.56,78.83,81.09,81.09,4067400
"KHC","11/28/2017",79.7,79.86,78.715,78.98,78.98,3165500
"KHC","11/27/2017",79.76,80.04,79.45,79.61,79.61,4605000
"KHC","11/24/2017",80.25,80.35,79.54,79.76,79.76,1144800
"KHC","11/22/2017",80.04,80.2,79.59,79.82,79.82,2923900
"KHC","11/21/2017",80.12,80.29,79.76,80.01,80.01,2455600
"KHC","11/20/2017",79.7,80.96,79.63,79.93,79.93,3736700
"KHC","11/17/2017",79.63,80.07,79.275,79.63,79.63,4263200
"KHC","11/16/2017",78.72,80.16,78.51,79.68,79.68,3028900
"KHC","11/16/2017",0,0,0,0,0,0
"KHC","11/15/2017",79.49,79.89,78.57,78.78,78.155,3277400
"KHC","11/14/2017",79.54,79.88,79.03,79.38,78.75024,2839200
"KHC","11/13/2017",79.66,80.37,79.6,79.85,79.21651,3237500
"KHC","11/10/2017",78.97,79.88,78.97,79.72,79.08754,3403000
"KHC","11/09/2017",79.26,79.94,79.02,79.41,78.78001,3431600
"KHC","11/08/2017",78.64,80.09,78.22,79.58,78.94865,4058700
"KHC","11/07/2017",76.93,78.64,76.49,78.18,77.55976,3421700
"KHC","11/06/2017",78.09,78.22,76.51,77,76.38912,4682000
"KHC","11/03/2017",77.87,78.19,77.57,78,77.38119,4077600
"KHC","11/02/2017",76.84,78.19,75.51,78.03,77.41095,6533400
"KHC","11/01/2017",77.71,77.86,77.08,77.7,77.08356,4052600
"KHC","10/31/2017",76.18,77.4,76.02,77.33,76.71651,4836100
"KHC","10/30/2017",77.2,77.22,75.21,75.27,74.67284,5216300
"KHC","10/27/2017",76.82,77.47,76.235,77.3,76.68674,3751800
"KHC","10/26/2017",77.59,77.94,77.15,77.3,76.68674,2849600
"KHC","10/25/2017",76.73,77.42,76.23,77.33,76.71651,3927100
"KHC","10/24/2017",77.12,77.42,76.93,77.22,76.60738,3061500
"KHC","10/23/2017",76.88,77.1,76.45,77.06,76.44864,4240900
"KHC","10/20/2017",76.77,77.1,76.12,76.71,76.10142,4761200
"KHC","10/19/2017",77,77.088,76.31,76.47,75.86333,3965000
"KHC","10/18/2017",77.41,77.462,76.67,77.1,76.48833,3279400
