"symbol","date","open","high","low","close","adjclose","volume"
"LEN","12/29/2017",64.04,64.37,63.1,63.24,63.24,2130300
"LEN","12/28/2017",64.01,64.17,63.69,63.82,63.82,3270700
"LEN","12/27/2017",64.05,64.4,63.82,63.92,63.92,3694800
"LEN","12/26/2017",64,64.42,63.74,63.89,63.89,1788300
"LEN","12/22/2017",64,64.24,63.51,64,64,3922200
"LEN","12/21/2017",62.75,64.01,62.75,63.75,63.75,2171700
"LEN","12/20/2017",62.25,62.9,62.04,62.56,62.56,2200200
"LEN","12/19/2017",62.55,62.58,61.84,61.88,61.88,2164900
"LEN","12/18/2017",61.88,62.62,61.88,62.36,62.36,2721000
"LEN","12/15/2017",61.39,61.63,61.08,61.4,61.4,4080900
"LEN","12/14/2017",61.15,61.66,61.01,61.14,61.14,2718800
"LEN","12/13/2017",61.71,61.82,61.04,61.11,61.11,2756500
"LEN","12/12/2017",61.43,62.29,61.41,61.43,61.43,2616400
"LEN","12/11/2017",62.54,62.58,61.35,61.68,61.68,2817000
"LEN","12/08/2017",61.82,62.23,61.64,62.18,62.18,2041000
"LEN","12/07/2017",60.84,62.19,60.67,61.71,61.71,2277600
"LEN","12/06/2017",61.75,62.18,60.84,60.91,60.91,3864600
"LEN","12/05/2017",61.54,62.55,61.03,62.03,62.03,3727600
"LEN","12/04/2017",63.41,63.94,62.84,62.98,62.98,4516300
"LEN","12/01/2017",62.84,63.27,61.26,62.56,62.56,4958600
"LEN","11/30/2017",62.67,63.15,62.2,62.78,62.78,4778500
"LEN","11/29/2017",61.5,62.66,61,62.18,62.18,5049400
"LEN","11/28/2017",60.92,61.58,60.81,61.54,61.54,4147800
"LEN","11/27/2017",61.01,61.13,60.23,60.75,60.75,3958000
"LEN","11/24/2017",60.74,61.35,60.69,61.02,61.02,1290800
"LEN","11/22/2017",60.36,60.81,60.05,60.61,60.61,2669400
"LEN","11/21/2017",59.52,60.86,59.32,60.53,60.53,3510700
"LEN","11/20/2017",58.88,59.31,58.73,59.12,59.12,3729000
"LEN","11/17/2017",57.92,59.1,57.81,58.89,58.89,3717600
"LEN","11/16/2017",58.12,58.51,57.88,58.09,58.09,2942800
"LEN","11/15/2017",58.27,58.48,57.74,58.02,58.02,2463000
"LEN","11/14/2017",57.81,58.58,57.75,58.56,58.56,3250600
"LEN","11/13/2017",58.36,58.69,58.02,58.22,58.22,3921700
"LEN","11/10/2017",58.67,59.32,58.32,58.71,58.71,5263800
"LEN","11/09/2017",57.48,59.07,57.19,58.93,58.93,7262300
"LEN","11/09/2017",0,0,0,0,0,0
"LEN","11/08/2017",55.33923,57.59095,54.92625,57.58112,57.58112,5484200
"LEN","11/07/2017",55.3589,56.13569,55.25074,55.53589,55.53589,3111100
"LEN","11/06/2017",54.89676,55.31957,53.63815,55.20157,55.20157,3136900
"LEN","11/03/2017",54.09046,54.51328,53.52999,53.70698,53.70698,4465900
"LEN","11/02/2017",56.06686,56.16519,53.9823,54.17896,54.17896,6657400
"LEN","11/01/2017",55.15241,56.02753,54.53294,56.00787,56.00787,6869400
"LEN","10/31/2017",54.90659,55.06392,53.99213,54.73943,54.73943,8679000
"LEN","10/30/2017",55.22124,56.29302,54.59194,54.74926,54.74926,13277000
"LEN","10/27/2017",57.46313,57.65978,56.91249,57.04031,57.04031,1782000
"LEN","10/26/2017",57.23697,57.63028,57.02065,57.48279,57.48279,1687300
"LEN","10/25/2017",57.61062,57.97443,56.87316,56.97149,56.97149,3177300
"LEN","10/24/2017",56.39135,57.15831,56.39135,57.04031,57.04031,2417400
"LEN","10/23/2017",56.44051,56.94199,56.13569,56.34218,56.34218,2179700
"LEN","10/20/2017",56.81416,57.03048,56.0472,56.53884,56.53884,2366400
"LEN","10/19/2017",55.30973,55.97837,54.86726,55.80138,55.80138,2472400
"LEN","10/18/2017",55.02458,55.50639,54.86726,55.3294,55.3294,4234100
"LEN","10/18/2017",0,0,0,0,0,0
"LEN","10/17/2017",54.92625,55.24091,54.79843,55.03442,54.99442,2213800
"LEN","10/16/2017",55.10324,55.3294,54.73943,54.92625,54.88633,1288100
"LEN","10/13/2017",55.34907,55.74238,55.05408,55.08358,55.04354,1462700
"LEN","10/12/2017",55.37856,55.75221,55.10324,55.11308,55.07302,1457100
"LEN","10/11/2017",55.16224,55.67355,55.12291,55.63422,55.59378,2037300
"LEN","10/10/2017",55.21141,55.52606,54.84759,55.2999,55.25971,1844100
"LEN","10/09/2017",54.78859,55.4474,54.66077,55.26057,55.22041,1666300
"LEN","10/06/2017",55.08358,55.2704,54.60177,54.95575,54.91581,2878600
"LEN","10/05/2017",55.53589,55.83088,55.02458,55.13274,55.09267,2891700
"LEN","10/04/2017",54.13963,55.49656,54.13963,55.46706,55.42675,3666600
"LEN","10/03/2017",53.9823,54.91642,52.61554,54.42478,54.38522,8070900
