"symbol","date","open","high","low","close","adjclose","volume"
"LNC","12/29/2017",77.57,77.82,76.73,76.87,76.87,1014700
"LNC","12/28/2017",77.27,77.5,76.83,77.35,77.35,858300
"LNC","12/27/2017",77.55,77.55,76.87,77.2,77.2,798200
"LNC","12/26/2017",77.84,78.29,77.24,77.49,77.49,536700
"LNC","12/22/2017",78.43,78.43,76.87,77.75,77.75,1018100
"LNC","12/21/2017",77.77,78.59,77.61,77.94,77.94,1810800
"LNC","12/20/2017",77.74,77.8,77.07,77.41,77.41,906200
"LNC","12/19/2017",76.75,77.24,76.61,76.81,76.81,1595200
"LNC","12/18/2017",77,77.22,75.76,76.44,76.44,1905900
"LNC","12/15/2017",76.27,76.93,75.84,76.19,76.19,2250500
"LNC","12/14/2017",76.25,76.8,75.63,75.7,75.7,1014500
"LNC","12/13/2017",77.37,77.56,75.82,75.85,75.85,1210700
"LNC","12/12/2017",77.46,78.21,77.23,77.57,77.57,959400
"LNC","12/11/2017",78.52,78.74,77.05,77.17,77.17,1221500
"LNC","12/08/2017",78.08,78.73,77.83,78.54,78.54,1530300
"LNC","12/07/2017",76.26,77.97,76.22,77.59,77.59,1231200
"LNC","12/06/2017",75.64,76.93,75.41,76.5,76.5,1227100
"LNC","12/05/2017",77.84,77.84,75.8,75.91,75.91,1418400
"LNC","12/04/2017",77.99,78.44,77.33,77.5,77.5,1213400
"LNC","12/01/2017",76.7,76.92,74,76.51,76.51,1434600
"LNC","11/30/2017",77.22,77.95,76.26,76.55,76.55,1950200
"LNC","11/29/2017",75.58,77.64,75.23,76.55,76.55,1358700
"LNC","11/28/2017",73.48,75.22,73.3,74.83,74.83,1636900
"LNC","11/27/2017",73.21,73.61,72.99,73.26,73.26,810000
"LNC","11/24/2017",73.95,73.95,73.12,73.14,73.14,574200
"LNC","11/22/2017",73.56,74,73.38,73.59,73.59,704300
"LNC","11/21/2017",74.39,74.39,73.49,73.5,73.5,1130200
"LNC","11/20/2017",74.55,74.83,74,74.18,74.18,1066100
"LNC","11/17/2017",73.47,74.74,73.47,74.28,74.28,1100400
"LNC","11/16/2017",74.58,74.97,73.57,74.01,74.01,1418700
"LNC","11/15/2017",72.68,74.4,72.54,73.95,73.95,1484200
"LNC","11/14/2017",73.26,73.51,72.76,73.44,73.44,1150100
"LNC","11/13/2017",73.11,74.14,73.01,73.9,73.9,1060500
"LNC","11/10/2017",74.43,75.05,73.32,73.49,73.49,1112200
"LNC","11/09/2017",74.72,75.2,73.77,74.33,74.33,1057400
"LNC","11/08/2017",75.19,75.7,74.76,75.33,75.33,896500
"LNC","11/07/2017",76.84,77.13,74.94,75.4,75.4,1158200
"LNC","11/06/2017",75.56,76.7,75.52,76.64,76.64,846100
"LNC","11/03/2017",76.03,76.72,75.4,75.64,75.64,1187800
"LNC","11/02/2017",76.09,77.46,74.39,76.72,76.72,2085800
"LNC","11/01/2017",76.02,76.75,74.66,75.56,75.56,1997700
"LNC","10/31/2017",76.25,76.8,75.74,75.78,75.78,1466700
"LNC","10/30/2017",76.62,77.34,76.39,76.4,76.4,993000
"LNC","10/27/2017",76.78,77.33,76.26,77.33,77.33,911700
"LNC","10/26/2017",76.63,77.36,76.63,76.99,76.99,1139100
"LNC","10/25/2017",77.29,77.34,76.03,76.46,76.46,1306300
"LNC","10/24/2017",76.05,77.29,75.99,77.21,77.21,1337900
"LNC","10/23/2017",75.75,76.32,75.25,75.62,75.62,1105200
"LNC","10/20/2017",76.02,76.02,75.42,75.55,75.55,1082400
"LNC","10/19/2017",73.94,75.01,73.64,75,75,802300
"LNC","10/18/2017",74.99,75.06,74.3,74.55,74.55,1284600
"LNC","10/17/2017",75.62,75.73,74.57,74.75,74.75,878100
"LNC","10/16/2017",75.06,75.95,75.06,75.45,75.45,843600
"LNC","10/13/2017",74.77,75.71,74.33,74.87,74.87,1013400
"LNC","10/12/2017",75.28,75.49,74.8,74.85,74.85,903400
"LNC","10/11/2017",75.03,75.49,74.41,75.28,75.28,872800
"LNC","10/10/2017",74.94,75.56,74.72,75.33,75.33,864100
"LNC","10/09/2017",75.13,75.28,74.38,74.7,74.7,583400
"LNC","10/06/2017",75.03,76.1,74.25,75,75,1035800
"LNC","10/06/2017",0,0,0,0,0,0
"LNC","10/05/2017",74.2,75.3,74.04,74.9,74.61,960800
"LNC","10/04/2017",73.78,74.67,73.78,74.2,73.9127,909800
"LNC","10/03/2017",74.3,74.41,73.39,73.77,73.48437,1072600
"LNC","10/02/2017",73.71,74.38,73.18,74.26,73.97248,1100400
"LNC","09/29/2017",73.3,73.89,73.03,73.48,73.1955,1088500
