"symbol","date","open","high","low","close","adjclose","volume"
"LUK","12/29/2017",26.7,26.7,26.27,26.49,26.49,1348100
"LUK","12/28/2017",26.47,26.68,26.36,26.65,26.65,1398000
"LUK","12/27/2017",26.55,26.55,26.29,26.43,26.43,841800
"LUK","12/26/2017",26.32,26.6,26.3,26.53,26.53,1208900
"LUK","12/22/2017",26.46,26.46,26.06,26.21,26.21,1343200
"LUK","12/21/2017",26.49,26.68,26.38,26.46,26.46,2407600
"LUK","12/20/2017",26.05,26.63,25.95,26.42,26.42,3360500
"LUK","12/19/2017",26.09,26.3,25.69,25.71,25.71,1719000
"LUK","12/18/2017",25.85,26.08,25.71,25.86,25.86,1512100
"LUK","12/15/2017",25.67,25.9,25.39,25.67,25.67,2843700
"LUK","12/14/2017",25.64,25.71,25.43,25.46,25.46,2110500
"LUK","12/13/2017",26.04,26.09,25.49,25.51,25.51,3104000
"LUK","12/12/2017",26.09,26.33,26,26.11,26.11,2173000
"LUK","12/12/2017",0,0,0,0,0,0
"LUK","12/11/2017",26.07,26.23,25.93,26.06,25.96,1903500
"LUK","12/08/2017",26.15,26.23,25.96,26.1,25.99985,1346300
"LUK","12/07/2017",26,26.13,25.77,26,25.90023,1442100
"LUK","12/06/2017",25.97,26.08,25.9,25.94,25.84046,2976900
"LUK","12/05/2017",26.42,26.42,25.88,25.99,25.89027,2834000
"LUK","12/04/2017",26.85,27,26.38,26.39,26.28873,3247800
"LUK","12/01/2017",26.43,26.82,25.9,26.43,26.32858,1896900
"LUK","11/30/2017",26.8,26.87,26.22,26.31,26.20904,2694300
"LUK","11/29/2017",26.74,27.09,26.52,26.63,26.52781,1906900
"LUK","11/28/2017",25.78,26.58,25.76,26.51,26.40827,1710400
"LUK","11/27/2017",25.59,25.8,25.47,25.67,25.5715,1143900
"LUK","11/24/2017",25.54,25.78,25.52,25.68,25.58146,819500
"LUK","11/22/2017",25.66,25.7,25.36,25.36,25.26269,967500
"LUK","11/21/2017",25.69,25.97,25.63,25.67,25.5715,1148400
"LUK","11/20/2017",25.22,25.81,25.17,25.62,25.52169,1761100
"LUK","11/17/2017",24.94,25.32,24.92,25.13,25.03357,1544100
"LUK","11/16/2017",25.38,25.54,24.99,25.05,24.95387,1916700
"LUK","11/15/2017",25.15,25.38,24.96,25.27,25.17303,1436700
"LUK","11/14/2017",25.54,25.71,25.25,25.32,25.22284,1073300
"LUK","11/13/2017",25.49,25.69,25.27,25.65,25.55157,1083400
"LUK","11/10/2017",26.03,26.15,25.66,25.66,25.56153,903000
"LUK","11/09/2017",25.87,26.1,25.77,26.06,25.96,1110900
