"symbol","date","open","high","low","close","adjclose","volume"
"MA","12/29/2017",152.21,152.9,151.36,151.36,151.36,2258800
"MA","12/28/2017",151.86,152.62,151.2,151.77,151.77,1570600
"MA","12/27/2017",151.56,151.78,151.1,151.4,151.4,1730200
"MA","12/26/2017",150.58,151.34,149.89,151.28,151.28,1200700
"MA","12/22/2017",150.94,151.52,150.31,150.85,150.85,1892300
"MA","12/21/2017",151.45,152.23,150.43,150.53,150.53,2789000
"MA","12/20/2017",152.51,152.73,151.04,151.45,151.45,1992500
"MA","12/19/2017",152.96,153.16,151.43,151.68,151.68,2712700
"MA","12/18/2017",154.14,154.65,153.06,153.12,153.12,3531500
"MA","12/15/2017",152.65,153.62,150.86,153.4,153.4,5067300
"MA","12/14/2017",151.92,153.55,151.78,151.93,151.93,3016700
"MA","12/13/2017",152.5,153.44,151.66,151.69,151.69,3618700
"MA","12/12/2017",150.83,153.73,150.61,152.5,152.5,3360300
"MA","12/11/2017",150.22,151.25,150.1,150.88,150.88,3394800
"MA","12/08/2017",150.42,150.44,149.17,149.89,149.89,2521500
"MA","12/07/2017",147.51,150.41,147.51,149.45,149.45,3417900
"MA","12/06/2017",145.07,148.07,144.62,147.42,147.42,3752000
"MA","12/05/2017",143.7,146.32,140.61,145.13,145.13,6807100
"MA","12/04/2017",149.92,150.59,143.38,143.43,143.43,7490100
"MA","12/01/2017",150.4,150.99,147.35,149.69,149.69,3933000
"MA","11/30/2017",149.32,151.17,148.21,150.47,150.47,6943700
"MA","11/29/2017",154.35,154.47,145.28,148.35,148.35,7217000
"MA","11/28/2017",153.51,154.65,153.36,154.19,154.19,3874500
"MA","11/27/2017",153.07,153.94,152.72,152.97,152.97,3260200
"MA","11/24/2017",151.4,153,151.2,152.74,152.74,1577500
"MA","11/22/2017",152.41,152.55,150.95,151.25,151.25,2658600
"MA","11/21/2017",149.97,152.63,149.93,152.51,152.51,3999000
"MA","11/20/2017",149.36,150.29,149.23,149.56,149.56,2048700
"MA","11/17/2017",149.33,149.52,148.28,149.02,149.02,3186400
"MA","11/16/2017",149,150.54,148.6,150.33,150.33,2715400
"MA","11/15/2017",149.37,149.51,148.1,148.33,148.33,3058100
