"symbol","date","open","high","low","close","adjclose","volume"
"MCHP","12/29/2017",88.7,89,87.83,87.88,87.88,904000
"MCHP","12/28/2017",88.9,89,88.18,88.61,88.61,1161200
"MCHP","12/27/2017",88.95,89.12,88.29,88.4,88.4,819200
"MCHP","12/26/2017",88.19,88.92,87.77,88.63,88.63,587600
"MCHP","12/22/2017",89.33,89.61,88.12,88.92,88.92,929300
"MCHP","12/21/2017",90.32,90.65,89.38,89.46,89.46,1414900
"MCHP","12/20/2017",90.06,90.89,89.47,90.22,90.22,1793600
"MCHP","12/19/2017",89.22,89.84,88.42,89.59,89.59,1758900
"MCHP","12/18/2017",87.29,89.39,87.29,88.97,88.97,2182200
"MCHP","12/15/2017",86.23,87.25,85.36,86.75,86.75,3234500
"MCHP","12/14/2017",86.45,86.64,85.37,85.47,85.47,1981700
"MCHP","12/13/2017",86.41,86.94,85.94,86.4,86.4,1482500
"MCHP","12/12/2017",86.79,87.04,85.66,85.84,85.84,1898200
"MCHP","12/11/2017",87.46,88.43,86.92,87.39,87.39,1626300
"MCHP","12/08/2017",88.1,88.48,87.26,87.41,87.41,1856900
"MCHP","12/07/2017",86.41,87.65,86.13,87.39,87.39,1830500
"MCHP","12/06/2017",86.08,86.83,85.29,86.31,86.31,1511700
"MCHP","12/05/2017",85.97,88.62,85.56,86.21,86.21,2434000
"MCHP","12/04/2017",87.43,87.94,85.71,86.3,86.3,2514500
"MCHP","12/01/2017",86.4,87.31,85.1,87,87,3099400
"MCHP","11/30/2017",87.19,88.75,86.67,86.99,86.99,3665400
"MCHP","11/29/2017",90.21,90.3,85.95,86.58,86.58,4389800
"MCHP","11/28/2017",89.15,90.68,88.85,90.58,90.58,2168100
"MCHP","11/27/2017",90.47,90.62,88.63,88.93,88.93,2571400
"MCHP","11/24/2017",90.29,91.04,90.22,90.97,90.97,727900
"MCHP","11/22/2017",91.66,92.26,90.39,90.4,90.4,1634700
"MCHP","11/21/2017",91.94,92.62,91.61,91.87,91.87,1568000
"MCHP","11/20/2017",91.48,91.89,91.14,91.39,91.39,1460500
"MCHP","11/20/2017",0,0,0,0,0,0
"MCHP","11/17/2017",91.02,91.59,90.64,91.3,90.937,2099200
"MCHP","11/16/2017",89.76,91.06,89.63,90.78,90.41907,1785800
"MCHP","11/15/2017",90.46,90.7,89.28,89.59,89.2338,1491400
"MCHP","11/14/2017",90.67,91.12,90.01,91.01,90.64816,1509200
"MCHP","11/13/2017",91.01,91.33,90.47,91.02,90.6581,1398800
"MCHP","11/10/2017",90.88,91.67,90.36,91.56,91.19596,1826800
"MCHP","11/09/2017",92.33,92.44,89.58,90.81,90.44894,3317100
"MCHP","11/08/2017",91.35,93.12,90.91,92.81,92.44099,4605100
"MCHP","11/07/2017",95,95.92,90.5,91.44,91.07645,4745700
"MCHP","11/06/2017",94.31,95.62,94.17,95.36,94.98086,3069900
"MCHP","11/03/2017",93.72,94.02,92.53,93.66,93.28762,1392500
"MCHP","11/02/2017",92.38,93.91,92.13,93.46,93.08841,1399900
"MCHP","11/01/2017",94.3,95.14,92.52,92.99,92.62028,2946500
"MCHP","10/31/2017",95.23,95.69,94.62,94.8,94.42309,1232900
"MCHP","10/30/2017",94.21,95.49,93.96,95.21,94.83145,1985900
"MCHP","10/27/2017",93.81,94.81,92.73,94.72,94.3434,1969400
"MCHP","10/26/2017",92.84,93.64,92.84,93.12,92.74976,1255200
"MCHP","10/25/2017",92.87,93.2,91.57,92.32,91.95294,1637600
"MCHP","10/24/2017",92.63,93.41,92.53,93.31,92.939,877100
"MCHP","10/23/2017",93.11,93.39,92.29,92.61,92.24179,1687100
"MCHP","10/20/2017",93.89,94.66,92.5,92.73,92.36131,1809000
"MCHP","10/19/2017",91.6,93.11,90.55,93.05,92.68005,1541400
"MCHP","10/18/2017",91.59,92.36,90.39,92.12,91.75374,1662700
"MCHP","10/17/2017",91.79,91.87,91.17,91.7,91.3354,960000
"MCHP","10/16/2017",92.23,92.29,91.6,91.89,91.52465,833800
"MCHP","10/13/2017",92.24,92.51,91.41,91.76,91.39517,1052800
"MCHP","10/12/2017",91.47,92.4,91.47,91.78,91.41508,1119500
"MCHP","10/11/2017",91.73,92.13,91.37,91.93,91.56449,1122000
"MCHP","10/10/2017",92,92.33,91.1,91.92,91.55453,1097100
"MCHP","10/09/2017",91.85,91.99,91.26,91.49,91.12624,1098500
"MCHP","10/06/2017",90.91,91.59,90.29,91.55,91.186,1349500
"MCHP","10/05/2017",91.81,91.82,90.75,91.3,90.937,1834100
"MCHP","10/04/2017",90.67,91.61,90.02,91.6,91.2358,2559200
"MCHP","10/03/2017",90.55,90.95,90.26,90.72,90.35931,1720900
"MCHP","10/02/2017",90.37,91.23,90.15,90.55,90.18998,1954700
"MCHP","09/29/2017",89.11,89.99,88.87,89.78,89.42304,2194100
"MCHP","09/28/2017",88.63,89.28,88.29,89.14,88.78558,1935600
"MCHP","09/27/2017",88.49,89.52,88.24,88.92,88.56646,1770100
"MCHP","09/26/2017",88.8,89.29,87.19,87.76,87.41107,1781300
"MCHP","09/25/2017",89.05,89.38,87.59,88.07,87.71984,1605100
"MCHP","09/22/2017",88.09,89.79,88.09,89.69,89.3334,1296500
"MCHP","09/21/2017",88.47,88.77,87.39,88.38,88.0286,1771600
