"symbol","date","open","high","low","close","adjclose","volume"
"MU","12/29/2017",41.82,41.84,40.77,41.12,41.12,44642100
"MU","12/28/2017",42.83,43.05,41.75,41.81,41.81,28999700
"MU","12/27/2017",42.22,43.07,42.03,42.48,42.48,24175100
"MU","12/26/2017",43.19,43.2,41.52,42.25,42.25,41966200
"MU","12/22/2017",44.18,44.94,43.94,44.12,44.12,30372500
"MU","12/21/2017",45.55,45.58,44.35,44.42,44.42,50486100
"MU","12/20/2017",46.65,46.8,44.86,45.75,45.75,84338200
"MU","12/19/2017",44.09,44.34,43.3,43.98,43.98,51048300
"MU","12/18/2017",43.37,43.73,42.99,43.71,43.71,35075500
"MU","12/15/2017",42.3,42.56,41.89,42.4,42.4,58721700
"MU","12/14/2017",42.29,42.73,41.88,42.24,42.24,24582800
"MU","12/13/2017",42.22,43.1,41.97,42.05,42.05,28565600
"MU","12/12/2017",42.69,42.85,41.71,41.86,41.86,28492300
"MU","12/11/2017",43.42,43.75,42.33,43.01,43.01,32824000
"MU","12/08/2017",44.04,44.58,42.87,43.21,43.21,44717800
"MU","12/07/2017",42.18,43.23,41.91,43.2,43.2,43189000
"MU","12/06/2017",40.82,41.74,40.3,41.58,41.58,39735300
"MU","12/05/2017",39.77,42.05,39.42,41.21,41.21,56540700
"MU","12/04/2017",41.95,42.29,39.07,39.9,39.9,73640500
"MU","12/01/2017",41.73,42.55,40.01,41.99,41.99,73138600
"MU","11/30/2017",44.16,44.54,41.86,42.39,42.39,63895700
"MU","11/29/2017",47.5,47.6,43.27,43.74,43.74,81370100
"MU","11/28/2017",48.45,48.86,47.82,47.93,47.93,30633200
"MU","11/27/2017",47.96,48.39,47.09,48.05,48.05,44469700
"MU","11/24/2017",49.32,49.88,49.03,49.68,49.68,14203300
"MU","11/22/2017",49.85,49.89,48.62,49.14,49.14,28711800
"MU","11/21/2017",48.36,49.63,48.15,49.4,49.4,35756600
"MU","11/20/2017",46.51,47.86,46.4,47.64,47.64,26975000
"MU","11/17/2017",46.54,46.55,45.73,46.16,46.16,22613300
"MU","11/16/2017",45.73,46.29,45.29,46.18,46.18,24192600
"MU","11/15/2017",45.19,45.74,44.62,45.36,45.36,22434500
"MU","11/14/2017",45.58,46,44.8,45.8,45.8,29899200
"MU","11/13/2017",44.33,45.87,44.19,45.6,45.6,30522300
"MU","11/10/2017",43.76,44.85,43.71,44.78,44.78,33840800
"MU","11/09/2017",43.69,43.69,42.58,43.5,43.5,32501100
"MU","11/08/2017",43.85,44.14,43.45,44.09,44.09,19519600
"MU","11/07/2017",43.58,44.24,43.33,43.95,43.95,32422900
"MU","11/06/2017",43.85,44.01,42.45,43.25,43.25,28841000
"MU","11/03/2017",44.77,45,43.35,43.71,43.71,27694600
"MU","11/02/2017",44.08,44.75,43.72,44.34,44.34,25813000
"MU","11/01/2017",44.79,45.33,43.78,44.38,44.38,38842900
"MU","10/31/2017",42.25,44.57,42.2,44.31,44.31,61972200
"MU","10/30/2017",40.73,41.86,40.68,41.65,41.65,29119500
"MU","10/27/2017",40.59,40.94,40.04,40.85,40.85,31094700
"MU","10/26/2017",41.17,41.18,40.31,40.6,40.6,27453500
"MU","10/25/2017",41.31,41.59,40.31,41.06,41.06,31061100
"MU","10/24/2017",41.74,42.01,41.43,41.6,41.6,26299400
"MU","10/23/2017",41.85,42.19,41.4,41.56,41.56,26844200
"MU","10/20/2017",42,42.17,41.44,41.5,41.5,36293700
"MU","10/19/2017",41.18,41.5,39.8,41.31,41.31,47676000
"MU","10/18/2017",41.04,41.95,40.81,41.65,41.65,43528000
"MU","10/17/2017",41.14,41.4,40.25,40.39,40.39,41233700
"MU","10/16/2017",40.88,41.57,40.51,41.49,41.49,33696800
"MU","10/13/2017",40.78,41.17,40.32,40.4,40.4,35371200
"MU","10/12/2017",41.21,41.75,40.29,40.58,40.58,66789800
"MU","10/11/2017",40.84,42.07,40.8,41.61,41.61,53023600
"MU","10/10/2017",41.45,42,40.46,41.98,41.98,48214100
"MU","10/09/2017",39.72,40.99,39.62,40.96,40.96,27279300
"MU","10/06/2017",39,39.67,38.81,39.67,39.67,25150300
"MU","10/05/2017",39.8,39.86,39.25,39.37,39.37,22501000
"MU","10/04/2017",40.14,40.43,38.91,39.56,39.56,37908400
"MU","10/03/2017",39.93,40.54,39.85,40.37,40.37,27322300
"MU","10/02/2017",39.6,40.37,39.36,40.01,40.01,54244800
"MU","09/29/2017",37.98,39.36,37.81,39.33,39.33,48711400
"MU","09/28/2017",37.15,38.46,36.82,37.96,37.96,52569900
"MU","09/27/2017",36.26,37.15,35.92,37.09,37.09,84593900
"MU","09/26/2017",35.23,35.37,34.09,34.18,34.18,55112600
"MU","09/25/2017",36.04,36.15,34.54,34.87,34.87,35607200
"MU","09/22/2017",35.6,36.22,35.6,36.07,36.07,21559800
"MU","09/21/2017",35.93,36.25,35.4,35.91,35.91,22464900
"MU","09/20/2017",36.03,36.6,35.34,35.97,35.97,42243000
"MU","09/19/2017",35.5,36.1,35.5,35.95,35.95,26392200
"MU","09/18/2017",35.13,35.8,35.02,35.43,35.43,41330100
"MU","09/15/2017",34.64,35,34.38,34.65,34.65,37417300
"MU","09/14/2017",34.43,34.85,34.3,34.58,34.58,23007000
"MU","09/13/2017",34.56,34.8,34.02,34.59,34.59,41588100
"MU","09/12/2017",33.69,34.54,33.56,34.29,34.29,38685800
"MU","09/11/2017",32.9,33.44,32.81,33.44,33.44,31012100
"MU","09/08/2017",32.8,33.02,32.31,32.45,32.45,19649300
"MU","09/07/2017",32.47,32.9,32.45,32.79,32.79,25353300
"MU","09/06/2017",32.07,32.7,32.06,32.25,32.25,29290200
"MU","09/05/2017",32.45,32.74,31.65,32.07,32.07,28866600
"MU","09/01/2017",32.13,32.88,32.13,32.6,32.6,26034000
"MU","08/31/2017",31.61,32.02,31.48,31.97,31.97,25694000
"MU","08/30/2017",31.65,31.68,31.38,31.61,31.61,17467900
"MU","08/29/2017",30.75,31.53,30.7,31.48,31.48,23151900
"MU","08/28/2017",30.43,31.21,30.42,31.08,31.08,22531000
"MU","08/25/2017",30.3,30.39,30.05,30.29,30.29,13929800
"MU","08/24/2017",30.55,30.63,30.11,30.22,30.22,18056800
"MU","08/23/2017",29.97,30.74,29.87,30.45,30.45,21200400
"MU","08/22/2017",29.85,30.54,29.77,30.45,30.45,18821200
"MU","08/21/2017",30.53,30.6,29.28,29.56,29.56,26247700
"MU","08/18/2017",29.96,30.6,29.76,30.38,30.38,31178100
"MU","08/17/2017",30.32,30.53,29.61,29.62,29.62,26152500
