"symbol","date","open","high","low","close","adjclose","volume"
"PH","12/29/2017",200.43,200.82,199.07,199.58,199.58,655300
"PH","12/28/2017",199.62,199.62,197.91,199.21,199.21,565000
"PH","12/27/2017",199.08,199.21,198.08,198.91,198.91,357000
"PH","12/26/2017",199.13,199.38,198.43,198.94,198.94,445200
"PH","12/22/2017",200.24,200.24,198.38,199.25,199.25,614300
"PH","12/21/2017",199.45,200.04,197.37,199.69,199.69,788600
"PH","12/20/2017",199.26,199.63,198.35,199.06,199.06,744800
"PH","12/19/2017",199.96,199.99,197.01,198.07,198.07,949600
"PH","12/18/2017",194.87,198.53,194.87,198.13,198.13,1279800
"PH","12/15/2017",193.05,195.33,191.82,194.26,194.26,1057900
"PH","12/14/2017",194.49,195.83,191.62,191.7,191.7,753700
"PH","12/13/2017",191.55,195.3,191.5,194.71,194.71,959000
"PH","12/12/2017",191.85,192.88,191.65,191.86,191.86,705000
"PH","12/11/2017",193.18,193.49,191.22,191.94,191.94,667100
"PH","12/08/2017",192.41,193.01,191.25,192.98,192.98,1082800
"PH","12/07/2017",185.94,191.38,185.88,191.33,191.33,1102700
"PH","12/06/2017",186.41,187.09,183.36,186.33,186.33,960100
"PH","12/05/2017",185.4,185.53,183.41,184.31,184.31,717200
"PH","12/04/2017",189.11,190,185.63,185.85,185.85,757200
"PH","12/01/2017",187.49,188.43,183.65,187.05,187.05,718800
"PH","11/30/2017",185.34,188.14,184.84,187.49,187.49,779000
"PH","11/29/2017",185.78,186.54,183.84,184.32,184.32,672700
"PH","11/28/2017",184.42,185.87,183.58,185.73,185.73,541400
"PH","11/27/2017",183.26,184.03,182.84,183.81,183.81,435400
"PH","11/24/2017",184.88,185.1,182.86,183.28,183.28,211800
"PH","11/22/2017",184.63,185.55,184.28,184.61,184.61,540700
"PH","11/21/2017",183.23,184.76,183.21,184.29,184.29,518100
"PH","11/20/2017",183.04,183.56,182.37,182.9,182.9,529600
"PH","11/17/2017",181.27,182.52,180.56,182.34,182.34,641200
"PH","11/16/2017",180.17,182.71,179.72,182.3,182.3,849300
"PH","11/15/2017",178.91,180,177.74,179.73,179.73,982000
"PH","11/14/2017",180.99,180.99,179.38,179.67,179.67,678900
"PH","11/13/2017",181.41,181.76,179.95,181.3,181.3,545500
"PH","11/10/2017",182,182.69,181.49,182.23,182.23,409500
"PH","11/09/2017",183.31,183.57,180.64,182.34,182.34,649000
"PH","11/09/2017",0,0,0,0,0,0
"PH","11/08/2017",184.65,185.24,183.59,184.87,184.21,425300
"PH","11/07/2017",184.96,186.14,184.49,185.47,184.8079,525800
"PH","11/06/2017",185.56,185.58,184.01,184.62,183.9609,917700
"PH","11/03/2017",188.17,188.17,184.95,185.38,184.7182,840800
"PH","11/02/2017",184.1,189.83,184.1,187.12,186.452,1698200
"PH","11/01/2017",184.66,184.66,181.74,181.99,181.3403,842000
"PH","10/31/2017",182.54,183.93,181.9,182.61,181.9581,874500
"PH","10/30/2017",183.35,183.54,181.58,181.94,181.2905,572800
"PH","10/27/2017",184.53,184.77,183.27,183.88,183.2235,574300
"PH","10/26/2017",185,185.47,184.19,184.83,184.1702,567600
"PH","10/25/2017",183.64,184.19,181.46,183.68,183.0242,967500
"PH","10/24/2017",184.34,185.52,183.79,184.46,183.8015,738200
"PH","10/23/2017",184.58,184.76,182.74,182.87,182.2171,588100
"PH","10/20/2017",182.75,184.56,182.19,184.5,183.8413,450700
"PH","10/19/2017",181.01,182.03,180.14,182.01,181.3602,521800
"PH","10/18/2017",182.16,182.41,181.28,181.66,181.0115,471600
"PH","10/17/2017",180.9,181.97,180.66,181.46,180.8122,606800
"PH","10/16/2017",180.89,181.51,180.24,181.41,180.7624,500800
"PH","10/13/2017",181.18,181.94,180.04,180.4,179.756,679400
"PH","10/12/2017",177.43,180.19,177.43,180.08,179.4371,793300
"PH","10/11/2017",177.52,177.81,176.91,177.56,176.9261,533600
"PH","10/10/2017",178.03,178.5,176.42,177.5,176.8663,609300
"PH","10/09/2017",177.61,178,176.8,177.33,176.6969,435000
"PH","10/06/2017",177.23,177.99,176.83,177.18,176.5474,951000
"PH","10/05/2017",177.6,178.39,177.04,177.26,176.6272,790400
"PH","10/04/2017",177.24,178.13,176.94,177.53,176.8962,603400
"PH","10/03/2017",176,177.48,175.83,177.15,176.5175,590000
"PH","10/02/2017",172,176.16,170.66,176.16,175.5311,1155500
"PH","09/29/2017",175.82,176.16,174.75,175.02,174.3952,659800
"PH","09/28/2017",174.78,176.08,174.07,175.82,175.1923,691500
"PH","09/27/2017",175.04,176.24,174.2,175.52,174.8934,922200
"PH","09/26/2017",177.06,177.19,171.5,173.97,173.3489,1858000
"PH","09/25/2017",176.86,177.5,175.17,176.88,176.2485,717800
"PH","09/22/2017",175.58,177.61,175.58,177.11,176.4777,741600
"PH","09/21/2017",175.74,176.84,175.25,175.91,175.282,683800
"PH","09/20/2017",176.37,177.6,175.54,176.29,175.6606,969400
"PH","09/19/2017",174.16,176.62,173.5,176.09,175.4613,2046500
"PH","09/18/2017",170.49,173.81,170.1,173.63,173.0101,1726100
"PH","09/15/2017",167.85,170.67,167.39,169.69,169.0842,1142300
"PH","09/14/2017",167.5,168.23,166.97,167.92,167.3205,756400
"PH","09/13/2017",166.17,168.7,165.1,167.95,167.3504,849900
"PH","09/12/2017",165.32,166.53,165.04,166.51,165.9155,1084600
"PH","09/11/2017",162.04,165.09,161.7,165.09,164.5006,886000
"PH","09/08/2017",158.43,161.76,158.43,161.33,160.754,686700
"PH","09/07/2017",160.34,160.34,157.03,158.86,158.2929,993600
"PH","09/06/2017",160.91,161.68,159.76,160.07,159.4986,976700
"PH","09/05/2017",162.57,162.99,159.65,159.76,159.1896,1043700
"PH","09/01/2017",161.63,163.76,161.43,162.83,162.2487,1099900
"PH","08/31/2017",161.05,161.75,160.17,160.89,160.3156,864200
"PH","08/30/2017",159.11,160.8,158.99,160.46,159.8871,821200
"PH","08/29/2017",157.5,159.58,157.41,159.2,158.6316,772200
"PH","08/28/2017",157.73,158.53,157.28,158.41,157.8445,656600
"PH","08/25/2017",157.36,157.82,156.85,157.3,156.7384,621100
"PH","08/24/2017",157.37,157.76,156.5,156.57,156.011,587100
"PH","08/24/2017",0,0,0,0,0,0
"PH","08/23/2017",158.33,159.29,157.56,157.56,156.3398,1478900
"PH","08/22/2017",156.05,159.31,155.81,159.13,157.8977,795300
"PH","08/21/2017",155.4,155.44,154.49,155.15,153.9485,682600
"PH","08/18/2017",154.79,156.56,153.65,155.15,153.9485,867100
"PH","08/17/2017",158.36,159.18,155.57,155.57,154.3653,1057000
"PH","08/16/2017",158.58,159.43,158.45,158.79,157.5603,627400
"PH","08/15/2017",158.5,158.99,157.74,158.19,156.965,936500
"PH","08/14/2017",158,159.32,157.91,158.26,157.0344,843400
"PH","08/11/2017",155.61,157.95,155.04,157.02,155.804,1013800
"PH","08/10/2017",160.15,160.26,155.58,155.76,154.5538,1662500
"PH","08/09/2017",160.95,161.66,160.34,161.02,159.7731,811200
"PH","08/08/2017",162.08,163.31,161.04,161.64,160.3883,933700
"PH","08/07/2017",163.79,163.96,161.72,162.39,161.1324,1313800
"PH","08/04/2017",166.13,166.13,163.64,164.22,162.9483,918900
"PH","08/03/2017",161.9,166.71,160.74,165.32,164.0398,1353300
"PH","08/02/2017",163.99,165.31,162.87,164.3,163.0277,1435800
"PH","08/01/2017",166.12,166.94,162.93,164.52,163.246,1159200
"PH","07/31/2017",165.72,166.5,164.91,165.98,164.6947,690700
"PH","07/28/2017",163.87,165.49,163.24,164.75,163.4742,745800
"PH","07/27/2017",165.04,166,163.68,164.07,162.7995,1060300
"PH","07/26/2017",165.67,165.82,163.27,164.66,163.3849,788400
"PH","07/25/2017",166.02,167.5,163.76,165.98,164.6947,1079700
"PH","07/24/2017",164.55,164.9,162.43,164.4,163.1269,763800
"PH","07/21/2017",164.92,165.09,162.56,164.54,163.2658,1057400
"PH","07/20/2017",166.76,167.12,165.72,165.96,164.6748,656400
"PH","07/19/2017",166.06,166.85,164.46,166.76,165.4686,556000
"PH","07/18/2017",165.68,166.05,164.39,165.26,163.9802,550700
"PH","07/17/2017",164.96,166.84,164.67,165.97,164.6847,1146700
"PH","07/14/2017",165.22,165.46,164.21,165.06,163.7818,676500
"PH","07/13/2017",163.73,165.12,163.46,164.84,163.5635,934800
"PH","07/12/2017",164.26,165.56,163.66,163.8,162.5315,850000
"PH","07/11/2017",163.65,163.68,161.42,163.12,161.8568,1225300
"PH","07/10/2017",160.35,164.09,159.37,163.35,162.085,799100
"PH","07/07/2017",159.71,161.33,159.37,160.9,159.654,973800
"PH","07/06/2017",160,161.3,159.13,159.45,158.2152,790800
"PH","07/05/2017",161.06,162.31,160.49,161.14,159.8921,896600
"PH","07/03/2017",160.57,162.04,159.58,161.22,159.9715,484800
"PH","06/30/2017",157.83,162.4,157.75,159.82,158.5824,1474400
"PH","06/29/2017",158.53,158.53,155.56,157.05,155.8338,1462700
"PH","06/28/2017",157.44,158.39,156.73,158.01,156.7864,1052300
"PH","06/27/2017",157.16,157.6,156.1,156.22,155.0102,883300
"PH","06/26/2017",159.64,160.15,156.38,157.07,155.8537,1164900
"PH","06/23/2017",157.14,159.8,156.92,159.63,158.3938,3954700
"PH","06/22/2017",158.38,158.64,157,157.4,156.1811,1240800
