"symbol","date","open","high","low","close","adjclose","volume"
"RF","12/29/2017",17.45,17.47,17.27,17.28,17.28,6240700
"RF","12/28/2017",17.35,17.43,17.25,17.38,17.38,4386700
"RF","12/27/2017",17.42,17.42,17.22,17.3,17.3,5360800
"RF","12/26/2017",17.47,17.58,17.26,17.35,17.35,3995000
"RF","12/22/2017",17.56,17.56,17.3,17.47,17.47,5300600
"RF","12/21/2017",17.5,17.58,17.37,17.49,17.49,7848600
"RF","12/20/2017",17.48,17.53,17.09,17.25,17.25,8705400
"RF","12/19/2017",17.39,17.48,17.23,17.3,17.3,11165000
"RF","12/18/2017",17.24,17.41,17.22,17.33,17.33,10763700
"RF","12/15/2017",17,17.28,16.92,17.12,17.12,24017400
"RF","12/14/2017",17.12,17.18,16.83,16.91,16.91,10923400
"RF","12/13/2017",17.28,17.41,17.07,17.08,17.08,12385000
"RF","12/12/2017",17.1,17.39,17.04,17.31,17.31,10874900
"RF","12/11/2017",17.05,17.18,16.92,16.98,16.98,7813600
"RF","12/08/2017",17.01,17.11,16.9,17.08,17.08,8342900
"RF","12/07/2017",16.65,16.98,16.58,16.97,16.97,9865000
"RF","12/07/2017",0,0,0,0,0,0
"RF","12/06/2017",16.8,17,16.72,16.78,16.69,8467500
"RF","12/05/2017",17.04,17.17,16.78,16.87,16.77952,11927000
"RF","12/04/2017",17,17.12,16.86,16.95,16.85909,16551300
"RF","12/01/2017",16.6,16.73,16.05,16.65,16.5607,16312600
"RF","11/30/2017",16.68,16.94,16.53,16.59,16.50102,19716300
"RF","11/29/2017",16.17,16.69,16.16,16.57,16.48113,18101100
"RF","11/28/2017",15.57,16.02,15.55,16,15.91418,14585000
"RF","11/27/2017",15.61,15.63,15.47,15.52,15.43676,7915600
"RF","11/24/2017",15.6,15.67,15.55,15.57,15.48649,3487100
"RF","11/22/2017",15.73,15.73,15.54,15.56,15.47654,9616100
"RF","11/21/2017",15.9,15.91,15.65,15.66,15.57601,13636500
"RF","11/20/2017",15.8,15.92,15.74,15.86,15.77493,11253000
"RF","11/17/2017",15.6,15.89,15.54,15.8,15.71526,10911400
"RF","11/16/2017",15.99,15.99,15.65,15.7,15.61579,17455500
"RF","11/15/2017",15.57,15.9,15.48,15.8,15.71526,16554100
"RF","11/14/2017",15.39,15.75,15.36,15.69,15.60585,12554000
"RF","11/13/2017",15.11,15.49,15.06,15.44,15.35719,12688500
"RF","11/10/2017",15.34,15.44,15.16,15.17,15.08864,11869900
"RF","11/09/2017",15.26,15.47,15.1,15.28,15.19804,16629100
"RF","11/08/2017",15.41,15.5,15.2,15.36,15.27762,13251300
"RF","11/07/2017",15.86,15.97,15.44,15.47,15.38703,16027500
"RF","11/06/2017",15.78,15.92,15.73,15.88,15.79483,9596100
"RF","11/03/2017",15.63,15.89,15.61,15.81,15.7252,12768800
"RF","11/02/2017",15.5,15.76,15.32,15.71,15.62574,15041900
"RF","11/01/2017",15.54,15.77,15.5,15.56,15.47654,9210600
"RF","10/31/2017",15.59,15.68,15.48,15.48,15.39697,12445400
"RF","10/30/2017",15.6,15.71,15.54,15.6,15.51633,10514800
"RF","10/27/2017",15.75,15.85,15.69,15.72,15.63569,11897800
"RF","10/26/2017",15.6,15.88,15.6,15.81,15.7252,18389300
"RF","10/25/2017",15.45,15.81,15.38,15.57,15.48649,19364600
"RF","10/24/2017",15.06,15.52,15.01,15.44,15.35719,20275500
"RF","10/23/2017",15.27,15.33,15.06,15.12,15.0389,16399200
"RF","10/20/2017",15.18,15.25,15.09,15.22,15.13837,10315400
"RF","10/19/2017",14.76,15.03,14.68,14.97,14.88971,10489700
"RF","10/18/2017",14.87,14.96,14.77,14.9,14.82008,7211100
"RF","10/17/2017",14.96,15,14.75,14.78,14.70073,8543500
"RF","10/16/2017",14.85,14.98,14.84,14.96,14.87976,6797800
"RF","10/13/2017",14.87,14.97,14.62,14.83,14.75046,9731800
"RF","10/12/2017",15.08,15.15,14.88,14.91,14.83003,10460500
"RF","10/11/2017",15.12,15.13,14.91,15.04,14.95933,13462700
"RF","10/10/2017",15,15.18,14.99,15.16,15.07869,9550800
"RF","10/09/2017",15.22,15.24,15,15.01,14.92949,9380700
"RF","10/06/2017",15.37,15.48,15.16,15.21,15.12842,13544400
"RF","10/05/2017",15.1,15.29,15,15.27,15.1881,9283000
"RF","10/04/2017",15.12,15.19,15.05,15.09,15.00906,9423700
"RF","10/03/2017",15.25,15.31,15.06,15.17,15.08864,9730900
"RF","10/02/2017",15.09,15.24,14.99,15.23,15.14831,13231500
"RF","09/29/2017",15.05,15.33,15.04,15.23,15.14831,10157800
"RF","09/28/2017",15.08,15.16,14.93,15.04,14.95933,11072200
"RF","09/27/2017",14.94,15.18,14.86,15.05,14.96928,12811100
"RF","09/26/2017",14.5,14.77,14.47,14.71,14.6311,12869000
"RF","09/25/2017",14.37,14.56,14.37,14.48,14.40234,11470500
"RF","09/22/2017",14.35,14.43,14.29,14.42,14.34266,10885800
"RF","09/21/2017",14.23,14.46,14.23,14.43,14.3526,9552100
"RF","09/20/2017",14.13,14.34,13.92,14.31,14.23325,15824300
"RF","09/19/2017",14,14.17,13.97,14.15,14.07411,12606100
"RF","09/18/2017",13.81,14.09,13.77,14.02,13.9448,12525000
"RF","09/15/2017",13.67,13.77,13.65,13.75,13.67625,13642200
"RF","09/14/2017",13.74,13.89,13.67,13.69,13.61657,13712700
"RF","09/13/2017",13.67,13.84,13.64,13.74,13.6663,11526900
"RF","09/12/2017",13.58,13.87,13.56,13.7,13.62652,11801600
"RF","09/11/2017",13.44,13.64,13.38,13.52,13.44749,13296600
"RF","09/08/2017",13.14,13.39,13.13,13.26,13.18888,12265400
"RF","09/07/2017",13.51,13.61,13.03,13.17,13.09936,11124700
"RF","09/07/2017",0,0,0,0,0,0
"RF","09/06/2017",13.71,13.75,13.57,13.62,13.45743,9733600
"RF","09/05/2017",14.14,14.14,13.6,13.64,13.47719,14188000
"RF","09/01/2017",14.13,14.36,14.11,14.23,14.06015,8064300
"RF","08/31/2017",14.28,14.3,14.11,14.11,13.94158,10356300
"RF","08/30/2017",14.17,14.31,14.15,14.24,14.07003,9641700
"RF","08/29/2017",14.1,14.21,13.97,14.16,13.99099,13823000
"RF","08/28/2017",14.46,14.51,14.26,14.29,14.11943,15370400
"RF","08/25/2017",14.5,14.58,14.43,14.45,14.27752,7536100
"RF","08/24/2017",14.38,14.47,14.32,14.45,14.27752,9752700
"RF","08/23/2017",14.13,14.47,14.1,14.31,14.1392,12878200
"RF","08/22/2017",14.11,14.3,14.11,14.24,14.07003,10391600
"RF","08/21/2017",14.06,14.07,13.94,14.04,13.87242,9522600
"RF","08/18/2017",13.91,14.23,13.89,14.06,13.89218,14369600
"RF","08/17/2017",14.28,14.4,13.96,13.99,13.82301,14048100
"RF","08/16/2017",14.54,14.6,14.32,14.34,14.16884,10905900
"RF","08/15/2017",14.59,14.67,14.47,14.48,14.30717,10524400
"RF","08/14/2017",14.22,14.47,14.22,14.41,14.238,12029000
"RF","08/11/2017",14.26,14.4,14,14.07,13.90206,18741400
"RF","08/10/2017",14.56,14.6,14.27,14.3,14.12931,14306000
"RF","08/09/2017",14.73,14.82,14.59,14.68,14.50478,12848400
"RF","08/08/2017",14.84,15.11,14.82,14.86,14.68263,16854200
"RF","08/07/2017",14.99,15,14.86,14.87,14.69251,9644900
"RF","08/04/2017",15.04,15.28,14.81,14.94,14.76168,32547300
"RF","08/03/2017",14.85,14.97,14.74,14.9,14.72215,18065400
"RF","08/02/2017",14.7,14.85,14.64,14.83,14.65299,13687900
"RF","08/01/2017",14.68,14.77,14.58,14.69,14.51466,16128000
"RF","07/31/2017",14.56,14.68,14.55,14.6,14.42573,13453700
"RF","07/28/2017",14.4,14.55,14.32,14.5,14.32693,16575100
"RF","07/27/2017",14.47,14.5,14.3,14.39,14.21824,19114400
"RF","07/26/2017",14.68,14.75,14.4,14.45,14.27752,21764100
"RF","07/25/2017",14.55,14.77,14.5,14.56,14.38621,18396700
"RF","07/24/2017",14.26,14.47,14.22,14.4,14.22812,14459900
"RF","07/21/2017",14.22,14.37,14.01,14.23,14.06015,19775300
"RF","07/20/2017",14.5,14.54,14.28,14.31,14.1392,18573000
"RF","07/19/2017",14.56,14.63,14.34,14.47,14.29729,14924100
"RF","07/18/2017",14.55,14.67,14.42,14.54,14.36645,9975200
"RF","07/17/2017",14.67,14.78,14.54,14.7,14.52454,8545900
"RF","07/14/2017",14.61,14.76,14.44,14.68,14.50478,11022500
"RF","07/13/2017",14.68,14.85,14.61,14.82,14.64311,15767700
"RF","07/12/2017",14.66,14.76,14.56,14.63,14.45538,11351700
"RF","07/11/2017",14.76,14.86,14.67,14.75,14.57394,10827300
"RF","07/10/2017",14.66,14.81,14.6,14.75,14.57394,9640200
"RF","07/07/2017",14.8,14.82,14.57,14.69,14.51466,13656500
"RF","07/06/2017",14.84,14.97,14.69,14.71,14.53442,11626900
"RF","07/05/2017",14.9,14.94,14.68,14.85,14.67275,14363700
"RF","07/03/2017",14.77,14.97,14.69,14.88,14.70239,9366200
"RF","06/30/2017",14.73,14.81,14.47,14.64,14.46526,13453000
"RF","06/29/2017",14.63,14.85,14.48,14.66,14.48502,32447100
"RF","06/28/2017",14.11,14.26,14.04,14.09,13.92182,20979100
"RF","06/27/2017",13.87,14.05,13.8,14,13.8329,22856900
"RF","06/26/2017",13.59,13.85,13.55,13.75,13.58588,20666600
"RF","06/23/2017",13.91,13.94,13.46,13.57,13.40803,23569200
"RF","06/22/2017",13.92,14.03,13.77,13.84,13.67481,11788300
"RF","06/21/2017",14.28,14.3,13.95,13.96,13.79337,13669600
"RF","06/20/2017",14.45,14.45,14.25,14.27,14.09967,13928100
"RF","06/19/2017",14.45,14.63,14.41,14.5,14.32693,10083300
"RF","06/16/2017",14.37,14.44,14.29,14.36,14.1886,22663000
