"symbol","date","open","high","low","close","adjclose","volume"
"RHT","12/29/2017",120.86,121.2,120.07,120.1,120.1,1264400
"RHT","12/28/2017",121.71,121.71,120.32,121.13,121.13,1334900
"RHT","12/27/2017",120.73,121.88,120.51,121.22,121.22,1289500
"RHT","12/26/2017",122.27,122.57,120.52,120.61,120.61,1242800
"RHT","12/22/2017",123,123.14,122.37,122.92,122.92,1399000
"RHT","12/21/2017",122.49,123.36,122.26,123.13,123.13,3253400
"RHT","12/20/2017",125.21,125.6,120.1,122,122,7093400
"RHT","12/19/2017",129.56,129.98,127.46,128.86,128.86,2600400
"RHT","12/18/2017",129.98,130.93,128.52,129.44,129.44,1919300
"RHT","12/15/2017",127.16,129.17,126.39,128.78,128.78,2185400
"RHT","12/14/2017",126.75,127.12,125.59,126.13,126.13,1287700
"RHT","12/13/2017",126.21,127.95,125.85,126.49,126.49,1383700
"RHT","12/12/2017",126.33,127.08,125.16,125.75,125.75,1202500
"RHT","12/11/2017",125.37,126.93,125.34,126.62,126.62,1654300
"RHT","12/08/2017",124.57,125.54,124.17,125.29,125.29,1107800
"RHT","12/07/2017",122,124.4,121.95,123.8,123.8,1153900
"RHT","12/06/2017",120.89,122.16,120.1,121.94,121.94,1988100
"RHT","12/05/2017",119.65,123.1,117.76,120.87,120.87,2263000
"RHT","12/04/2017",126.46,126.48,120.28,120.31,120.31,2779000
"RHT","12/01/2017",126.13,126.77,123.08,125.26,125.26,1433000
"RHT","11/30/2017",125.36,126.97,124.63,126.76,126.76,1842200
"RHT","11/29/2017",129,129.01,122.32,124.49,124.49,2166200
"RHT","11/28/2017",128.71,129.61,128.25,129.24,129.24,1212400
"RHT","11/27/2017",128.78,129.11,127.46,128.2,128.2,1058000
"RHT","11/24/2017",127.27,128.36,127.02,128.36,128.36,480500
"RHT","11/22/2017",128.32,128.32,126.34,126.59,126.59,832200
"RHT","11/21/2017",127.74,129.23,127.32,128.51,128.51,1174400
"RHT","11/20/2017",126.39,127.08,125.88,127,127,966100
"RHT","11/17/2017",126.2,126.46,125.07,125.95,125.95,1376300
"RHT","11/16/2017",124.9,126.67,124.39,126.63,126.63,2357600
"RHT","11/15/2017",124.13,124.24,122.97,123.82,123.82,970900
"RHT","11/14/2017",123.7,124.53,123.29,124.49,124.49,1100000
"RHT","11/13/2017",123.94,124.21,123.11,123.99,123.99,1178200
"RHT","11/10/2017",123.05,124.56,122.85,124.18,124.18,1141800
"RHT","11/09/2017",123.1,123.71,121.7,123.5,123.5,1664600
"RHT","11/08/2017",121.78,124.45,121.58,123.92,123.92,1388500
"RHT","11/07/2017",121.49,122.42,120.87,121.92,121.92,1064700
"RHT","11/06/2017",121.7,122.2,121.01,121.08,121.08,962900
"RHT","11/03/2017",120.81,121.64,120.8,121.64,121.64,866100
"RHT","11/02/2017",121.03,121.6,120.38,120.99,120.99,929000
"RHT","11/01/2017",121.3,121.64,120.16,121.26,121.26,1197400
"RHT","10/31/2017",121.34,121.66,120.41,120.83,120.83,1034800
"RHT","10/30/2017",120.44,121.24,119.72,121.1,121.1,1075300
"RHT","10/27/2017",120.78,121.38,120,120.77,120.77,1049500
"RHT","10/26/2017",120.57,121.15,119.91,120.29,120.29,1507400
"RHT","10/25/2017",120.93,121.64,119.68,120.22,120.22,1542400
"RHT","10/24/2017",120.1,121.74,119.17,121.28,121.28,1680500
"RHT","10/23/2017",122.21,122.95,122.01,122.13,122.13,1082900
"RHT","10/20/2017",121.97,122.36,121.35,121.8,121.8,1394200
"RHT","10/19/2017",120,121.67,118.68,121.6,121.6,1233400
"RHT","10/18/2017",121.18,121.27,120.11,120.69,120.69,1074400
"RHT","10/17/2017",120.36,121.12,120.08,121.12,121.12,1198200
"RHT","10/16/2017",121.13,121.23,120.16,120.89,120.89,1016000
"RHT","10/13/2017",121.35,122.31,120.87,121.1,121.1,1553100
"RHT","10/12/2017",119.31,121.22,119.29,120.91,120.91,3081400
"RHT","10/11/2017",118,119.37,117.81,119.37,119.37,1490500
"RHT","10/10/2017",117.29,118.36,116.93,118.35,118.35,1475300
"RHT","10/09/2017",117,117.97,116.9,117.07,117.07,1707600
"RHT","10/06/2017",115.16,117.22,114.43,117.06,117.06,2041500
"RHT","10/05/2017",113.15,115.62,112.66,115.52,115.52,2201300
"RHT","10/04/2017",111.89,113.02,111.37,112.74,112.74,1202000
"RHT","10/03/2017",112.19,112.91,111.78,111.93,111.93,1183100
"RHT","10/02/2017",111.22,112.67,110.42,112.18,112.18,2791200
"RHT","09/29/2017",109.8,110.93,109.57,110.86,110.86,1587700
"RHT","09/28/2017",109.48,110.37,109.33,109.59,109.59,1313100
"RHT","09/27/2017",110.65,111.23,109.8,109.92,109.92,2220300
"RHT","09/26/2017",111.28,113.73,107.25,110.07,110.07,6247700
"RHT","09/25/2017",106.73,107.13,104.51,105.76,105.76,4823600
"RHT","09/22/2017",106.86,107.42,105.79,106.3,106.3,1899600
"RHT","09/21/2017",107.35,107.35,106.07,106.84,106.84,1472800
"RHT","09/20/2017",107.24,107.45,106.24,106.99,106.99,1809800
"RHT","09/19/2017",107.82,107.84,106.53,107.14,107.14,1981900
"RHT","09/18/2017",107.83,108.39,107.29,107.44,107.44,1173000
"RHT","09/15/2017",107.77,107.77,106.66,107.3,107.3,1208900
"RHT","09/14/2017",107.42,107.86,106.88,107.74,107.74,929100
"RHT","09/13/2017",107.6,108.05,106.99,107.83,107.83,863100
"RHT","09/12/2017",107.71,107.99,106.39,107.66,107.66,1096100
"RHT","09/11/2017",107.9,108.13,107.36,107.62,107.62,1412600
"RHT","09/08/2017",107.21,107.98,106.94,107.12,107.12,1111300
"RHT","09/07/2017",106.71,107.39,106.14,107.04,107.04,1881200
"RHT","09/06/2017",107.47,107.69,106.32,106.34,106.34,1246800
"RHT","09/05/2017",106.82,107.29,105.84,106.81,106.81,1121900
"RHT","09/01/2017",107.82,108.09,107.18,107.46,107.46,945700
"RHT","08/31/2017",106.5,107.77,106.16,107.5,107.5,1912000
"RHT","08/30/2017",105.5,106.45,104.94,106.16,106.16,2916600
"RHT","08/29/2017",104.59,105.9,104.55,105.52,105.52,1476600
"RHT","08/28/2017",105.4,105.92,105.2,105.59,105.59,1426000
"RHT","08/25/2017",105.38,105.64,104.61,105.33,105.33,1071000
"RHT","08/24/2017",104.54,104.7,103.1,104.65,104.65,940100
"RHT","08/23/2017",104.13,104.83,103.64,104,104,1202800
"RHT","08/22/2017",103.22,105.21,102.1,104.89,104.89,2039600
"RHT","08/21/2017",100.84,103.49,100.44,102.65,102.65,2513200
"RHT","08/18/2017",100.54,101.18,100.15,100.43,100.43,1708900
"RHT","08/17/2017",101.44,101.75,100.52,100.66,100.66,1987100
"RHT","08/16/2017",100.19,101.82,99.75,101.75,101.75,1421200
"RHT","08/15/2017",99.74,100.33,99.08,99.99,99.99,960700
"RHT","08/14/2017",99.39,100.57,99.06,99.74,99.74,983400
"RHT","08/11/2017",96.1,98.88,96.1,98.34,98.34,1723600
"RHT","08/10/2017",97,97.44,95.88,95.95,95.95,1984200
"RHT","08/09/2017",97.34,97.71,96.22,97.7,97.7,3383300
"RHT","08/08/2017",98.47,99.01,97.49,98.07,98.07,851500
"RHT","08/07/2017",98.27,99.17,98.27,98.88,98.88,565800
"RHT","08/04/2017",98.37,99.23,98.21,98.36,98.36,798800
"RHT","08/03/2017",98.42,98.9,97.8,98.19,98.19,1305900
"RHT","08/02/2017",100.15,100.17,97.18,98.35,98.35,1304000
"RHT","08/01/2017",99.03,100.63,98.72,100.02,100.02,1173300
"RHT","07/31/2017",98.86,99.05,97.56,98.87,98.87,1237400
"RHT","07/28/2017",98.42,99.39,97.99,98.51,98.51,919300
"RHT","07/27/2017",101,101.73,97.62,98.92,98.92,1562400
"RHT","07/26/2017",100.07,100.77,99.47,100.67,100.67,1072300
"RHT","07/25/2017",99.52,100.58,99.31,99.92,99.92,814800
"RHT","07/24/2017",98.94,99.51,98.44,99.45,99.45,870400
"RHT","07/21/2017",98.73,99.38,98.06,98.94,98.94,861900
"RHT","07/20/2017",99.41,99.57,98.04,98.92,98.92,989500
"RHT","07/19/2017",98.99,99.41,98.63,99.25,99.25,977400
"RHT","07/18/2017",98.25,98.7,97.75,98.61,98.61,965500
"RHT","07/17/2017",98.48,98.63,97.91,98.53,98.53,693600
"RHT","07/14/2017",98.05,98.54,97.68,98.42,98.42,829300
"RHT","07/13/2017",99,99.24,97.44,97.77,97.77,1588200
"RHT","07/12/2017",98.09,99,97.9,98.84,98.84,1375000
"RHT","07/11/2017",97.16,97.64,96.3,97.41,97.41,873100
"RHT","07/10/2017",96.59,97.54,96.3,97.25,97.25,1082400
"RHT","07/07/2017",95.39,96.98,95.36,96.55,96.55,1232100
"RHT","07/06/2017",94.75,95.66,94.5,94.91,94.91,1090000
"RHT","07/05/2017",95.11,95.85,94.54,95.54,95.54,1511300
"RHT","07/03/2017",96.23,96.23,94.47,94.79,94.79,755300
"RHT","06/30/2017",95.99,96.71,95.63,95.75,95.75,2202700
"RHT","06/29/2017",96.87,96.87,95.05,95.51,95.51,1624100
"RHT","06/28/2017",96.76,97.1,95.82,96.81,96.81,1879200
