"symbol","date","open","high","low","close","adjclose","volume"
"SLG","12/29/2017",100.41,101.38,100.26,100.93,100.93,747800
"SLG","12/28/2017",100.55,101.27,100.48,100.93,100.93,748700
"SLG","12/27/2017",100.71,100.92,99.98,100.66,100.66,659100
"SLG","12/26/2017",100.29,100.96,99.91,100.35,100.35,690500
"SLG","12/22/2017",99.59,100.35,99.16,100.04,100.04,655800
"SLG","12/21/2017",99.2,99.57,98.7,99.12,99.12,1047400
"SLG","12/20/2017",101.5,102,98.97,98.99,98.99,1126300
"SLG","12/19/2017",103.65,103.88,101.58,101.62,101.62,2196100
"SLG","12/18/2017",103.65,104.58,103.07,103.79,103.79,1193900
"SLG","12/15/2017",103.57,104.16,103,103.23,103.23,1904900
"SLG","12/14/2017",103.21,103.56,102.85,103.13,103.13,646100
"SLG","12/13/2017",103.18,103.64,102.9,102.9,102.9,699500
"SLG","12/12/2017",102.75,103.62,102.74,103.02,103.02,681700
"SLG","12/11/2017",102.64,103.34,102.47,102.6,102.6,1213400
"SLG","12/08/2017",102.33,103.02,101.52,102.6,102.6,1050500
"SLG","12/07/2017",102.57,102.57,101.69,101.82,101.82,892500
"SLG","12/06/2017",103.02,103.04,101.83,102.39,102.39,951600
"SLG","12/05/2017",106.04,106.04,102.39,102.61,102.61,996000
"SLG","12/04/2017",102.89,104.11,102.89,103.95,103.95,924300
"SLG","12/01/2017",102.62,103.14,101.59,102.03,102.03,1071600
"SLG","11/30/2017",102.51,102.74,101.91,102.23,102.23,1320700
"SLG","11/29/2017",101,102.63,100.37,102.23,102.23,827000
"SLG","11/28/2017",101.13,101.15,99.62,100.88,100.88,1349200
"SLG","11/27/2017",101.15,101.64,100.43,101.21,101.21,591000
"SLG","11/24/2017",101.21,101.32,100.56,100.98,100.98,210300
"SLG","11/22/2017",100.76,101.3,100.04,100.75,100.75,788300
"SLG","11/21/2017",100.53,101.11,100.09,101.06,101.06,906200
"SLG","11/20/2017",100.84,101.29,100.15,100.52,100.52,769200
"SLG","11/17/2017",100.38,101.51,100.38,100.87,100.87,815000
"SLG","11/16/2017",100.24,101.69,100.24,100.81,100.81,821300
"SLG","11/15/2017",99.75,100.74,98.86,100.16,100.16,671600
"SLG","11/14/2017",99.74,101.81,99.15,100.04,100.04,1008500
"SLG","11/13/2017",100.24,100.83,99.7,100.06,100.06,934600
"SLG","11/10/2017",98.11,100.41,98.04,99.89,99.89,793800
"SLG","11/09/2017",96.95,99,96.41,98.75,98.75,865700
"SLG","11/08/2017",96.43,97.46,96.16,97.04,97.04,1409500
"SLG","11/07/2017",95.62,96.83,95.56,96.46,96.46,1048500
"SLG","11/06/2017",94.44,95.59,94.4,95.3,95.3,792300
"SLG","11/03/2017",94.8,95.09,93.95,94.15,94.15,763900
"SLG","11/02/2017",95.03,95.98,94.6,95.19,95.19,708800
"SLG","11/01/2017",95.67,96.13,95.05,95.19,95.19,675900
"SLG","10/31/2017",94.65,95.82,93.97,95.68,95.68,1048000
"SLG","10/30/2017",95.09,95.82,93.92,94.53,94.53,1187200
"SLG","10/27/2017",96.04,96.83,95.06,95.47,95.47,787200
"SLG","10/26/2017",96.41,96.75,95.36,95.88,95.88,940900
"SLG","10/25/2017",96.31,96.78,94.95,95.8,95.8,1396900
"SLG","10/24/2017",97.64,98.1,96.13,96.2,96.2,1336300
"SLG","10/23/2017",97.61,98.26,97.29,97.92,97.92,603000
"SLG","10/20/2017",99.15,99.18,97.23,97.4,97.4,986400
"SLG","10/19/2017",99.16,99.55,96.65,98.66,98.66,2764500
"SLG","10/18/2017",102.08,102.7,101.44,101.54,101.54,881800
"SLG","10/17/2017",102.81,103.28,101.94,102.01,102.01,923200
"SLG","10/16/2017",103.42,104.07,102.8,102.87,102.87,1166800
"SLG","10/13/2017",105.44,105.44,103.47,103.49,103.49,1243300
"SLG","10/12/2017",104.72,105.22,104.44,104.83,104.83,478800
"SLG","10/11/2017",104.64,105.54,104.63,104.9,104.9,679500
"SLG","10/10/2017",104.63,105.79,103.61,104.49,104.49,1015100
"SLG","10/09/2017",104,104.68,103.89,104.35,104.35,720000
"SLG","10/06/2017",104.06,105.12,103.46,105.01,105.01,861900
"SLG","10/05/2017",104.48,105.57,104.25,104.37,104.37,1077100
"SLG","10/04/2017",103.02,104.45,102.9,104.39,104.39,687300
"SLG","10/03/2017",102.14,103.61,102.14,103.22,103.22,806000
"SLG","10/02/2017",101.31,102.56,101.31,102.14,102.14,919500
"SLG","09/29/2017",99.68,101.38,99.58,101.32,101.32,859500
"SLG","09/29/2017",0,0,0,0,0,0
"SLG","09/28/2017",101.13,102.19,100.45,100.76,99.985,798400
"SLG","09/27/2017",102.72,103.16,101.23,101.25,100.4712,993100
"SLG","09/26/2017",101.69,103.41,101.58,103.06,102.2673,1139000
"SLG","09/25/2017",100.38,102.11,100.38,101.7,100.9178,693300
"SLG","09/22/2017",101.2,102.62,100.52,100.67,99.89569,797900
"SLG","09/21/2017",98.04,101.86,97.76,101.13,100.3521,1457200
"SLG","09/20/2017",96.47,97.78,96.37,97.72,96.96838,790300
"SLG","09/19/2017",98.05,98.22,96.24,96.34,95.59899,1160800
"SLG","09/18/2017",98.67,98.7,97.36,98.18,97.42484,811100
"SLG","09/15/2017",98.05,98.45,96.72,98.44,97.68285,2184000
"SLG","09/14/2017",96.4,98.3,96.25,97.84,97.08746,1741800
"SLG","09/13/2017",95.91,96.3,95.55,96.12,95.38069,679700
"SLG","09/12/2017",96.62,97.27,95.93,96.17,95.4303,695600
"SLG","09/11/2017",95.96,96.74,95.83,96.6,95.85699,606100
"SLG","09/08/2017",96.13,96.46,95.35,95.45,94.71584,834700
"SLG","09/07/2017",96.47,96.9,95.5,96.34,95.59899,580900
"SLG","09/06/2017",96.06,97.05,95.73,96.54,95.79745,729000
"SLG","09/05/2017",96.72,97.16,94.92,95.73,94.99369,1067300
"SLG","09/01/2017",96.53,97.64,96.09,97.11,96.36308,403400
"SLG","08/31/2017",97.4,97.69,96.08,96.38,95.63869,1232800
"SLG","08/30/2017",96.03,97.22,95.44,97.05,96.30354,436900
"SLG","08/29/2017",96.58,96.87,95.86,96.16,95.42038,337600
"SLG","08/28/2017",98.25,98.8,96.39,96.83,96.08523,523700
"SLG","08/25/2017",97.46,98.37,96.64,97.85,97.09738,341500
"SLG","08/24/2017",98.1,98.36,97.01,97.1,96.35315,789400
"SLG","08/23/2017",96.89,98.77,96.59,98.13,97.37522,783600
"SLG","08/22/2017",97.53,97.7,96.2,96.98,96.23408,523600
"SLG","08/21/2017",96.48,97.96,96.13,97.47,96.72031,507800
"SLG","08/18/2017",97.5,97.96,96.16,96.47,95.728,600100
"SLG","08/17/2017",98.66,99.3,97.66,97.66,96.90884,632500
"SLG","08/16/2017",99.32,100.09,98.97,99.2,98.437,781000
"SLG","08/15/2017",100.35,100.35,98.6,99.47,98.70492,493500
"SLG","08/14/2017",99.6,100.89,99.06,100.37,99.598,692400
"SLG","08/11/2017",99.77,100.23,97.68,99,98.23853,941700
"SLG","08/10/2017",101.21,101.71,100,100.03,99.26061,825700
"SLG","08/09/2017",101.91,102.13,101.31,101.7,100.9178,558800
"SLG","08/08/2017",102.16,102.52,101.69,101.85,101.0666,450200
"SLG","08/07/2017",102.58,102.71,102.15,102.29,101.5032,446700
"SLG","08/04/2017",102.24,103.21,102.2,102.59,101.8009,405800
"SLG","08/03/2017",102.69,103,102.23,102.27,101.4834,1447000
"SLG","08/02/2017",103.68,104.44,102.38,102.84,102.049,447900
"SLG","08/01/2017",103.53,105.29,103.17,104.06,103.2596,984600
"SLG","07/31/2017",103.64,103.64,102.52,103.27,102.4757,607400
"SLG","07/28/2017",102.9,104.22,102.87,103.25,102.4558,580900
"SLG","07/27/2017",101.77,103.05,101.36,102.81,102.0192,621800
"SLG","07/26/2017",101.85,102.5,101.7,101.84,101.0567,681100
"SLG","07/25/2017",102.3,102.34,101.71,102.02,101.2353,646300
"SLG","07/24/2017",101.84,102.38,101.82,102,101.2155,634400
"SLG","07/21/2017",101.07,102.63,101.07,101.93,101.146,945600
"SLG","07/20/2017",103.98,105.08,100.44,101.14,100.3621,1481200
"SLG","07/19/2017",103.43,104.96,103.43,104.91,104.1031,435000
"SLG","07/18/2017",104.64,105.11,103,103.34,102.5452,802700
"SLG","07/17/2017",104.6,105.66,104.02,104.88,104.0733,663300
"SLG","07/14/2017",103.96,105.06,103.73,104.7,103.8947,585700
"SLG","07/13/2017",101.62,103.6,101.2,103.52,102.7238,999400
"SLG","07/12/2017",100.24,101.33,99.83,100.72,99.9453,1077000
"SLG","07/11/2017",100.7,100.7,99.22,99.45,98.68507,942900
"SLG","07/10/2017",102.6,102.87,100.7,100.72,99.9453,523100
"SLG","07/07/2017",102.74,103.09,101.87,102.43,101.6422,744500
"SLG","07/06/2017",105.86,105.86,102.59,102.75,101.9597,895400
"SLG","07/05/2017",107.42,107.88,105.66,105.92,105.1053,557400
"SLG","07/03/2017",106.09,107.8,105.74,107.52,106.693,419900
"SLG","06/30/2017",106.14,106.4,105.33,105.8,104.9862,1063900
"SLG","06/29/2017",105.51,106,105.1,105.72,104.9069,1106700
"SLG","06/28/2017",105.79,106.23,105.44,105.72,104.9069,657100
"SLG","06/28/2017",0,0,0,0,0,0
"SLG","06/27/2017",106.52,107.19,105.85,105.97,104.3859,653400
"SLG","06/26/2017",107.13,107.54,106.59,106.73,105.1345,442300
"SLG","06/23/2017",106.31,108.14,106.31,106.77,105.1739,590900
"SLG","06/22/2017",106.64,107.7,106.09,106.3,104.711,1010000
"SLG","06/21/2017",105.8,107.52,105.8,106.52,104.9277,1346100
"SLG","06/20/2017",105.21,105.72,104.37,105.32,103.7456,685800
"SLG","06/19/2017",105.58,105.79,104.74,105.14,103.5683,630400
"SLG","06/16/2017",106.35,106.36,105.19,105.73,104.1495,1321500
"SLG","06/15/2017",105.66,106.72,105.66,106.07,104.4844,531100
"SLG","06/14/2017",107.55,107.87,105.85,106.24,104.6519,617400
"SLG","06/13/2017",107.14,108.17,106.19,107.17,105.5679,754300
"SLG","06/12/2017",106.36,109,106.1,108.33,106.7106,1260300
"SLG","06/09/2017",103.6,106.5,103.35,106.18,104.5928,848900
"SLG","06/08/2017",102.33,104.17,102,103.55,102.0021,700600
"SLG","06/07/2017",101.95,102.41,101.66,102.33,100.8003,683100
"SLG","06/06/2017",103.14,103.14,101.41,101.67,100.1502,737100
"SLG","06/05/2017",103.25,103.52,102.49,103.17,101.6277,440100
"SLG","06/02/2017",103.1,103.7,102.49,103.31,101.7656,740000
"SLG","06/01/2017",100.93,102.88,100.88,102.71,101.1746,808400
"SLG","05/31/2017",101.2,101.98,100.8,101.03,99.51974,1221400
"SLG","05/30/2017",102,102.4,101.21,101.22,99.7069,720800
"SLG","05/26/2017",102.74,103.13,101.48,101.84,100.3176,455800
"SLG","05/25/2017",102.3,103.1,102.03,102.66,101.1254,821700
"SLG","05/24/2017",103.19,103.52,102.12,102.17,100.6427,498600
"SLG","05/23/2017",102.63,103.73,102.29,102.91,101.3716,426700
"SLG","05/22/2017",102.51,103.36,102.31,102.5,100.9678,558100
"SLG","05/19/2017",101.84,103.21,101.58,102.25,100.7215,1075400
"SLG","05/18/2017",102.22,103.47,101.47,101.86,100.3373,952000
"SLG","05/17/2017",101.23,103.61,100.69,102.02,100.4949,768000
"SLG","05/16/2017",102.74,102.74,101.82,102.24,100.7116,523200
"SLG","05/15/2017",102.76,104.23,102.18,102.72,101.1845,584100
"SLG","05/12/2017",103.28,103.77,102.54,102.7,101.1648,422800
"SLG","05/11/2017",103.79,103.95,102.17,103.47,101.9233,643700
"SLG","05/10/2017",103.5,104.8,103.06,104.23,102.6719,432200
"SLG","05/09/2017",104.65,104.78,103.22,103.5,101.9528,505400
"SLG","05/08/2017",105.7,106.03,104.24,104.74,103.1743,538500
"SLG","05/05/2017",105.04,105.9,104.81,105.51,103.9328,335200
"SLG","05/04/2017",105.01,105.11,103.79,104.86,103.2925,759100
"SLG","05/03/2017",106.5,106.5,104.64,105.16,103.588,498800
"SLG","05/02/2017",105.69,106.46,104.89,106.21,104.6223,761600
"SLG","05/01/2017",105.14,105.86,104.74,105.6,104.0214,472400
"SLG","04/28/2017",105.01,105.26,104.04,104.93,103.3614,676300
"SLG","04/27/2017",106.03,106.31,104.74,105.13,103.5584,568900
"SLG","04/26/2017",108,108.23,105.99,106.03,104.445,843500
"SLG","04/25/2017",107.07,108.36,106.66,108.26,106.6417,751700
"SLG","04/24/2017",108.57,108.75,106.12,107.07,105.4694,1035100
