"symbol","date","open","high","low","close","adjclose","volume"
"TAP","12/29/2017",82.21,82.55,82.01,82.07,82.07,798700
"TAP","12/28/2017",81.85,82.15,81.43,82.03,82.03,660000
"TAP","12/27/2017",82.02,82.36,81.64,81.68,81.68,672200
"TAP","12/26/2017",81.19,81.93,81.15,81.82,81.82,558900
"TAP","12/22/2017",81.35,81.55,80.88,81.1,81.1,803100
"TAP","12/21/2017",80.7,81.56,80.58,81.18,81.18,1503600
"TAP","12/20/2017",80.67,80.85,79.54,80.59,80.59,1105300
"TAP","12/19/2017",81.17,81.47,80.63,80.7,80.7,1522800
"TAP","12/18/2017",80.57,81.43,80.57,80.85,80.85,1516000
"TAP","12/15/2017",79.58,80.55,79.44,79.8,79.8,2356600
"TAP","12/14/2017",79.5,80.33,79.28,79.37,79.37,1062600
"TAP","12/13/2017",80.11,80.23,79.21,79.5,79.5,931500
"TAP","12/12/2017",80.76,81.05,80.09,80.15,80.15,952700
"TAP","12/11/2017",80,81.02,79.69,80.79,80.79,979200
"TAP","12/08/2017",79.94,80.18,79.02,80.14,80.14,980200
"TAP","12/07/2017",79.95,80.81,79.86,79.95,79.95,816500
"TAP","12/06/2017",80.57,81.38,80.36,81.07,81.07,1341000
"TAP","12/05/2017",80.7,81.05,79.69,80.32,80.32,1248800
"TAP","12/04/2017",79.56,81,79.01,80.51,80.51,1587100
"TAP","12/01/2017",78.22,79.64,78.08,79.21,79.21,1485900
"TAP","11/30/2017",76.51,78.22,76.28,78.1,78.1,2076800
"TAP","11/29/2017",78.11,78.27,76.25,76.52,76.52,1999800
"TAP","11/29/2017",0,0,0,0,0,0
"TAP","11/28/2017",79.36,79.67,78.37,78.58,78.17,1401900
"TAP","11/27/2017",79.59,79.73,78.92,79.38,78.96582,951500
"TAP","11/24/2017",79.93,79.93,79.49,79.67,79.25431,294000
"TAP","11/22/2017",79.61,79.84,79.27,79.54,79.12499,1473200
"TAP","11/21/2017",79.41,80.1,79.2,79.32,78.90614,872700
"TAP","11/20/2017",79.48,79.67,79.05,79.2,78.78676,1184500
"TAP","11/17/2017",79.24,79.97,78.88,79.68,79.26426,748800
"TAP","11/16/2017",78.79,80.18,78.6,79.49,79.07525,1207000
"TAP","11/15/2017",80.5,82,78.7,78.79,78.37891,1435500
"TAP","11/14/2017",80.5,81.25,80.12,80.52,80.09988,861900
"TAP","11/13/2017",80.16,81.23,80.16,80.84,80.41821,982700
"TAP","11/10/2017",80.57,80.79,80.1,80.34,79.92081,1292100
"TAP","11/09/2017",79.43,80.78,79.43,80.53,80.10983,946600
"TAP","11/08/2017",79.2,79.81,78.61,79.63,79.21452,1230200
"TAP","11/07/2017",78.64,79.46,78.64,78.88,78.46843,1197300
"TAP","11/06/2017",79.63,79.85,78.63,78.89,78.47838,1233900
