"symbol","date","open","high","low","close","adjclose","volume"
"TGT","12/29/2017",65.21,65.74,64.89,65.25,65.25,5058100
"TGT","12/28/2017",65.23,65.41,64.6,64.82,64.82,2467500
"TGT","12/27/2017",66,66.11,65.07,65.14,65.14,3510600
"TGT","12/26/2017",65.4,66.45,65.25,65.82,65.82,2637700
"TGT","12/22/2017",65.47,65.47,64.67,65.39,65.39,3938900
"TGT","12/21/2017",64.6,65.74,64.52,65.22,65.22,7640900
"TGT","12/20/2017",64.2,65.24,64.17,64.48,64.48,8163800
"TGT","12/19/2017",64.33,64.64,63.87,64.06,64.06,6424900
"TGT","12/18/2017",63.35,64.42,63.35,64.08,64.08,6372500
"TGT","12/15/2017",62.71,63.2,62.35,62.61,62.61,9152100
"TGT","12/14/2017",63.07,63.7,61.89,61.94,61.94,6332000
"TGT","12/13/2017",60.85,62.83,60.8,62.67,62.67,7998100
"TGT","12/12/2017",61.76,61.95,60.88,61.02,61.02,4769300
"TGT","12/11/2017",61.58,62.17,61.15,61.76,61.76,4315300
"TGT","12/08/2017",61.1,61.83,60.65,61.37,61.37,3666500
"TGT","12/07/2017",60.88,61.66,60.5,61.09,61.09,3965300
"TGT","12/06/2017",61.13,62.28,60.55,60.72,60.72,5562300
"TGT","12/05/2017",62.39,62.48,60.45,62.2,62.2,8184300
"TGT","12/04/2017",60.65,63.03,60.54,62.56,62.56,11463100
"TGT","12/01/2017",60,60.47,58.9,59.51,59.51,8318000
"TGT","11/30/2017",61.65,63.1,59.84,59.9,59.9,14923100
"TGT","11/29/2017",56.82,61.78,56.82,61.68,61.68,18820900
"TGT","11/28/2017",56.02,56.75,55.42,56.62,56.62,6312100
"TGT","11/27/2017",56.2,56.39,55.25,55.84,55.84,8277500
"TGT","11/24/2017",58.05,58.13,55.83,55.88,55.88,5892400
"TGT","11/22/2017",57.42,57.76,57.07,57.49,57.49,2867400
"TGT","11/21/2017",57.85,58.07,56.79,57.25,57.25,6318400
"TGT","11/20/2017",57.97,58.21,57.11,57.88,57.88,7973000
"TGT","11/17/2017",55.76,58.74,55.72,58.14,58.14,16719400
"TGT","11/16/2017",54.51,55.32,54.13,55.1,55.1,12744700
"TGT","11/15/2017",56.26,57.91,54.04,54.16,54.16,34811200
"TGT","11/14/2017",59.59,60.31,59.15,60.09,60.09,8018700
"TGT","11/14/2017",0,0,0,0,0,0
"TGT","11/13/2017",61.4,61.95,60.15,60.4,59.78,6608800
"TGT","11/10/2017",59.91,61.41,59.91,61.4,60.76974,6854500
"TGT","11/09/2017",57.66,60.15,57.19,59.9,59.28514,8496200
"TGT","11/08/2017",57.86,58.95,57.38,58.37,57.77084,4921600
"TGT","11/07/2017",59.07,59.11,57.66,57.89,57.29576,6587600
"TGT","11/06/2017",59.3,59.4,58.71,59.29,58.6814,4538700
"TGT","11/03/2017",59.67,60.12,59.29,59.36,58.75068,3992500
"TGT","11/02/2017",59.14,59.95,58.6,59.79,59.17627,4790500
"TGT","11/01/2017",58.8,59.42,58.62,58.86,58.25581,4710500
"TGT","10/31/2017",59.49,59.76,58.91,59.04,58.43396,6458100
"TGT","10/30/2017",60.18,60.2,59.31,59.55,58.93872,6162200
"TGT","10/27/2017",61.45,61.56,59.86,60.26,59.64144,6964400
"TGT","10/26/2017",62.1,62.67,61.64,62.01,61.37347,4287300
"TGT","10/25/2017",62.74,62.97,61.37,61.92,61.2844,6352500
"TGT","10/24/2017",62.87,63.24,62.3,62.93,62.28403,5644700
"TGT","10/23/2017",61.81,63.62,61.66,62.58,61.93763,8877800
"TGT","10/20/2017",60.68,61.8,60.54,61.76,61.12604,6053800
"TGT","10/19/2017",59.83,60.54,59.62,60.43,59.80969,4201300
"TGT","10/18/2017",60.17,60.58,60,60.03,59.4138,3538600
"TGT","10/17/2017",60.17,60.56,59.86,60.17,59.55236,3285900
"TGT","10/16/2017",60.36,60.75,59.57,60.15,59.53257,4602200
"TGT","10/13/2017",60.25,61.56,59.95,60.85,60.22538,6800500
"TGT","10/12/2017",59.01,60.25,58.54,60.19,59.57215,8970700
"TGT","10/11/2017",57.79,59.67,57.73,59.15,58.54284,11676600
"TGT","10/10/2017",56.8,57.85,56.58,57.6,57.00874,7358500
"TGT","10/09/2017",57.3,57.3,55.77,56.25,55.6726,6312200
"TGT","10/06/2017",57.54,57.66,56.73,57.12,56.53367,8925600
"TGT","10/05/2017",58.69,58.89,58.31,58.38,57.78074,4868800
"TGT","10/04/2017",58.68,58.93,58.52,58.66,58.05786,3037900
"TGT","10/03/2017",59.05,59.24,58.44,58.58,57.97869,3580000
"TGT","10/02/2017",58.79,59.08,57.7,58.89,58.2855,3909900
"TGT","09/29/2017",59.1,59.57,58.68,59.01,58.40427,3816900
"TGT","09/28/2017",58.9,59.51,58.74,58.91,58.3053,5183600
"TGT","09/27/2017",58.56,59.01,57.85,58.87,58.26571,4279400
"TGT","09/26/2017",58.55,59.08,58.34,58.59,57.98858,4211000
"TGT","09/25/2017",58,59.29,57.95,58.55,57.94899,5990400
"TGT","09/22/2017",58.41,59.05,58.17,58.99,58.38448,3510600
"TGT","09/21/2017",59.15,59.15,58,58.33,57.73125,5395400
"TGT","09/20/2017",59.42,59.49,58.66,59.26,58.6517,4830500
"TGT","09/19/2017",59.2,59.74,58.76,59.35,58.74078,3944000
"TGT","09/18/2017",60.13,60.44,59.07,59.09,58.48345,5133100
"TGT","09/15/2017",59.44,60.09,59.13,59.96,59.34452,6718700
"TGT","09/14/2017",59.54,59.69,58.96,59.47,58.85955,5057800
