"symbol","date","open","high","low","close","adjclose","volume"
"UAL","12/29/2017",67.68,67.99,67.37,67.4,67.4,3079500
"UAL","12/28/2017",67.12,67.57,66.88,67.54,67.54,2454400
"UAL","12/27/2017",67.62,67.62,66.61,67.12,67.12,2939900
"UAL","12/26/2017",66.94,67.72,66.48,67.35,67.35,2347300
"UAL","12/22/2017",67.44,67.48,67.11,67.25,67.25,2154600
"UAL","12/21/2017",66.17,67.63,66.15,67.28,67.28,4555000
"UAL","12/20/2017",65.33,66.27,65.04,65.9,65.9,4566600
"UAL","12/19/2017",64.83,64.99,64.33,64.43,64.43,3339400
"UAL","12/18/2017",64.12,64.76,63.71,64.56,64.56,3710100
"UAL","12/15/2017",63.62,64.47,63.26,63.76,63.76,6744300
"UAL","12/14/2017",63.5,64.04,62.71,63.13,63.13,5827700
"UAL","12/13/2017",63.52,63.74,62.45,63.03,63.03,3727300
"UAL","12/12/2017",64.45,64.52,63.36,63.36,63.36,2827900
"UAL","12/11/2017",63.69,64.69,63.48,64.24,64.24,4067600
"UAL","12/08/2017",65.23,65.29,63.38,63.55,63.55,5162000
"UAL","12/07/2017",62.28,63.78,61.84,63.53,63.53,3790500
"UAL","12/06/2017",62.16,62.6,61.78,62.19,62.19,3078600
"UAL","12/05/2017",62.59,62.72,61.84,62.2,62.2,2635100
"UAL","12/04/2017",63.69,64.33,62.55,62.59,62.59,5054300
"UAL","12/01/2017",63.2,63.49,61.84,62.57,62.57,4461900
"UAL","11/30/2017",62.25,63.84,62.08,63.32,63.32,4993000
"UAL","11/29/2017",60.6,62.29,60.39,62.09,62.09,6093300
"UAL","11/28/2017",59.16,60.38,59,60.19,60.19,4149400
"UAL","11/27/2017",59.44,59.54,58.93,59.09,59.09,2896300
"UAL","11/24/2017",59.62,59.75,59.25,59.43,59.43,1196700
"UAL","11/22/2017",59.39,60,59.27,59.69,59.69,1804600
"UAL","11/21/2017",58.86,59.77,58.78,59.71,59.71,2871200
"UAL","11/20/2017",58.26,58.83,57.82,58.76,58.76,3108400
"UAL","11/17/2017",58.41,58.59,57.8,58.2,58.2,4260100
"UAL","11/16/2017",58.07,58.76,57.59,58.68,58.68,3133300
"UAL","11/15/2017",56.99,57.69,56.51,57.49,57.49,4940200
