"symbol","date","open","high","low","close","adjclose","volume"
"XEL","12/29/2017",48.11,48.29,48.07,48.11,48.11,2770600
"XEL","12/28/2017",47.92,48.09,47.72,48.08,48.08,2405200
"XEL","12/27/2017",47.68,47.84,47.53,47.8,47.8,2048400
"XEL","12/26/2017",48.18,48.41,47.78,47.83,47.83,2496100
"XEL","12/22/2017",48.5,48.66,48.18,48.25,48.25,3095500
"XEL","12/21/2017",48.37,48.79,48.12,48.39,48.39,4490300
"XEL","12/20/2017",49.28,49.49,48.48,48.49,48.49,5021100
"XEL","12/19/2017",50.09,50.19,49.25,49.33,49.33,4071100
"XEL","12/18/2017",50.83,50.86,50.09,50.09,50.09,2944100
"XEL","12/15/2017",50.35,50.89,50.27,50.78,50.78,4461100
"XEL","12/14/2017",50.74,50.75,50.16,50.39,50.39,3269300
"XEL","12/13/2017",50.65,51.02,50.44,50.83,50.83,2857600
"XEL","12/12/2017",51.36,51.4,50.51,50.54,50.54,3308300
"XEL","12/11/2017",51.01,51.45,50.85,51.44,51.44,3368300
"XEL","12/08/2017",50.71,51.24,50.58,51.2,51.2,2742200
"XEL","12/07/2017",51.09,51.09,50.5,50.84,50.84,2685800
"XEL","12/06/2017",50.91,51.24,50.79,51.09,51.09,2071000
"XEL","12/05/2017",51.15,51.15,50.4,50.8,50.8,2762400
"XEL","12/04/2017",51.46,51.58,51,51.08,51.08,2015200
"XEL","12/01/2017",51.7,51.84,51.08,51.36,51.36,3058000
"XEL","11/30/2017",51.35,51.63,51.14,51.61,51.61,4456800
"XEL","11/29/2017",51.18,51.48,50.85,51.26,51.26,2311500
"XEL","11/28/2017",51.06,51.28,50.96,51.25,51.25,2445600
"XEL","11/27/2017",50.81,50.96,50.61,50.86,50.86,2516700
"XEL","11/24/2017",50.67,50.88,50.64,50.71,50.71,956000
"XEL","11/22/2017",50.61,50.74,50.35,50.53,50.53,1928100
"XEL","11/21/2017",50.73,50.83,50.54,50.61,50.61,2740500
"XEL","11/20/2017",50.92,51.05,50.56,50.59,50.59,2176500
"XEL","11/17/2017",51.06,51.28,50.8,50.89,50.89,2185400
"XEL","11/16/2017",51.04,51.26,50.96,51.18,51.18,2393000
"XEL","11/15/2017",51.97,52.22,51.18,51.18,51.18,3878900
"XEL","11/14/2017",50.65,51.85,50.64,51.8,51.8,4216000
"XEL","11/13/2017",50.17,50.85,50.13,50.79,50.79,3419300
"XEL","11/10/2017",50.2,50.37,50.03,50.2,50.2,3296500
"XEL","11/09/2017",50.04,50.57,50.04,50.51,50.51,3693800
"XEL","11/08/2017",49.93,50.37,49.93,50.25,50.25,4501400
"XEL","11/07/2017",49.45,50.24,49.29,50.03,50.03,2895600
"XEL","11/06/2017",49.63,49.79,49.38,49.4,49.4,2734600
"XEL","11/03/2017",49.13,49.8,49.13,49.59,49.59,4203600
"XEL","11/02/2017",49.14,49.92,48.93,49.26,49.26,5562100
"XEL","11/01/2017",49.66,49.71,49.19,49.23,49.23,2640600
"XEL","10/31/2017",49.16,49.69,49.11,49.52,49.52,2827000
"XEL","10/30/2017",49.17,49.35,49.09,49.29,49.29,2687200
"XEL","10/27/2017",48.95,49.42,48.92,49.21,49.21,3345600
"XEL","10/26/2017",49.83,49.83,48.98,49.05,49.05,4394000
"XEL","10/25/2017",49.3,49.45,48.56,49.38,49.38,3110000
"XEL","10/24/2017",49.5,49.54,49.21,49.46,49.46,3186500
"XEL","10/23/2017",49.31,49.38,49.1,49.27,49.27,1870800
"XEL","10/20/2017",49.18,49.41,49.06,49.26,49.26,2410800
"XEL","10/19/2017",48.75,49.27,48.66,49.25,49.25,2330900
"XEL","10/18/2017",48.58,48.82,48.45,48.73,48.73,1619700
"XEL","10/17/2017",48.58,48.88,48.37,48.72,48.72,2808200
"XEL","10/16/2017",48.5,48.64,48.26,48.49,48.49,3292000
"XEL","10/13/2017",48.85,49.08,48.45,48.61,48.61,3646200
"XEL","10/12/2017",48.32,48.8,48.15,48.76,48.76,2702700
"XEL","10/11/2017",47.93,48.45,47.91,48.28,48.28,2801800
"XEL","10/10/2017",47.61,48,47.48,47.94,47.94,2484400
"XEL","10/09/2017",47.47,47.6,47.37,47.58,47.58,3548300
"XEL","10/06/2017",47.46,47.57,47.24,47.39,47.39,2997100
"XEL","10/05/2017",47.77,47.78,47.41,47.58,47.58,2068500
"XEL","10/04/2017",47.18,47.8,47.03,47.77,47.77,2513600
"XEL","10/03/2017",47.32,47.39,46.86,47.18,47.18,1990800
"XEL","10/02/2017",47.47,47.61,47.27,47.36,47.36,2100300
"XEL","09/29/2017",47.36,47.47,47.17,47.32,47.32,2821000
"XEL","09/28/2017",46.96,47.48,46.84,47.37,47.37,3099400
"XEL","09/27/2017",47.37,47.56,46.69,47.04,47.04,3270100
"XEL","09/26/2017",47.72,47.97,47.55,47.71,47.71,2570400
"XEL","09/25/2017",47.43,47.84,47.3,47.7,47.7,3477600
"XEL","09/22/2017",48.15,48.15,47.29,47.41,47.41,3669700
"XEL","09/21/2017",48.1,48.4,47.96,48.01,48.01,2516400
"XEL","09/20/2017",48.55,48.67,47.91,48.13,48.13,2932300
"XEL","09/19/2017",48.67,48.72,48.35,48.44,48.44,3326200
"XEL","09/18/2017",49.08,49.1,48.19,48.62,48.62,2843600
"XEL","09/15/2017",49.21,49.22,48.77,49.08,49.08,3426700
"XEL","09/14/2017",48.88,49.11,48.59,49.1,49.1,3236200
"XEL","09/14/2017",0,0,0,0,0,0
"XEL","09/13/2017",49.49,49.53,49.01,49.16,48.8,3153200
"XEL","09/12/2017",50.47,50.52,49.32,49.53,49.16729,3324100
"XEL","09/11/2017",50.13,50.56,50.03,50.51,50.14011,2275900
"XEL","09/08/2017",49.88,50.3,49.73,50.23,49.86216,1647600
"XEL","09/07/2017",49.72,49.95,49.5,49.89,49.52465,2933600
"XEL","09/06/2017",49.77,49.77,49.42,49.56,49.19707,1914700
"XEL","09/05/2017",49.38,49.69,49.17,49.65,49.28642,2429600
"XEL","09/01/2017",49.55,49.61,49.19,49.36,48.99854,1855100
"XEL","08/31/2017",49.55,49.58,49.4,49.5,49.13751,3020800
"XEL","08/30/2017",49.51,49.61,49.39,49.48,49.11766,1988000
"XEL","08/29/2017",49.6,49.7,49.38,49.5,49.13751,1991300
"XEL","08/28/2017",49.49,49.59,49.31,49.54,49.17722,1474200
"XEL","08/25/2017",49.53,49.6,49.36,49.37,49.00846,2099700
"XEL","08/24/2017",49.3,49.52,49.22,49.35,48.98861,1977100
"XEL","08/23/2017",49.17,49.44,48.95,49.37,49.00846,1729200
"XEL","08/22/2017",49.25,49.25,48.93,49.13,48.77022,2257400
"XEL","08/21/2017",49.1,49.33,48.93,49.21,48.84963,1903300
"XEL","08/18/2017",48.76,49.22,48.53,49,48.64117,2236600
"XEL","08/17/2017",48.95,49.01,48.61,48.67,48.31359,1760800
"XEL","08/16/2017",48.75,48.98,48.64,48.94,48.58161,1344000
"XEL","08/15/2017",48.25,48.76,48.25,48.73,48.37315,1425800
"XEL","08/14/2017",48.2,48.51,48.19,48.43,48.07535,1846000
"XEL","08/11/2017",48.67,48.67,47.99,48.19,47.8371,1761900
"XEL","08/10/2017",48.2,48.72,48.04,48.64,48.28381,3213400
"XEL","08/09/2017",48.56,48.58,48.24,48.27,47.91652,2584600
"XEL","08/08/2017",48.07,48.45,48.07,48.44,48.08527,1632900
"XEL","08/07/2017",47.98,48.21,47.79,48.2,47.84703,1856700
"XEL","08/04/2017",47.87,48.02,47.65,47.97,47.61872,2225500
"XEL","08/03/2017",47.64,48.12,47.62,48.11,47.75769,2262600
"XEL","08/02/2017",47.38,47.71,47.18,47.71,47.36062,1447500
"XEL","08/01/2017",47.31,47.71,47.21,47.57,47.22164,2704800
"XEL","07/31/2017",47.14,47.41,46.96,47.31,46.96355,3002200
"XEL","07/28/2017",47.62,47.7,47.05,47.16,46.81465,2956100
"XEL","07/27/2017",47.21,47.66,46.9,47.66,47.31099,4247900
"XEL","07/26/2017",46.65,47.27,46.55,47.27,46.92384,2420600
"XEL","07/25/2017",46.93,46.93,46.58,46.7,46.35802,1249300
"XEL","07/24/2017",47.41,47.45,46.79,46.9,46.55655,2135700
"XEL","07/21/2017",47.11,47.42,46.88,47.42,47.07274,2787700
"XEL","07/20/2017",46.7,47.19,46.62,47.13,46.78487,3895700
"XEL","07/19/2017",46.45,46.63,46.27,46.62,46.2786,3843600
"XEL","07/18/2017",46.16,46.48,46.1,46.4,46.06021,2953600
"XEL","07/17/2017",45.97,46.15,45.85,46.12,45.78226,3945800
"XEL","07/14/2017",45.91,46.08,45.81,45.92,45.58372,2366100
"XEL","07/13/2017",45.79,45.9,45.54,45.67,45.33556,3467200
"XEL","07/12/2017",45.89,46.02,45.8,45.89,45.55395,2549900
"XEL","07/11/2017",45.64,45.69,45.41,45.54,45.20651,2178100
"XEL","07/10/2017",45.84,45.87,45.55,45.56,45.22636,2621500
"XEL","07/07/2017",45.57,45.92,45.53,45.69,45.35541,3622200
"XEL","07/06/2017",45.43,45.63,45.31,45.57,45.23629,3091100
"XEL","07/05/2017",45.57,45.63,45.18,45.53,45.19658,3187800
"XEL","07/03/2017",46.03,46.06,45.57,45.57,45.23629,1305200
"XEL","06/30/2017",46.04,46.24,45.88,45.88,45.54402,3300300
"XEL","06/29/2017",46.19,46.2,45.79,45.96,45.62343,4966700
"XEL","06/28/2017",47.17,47.24,46.44,46.47,46.1297,2880100
"XEL","06/27/2017",47.14,47.32,46.89,47.01,46.66574,3473800
"XEL","06/26/2017",47.13,47.64,47.03,47.38,47.03304,1889900
"XEL","06/23/2017",47.31,47.55,47.05,47.13,46.78487,2202000
"XEL","06/22/2017",47.47,47.68,47.31,47.34,46.99333,1558400
"XEL","06/21/2017",47.67,47.78,47.42,47.55,47.20179,3299100
"XEL","06/20/2017",47.62,47.78,47.61,47.68,47.33084,1913600
"XEL","06/19/2017",47.85,47.85,47.45,47.59,47.2415,2526000
"XEL","06/16/2017",47.65,47.86,47.5,47.79,47.44003,3892400
"XEL","06/15/2017",47.27,47.63,47.13,47.59,47.2415,1887800
"XEL","06/14/2017",47.36,47.62,47.18,47.37,47.02311,2403200
"XEL","06/13/2017",46.84,47.08,46.67,47.07,46.7253,2179500
"XEL","06/13/2017",0,0,0,0,0,0
"XEL","06/12/2017",47.35,47.53,46.83,47.18,46.47713,2810000
"XEL","06/09/2017",47.22,47.39,46.94,47.35,46.6446,2641800
"XEL","06/08/2017",47.9,47.9,46.98,47.34,46.63475,3145000
"XEL","06/07/2017",47.62,48.06,47.57,47.9,47.18641,2367400
"XEL","06/06/2017",47.95,47.98,47.54,47.54,46.83177,3325800
"XEL","06/05/2017",48.36,48.38,47.83,47.84,47.1273,2806000
"XEL","06/02/2017",48.41,48.5,48.03,48.32,47.60015,1662600
"XEL","06/01/2017",47.88,48.14,47.67,48.13,47.41298,3201700
"XEL","05/31/2017",47.63,48.01,47.52,47.91,47.19626,3893300
"XEL","05/30/2017",47.28,47.62,47.21,47.58,46.87118,1739800
"XEL","05/26/2017",47.3,47.41,47.2,47.3,46.59535,1587800
"XEL","05/25/2017",46.85,47.32,46.7,47.26,46.55594,1819500
"XEL","05/24/2017",46.54,46.81,46.54,46.77,46.07324,2144000
"XEL","05/23/2017",46.36,46.79,46.31,46.51,45.81712,1823200
"XEL","05/22/2017",45.72,46.4,45.71,46.3,45.61024,1937500
"XEL","05/19/2017",45.68,45.87,45.3,45.85,45.16695,2601100
"XEL","05/18/2017",45.65,46.07,45.35,45.64,44.96008,2498700
"XEL","05/17/2017",45.57,45.79,45.49,45.61,44.93053,2096600
"XEL","05/16/2017",45.78,45.92,45.56,45.57,44.89112,2601800
"XEL","05/15/2017",45.58,45.93,45.55,45.81,45.12755,2721400
"XEL","05/12/2017",45.16,45.63,45.16,45.58,44.90097,3460100
"XEL","05/11/2017",44.82,45.15,44.63,45.15,44.47738,3586200
"XEL","05/10/2017",44.82,45,44.72,44.89,44.22125,1949800
"XEL","05/09/2017",45.04,45.13,44.72,44.77,44.10304,1888800
"XEL","05/08/2017",45.16,45.19,44.82,45.13,44.45768,1339100
"XEL","05/05/2017",45.05,45.23,44.94,45.05,44.37887,2051000
"XEL","05/04/2017",44.56,44.93,44.47,44.92,44.2508,3354200
"XEL","05/03/2017",44.8,44.99,44.7,44.71,44.04393,1826100
"XEL","05/02/2017",44.89,45.06,44.69,44.81,44.14244,2243300
"XEL","05/01/2017",45.06,45.09,44.67,44.8,44.13259,2033000
"XEL","04/28/2017",45.14,45.28,44.98,45.05,44.37887,2931700
"XEL","04/27/2017",44.9,45.44,44.82,45.13,44.45768,2074300
"XEL","04/26/2017",44.95,45.12,44.77,44.84,44.172,2135600
"XEL","04/25/2017",44.86,45.04,44.73,45.01,44.33946,2027500
"XEL","04/24/2017",44.88,45.07,44.57,45.02,44.34932,2264800
"XEL","04/21/2017",44.61,45.01,44.61,44.83,44.16215,1937700
"XEL","04/20/2017",44.8,44.8,44.25,44.65,43.98483,2919900
"XEL","04/19/2017",45.09,45.19,44.62,44.8,44.13259,2194800
"XEL","04/18/2017",45.1,45.3,44.99,45.1,44.42812,2284500
"XEL","04/17/2017",44.97,45.11,44.86,45.08,44.40842,1791100
"XEL","04/13/2017",44.85,45.03,44.58,44.82,44.15229,2345900
"XEL","04/12/2017",44.43,44.94,44.3,44.9,44.23111,2450600
"XEL","04/11/2017",44.52,44.66,44.17,44.58,43.91587,1965800
"XEL","04/10/2017",44.43,44.61,44.21,44.58,43.91587,1655400
"XEL","04/07/2017",44.7,44.81,44.4,44.4,43.73855,3309500
"XEL","04/06/2017",44.65,44.75,44.46,44.59,43.92572,2389500
"XEL","04/05/2017",44.49,44.86,44.37,44.82,44.15229,2760100
"XEL","04/04/2017",44.33,44.65,44.29,44.51,43.84691,1777000
"XEL","04/03/2017",44.4,44.41,44,44.4,43.73855,2352100
"XEL","03/31/2017",44.31,44.64,44.25,44.45,43.78781,2384700
"XEL","03/30/2017",44.33,44.38,44.08,44.31,43.64989,2131200
"XEL","03/29/2017",44.82,44.82,44.39,44.47,43.80751,2646700
"XEL","03/28/2017",44.66,44.96,44.62,44.93,44.26066,4144500
"XEL","03/27/2017",44.87,45.06,44.57,44.77,44.10304,2433800
"XEL","03/24/2017",44.52,44.94,44.48,44.77,44.10304,2178400
"XEL","03/23/2017",44.51,44.94,44.37,44.58,43.91587,3270500
"XEL","03/22/2017",44.56,44.93,44.32,44.51,43.84691,4052900
"XEL","03/21/2017",43.55,44.47,43.55,44.36,43.69915,3388800
"XEL","03/20/2017",43.9,44.05,43.45,43.59,42.94062,1613400
"XEL","03/17/2017",43.73,44.07,43.62,43.85,43.19674,3230500
"XEL","03/16/2017",43.94,43.94,43.45,43.58,42.93077,2736200
"XEL","03/15/2017",43.4,44.3,43.39,44.05,43.39376,3073500
"XEL","03/14/2017",43.17,43.35,43.1,43.25,42.60568,2243000
"XEL","03/13/2017",43.15,43.31,43.03,43.23,42.58598,2595300
"XEL","03/13/2017",0,0,0,0,0,0
"XEL","03/10/2017",43.26,43.51,43.13,43.5,42.49732,3112200
"XEL","03/09/2017",43.09,43.31,42.99,43.07,42.07723,1845800
"XEL","03/08/2017",43.52,43.56,42.93,43.05,42.05769,2237600
"XEL","03/07/2017",43.52,43.98,43.51,43.82,42.80994,3237900
"XEL","03/06/2017",43.65,43.8,43.51,43.62,42.61456,2126500
"XEL","03/03/2017",43.87,43.87,43.36,43.72,42.71225,2174200
"XEL","03/02/2017",43.35,44.1,43.24,43.85,42.83925,2551200
"XEL","03/01/2017",43.05,43.76,43.01,43.5,42.49732,3383100
"XEL","02/28/2017",43.22,43.82,43.19,43.71,42.70248,2512800
"XEL","02/27/2017",43.39,43.5,43.17,43.31,42.3117,2334600
"XEL","02/24/2017",43.34,43.54,42.95,43.34,42.34101,3090400
"XEL","02/23/2017",42.71,42.99,42.53,42.95,41.96,3600600
