"symbol","date","open","high","low","close","adjclose","volume"
"ZION","12/29/2017",51.28,51.55,50.81,50.83,50.83,1261800
"ZION","12/28/2017",50.92,51.37,50.53,51.34,51.34,976400
"ZION","12/27/2017",50.78,50.89,50.46,50.71,50.71,694600
"ZION","12/26/2017",51.25,51.97,50.66,50.86,50.86,808100
"ZION","12/22/2017",51.5,51.59,50.91,51.33,51.33,879900
"ZION","12/21/2017",51.12,51.63,50.9,51.46,51.46,1607200
"ZION","12/20/2017",51.43,51.52,50.21,50.73,50.73,1701200
"ZION","12/19/2017",51.18,51.34,50.74,50.89,50.89,1336400
"ZION","12/18/2017",50.5,51.23,50.5,50.98,50.98,2616500
"ZION","12/15/2017",49.3,50.72,49.22,50.01,50.01,4481600
"ZION","12/14/2017",49.91,50.25,49.13,49.22,49.22,2788900
"ZION","12/13/2017",50.61,50.82,49.55,49.76,49.76,2193600
"ZION","12/12/2017",50.03,50.61,49.89,50.46,50.46,2432700
"ZION","12/11/2017",50.9,51.06,49.8,49.94,49.94,1857000
"ZION","12/08/2017",50.88,51.03,50.41,50.93,50.93,1653400
"ZION","12/07/2017",49.91,50.86,49.6,50.47,50.47,2414600
"ZION","12/06/2017",50.45,50.71,49.86,49.92,49.92,3233800
"ZION","12/05/2017",52.02,52.2,50.77,50.88,50.88,2436800
"ZION","12/04/2017",51.04,52.16,50.51,51.74,51.74,3789700
"ZION","12/01/2017",49.52,50.34,48.28,50.08,50.08,4038800
"ZION","11/30/2017",49.93,50.51,49.4,49.55,49.55,3451700
"ZION","11/29/2017",48.56,49.95,48.5,49.49,49.49,3982500
"ZION","11/28/2017",46.62,48.14,46.53,48.09,48.09,3198100
"ZION","11/27/2017",46.25,46.69,46.07,46.42,46.42,1717500
"ZION","11/24/2017",46.65,46.84,46.31,46.35,46.35,688600
"ZION","11/22/2017",47.05,47.05,46.35,46.35,46.35,1204200
"ZION","11/21/2017",47.34,47.34,46.71,46.89,46.89,1619400
"ZION","11/20/2017",46.46,47.16,46.21,47.1,47.1,2387100
"ZION","11/17/2017",45.91,46.46,45.63,46.3,46.3,1291000
"ZION","11/16/2017",46.72,46.99,46.06,46.11,46.11,2136300
"ZION","11/15/2017",45.99,46.95,45.64,46.5,46.5,2180700
"ZION","11/14/2017",45.12,47.09,45.1,46.49,46.49,4487100
"ZION","11/14/2017",0,0,0,0,0,0
"ZION","11/13/2017",43.65,45.53,43.5,45.43,45.27,3651300
"ZION","11/10/2017",44.1,44.42,43.83,43.93,43.77528,2049000
"ZION","11/09/2017",44.21,44.68,43.67,43.97,43.81514,2076100
"ZION","11/08/2017",44.72,44.92,44.16,44.54,44.38313,2940600
"ZION","11/07/2017",46.44,46.54,44.79,44.88,44.72194,2413000
"ZION","11/06/2017",46.75,46.84,46.09,46.45,46.28641,1505000
"ZION","11/03/2017",46.77,47.13,46.37,46.81,46.64514,1249300
"ZION","11/02/2017",46.17,46.92,45.99,46.85,46.685,1496000
"ZION","11/01/2017",46.71,47.06,46.16,46.22,46.05722,1400100
"ZION","10/31/2017",46.68,47.07,46.44,46.46,46.29637,1445300
"ZION","10/30/2017",46.82,47.33,46.55,46.8,46.63517,2139500
"ZION","10/27/2017",46.82,47.3,46.7,47.11,46.94408,2395500
"ZION","10/26/2017",46.2,46.98,46.03,46.93,46.76472,2528500
"ZION","10/25/2017",46.4,46.88,45.52,45.99,45.82803,3037800
"ZION","10/24/2017",45.25,47.15,45.06,46.35,46.18676,3804700
"ZION","10/23/2017",46.84,47,46.24,46.39,46.22662,2156900
"ZION","10/20/2017",46.77,46.98,46.55,46.76,46.59531,2134400
"ZION","10/19/2017",45.7,46.24,45.28,46.05,45.88781,2174100
"ZION","10/18/2017",46.23,46.43,45.79,46.17,46.00739,2649200
"ZION","10/17/2017",46.91,46.97,45.96,45.99,45.82803,1324600
"ZION","10/16/2017",46.5,46.91,46.47,46.79,46.62521,1063400
"ZION","10/13/2017",46.45,46.89,46.15,46.6,46.43588,1204700
"ZION","10/12/2017",47.5,47.62,46.68,46.72,46.55546,1623200
"ZION","10/11/2017",47.6,47.65,47.09,47.28,47.11348,1507300
"ZION","10/10/2017",47.34,47.75,47.19,47.71,47.54197,1455600
"ZION","10/09/2017",47.97,47.97,47.32,47.34,47.17327,1281100
"ZION","10/06/2017",47.87,48.26,47.42,47.88,47.71137,2316100
"ZION","10/05/2017",46.82,47.79,46.56,47.66,47.49215,1849400
"ZION","10/04/2017",46.93,47.05,46.63,46.69,46.52556,1023600
"ZION","10/03/2017",47.22,47.34,46.63,46.93,46.76472,1829300
"ZION","10/02/2017",46.65,47.34,46.34,47.28,47.11348,2236700
"ZION","09/29/2017",46.97,47.7,46.7,47.18,47.01384,1982600
"ZION","09/28/2017",46.9,46.97,46.39,46.94,46.77468,2423300
"ZION","09/27/2017",46.39,46.97,46.08,46.59,46.42591,2590800
"ZION","09/26/2017",45.6,45.98,45.39,45.84,45.67855,1800900
"ZION","09/25/2017",44.94,45.82,44.89,45.45,45.28993,2240300
"ZION","09/22/2017",45.17,45.19,44.81,45.12,44.96109,1173000
"ZION","09/21/2017",45.15,45.54,44.91,45.36,45.20024,1959500
"ZION","09/20/2017",44.44,45.2,43.85,45.11,44.95113,2740700
"ZION","09/19/2017",44.03,44.47,43.89,44.41,44.25359,2181100
"ZION","09/18/2017",43.43,44.11,43.2,43.96,43.80518,3128900
"ZION","09/15/2017",42.3,43.31,42.22,43.28,43.12757,3177200
"ZION","09/14/2017",42.99,43.53,42.54,42.66,42.50975,3067600
"ZION","09/13/2017",43.2,43.21,42.47,43.05,42.89838,4222500
"ZION","09/12/2017",42.91,43.63,42.75,43.33,43.1774,2852100
"ZION","09/11/2017",42.05,42.89,42.01,42.73,42.57951,3184300
"ZION","09/08/2017",41.59,41.92,41.31,41.64,41.49335,2230200
"ZION","09/07/2017",42.51,42.56,41.23,41.33,41.18444,2812500
"ZION","09/06/2017",42.94,43.09,42.24,42.61,42.45993,2455900
"ZION","09/05/2017",44,44.02,42.68,42.76,42.6094,2286700
"ZION","09/01/2017",43.69,44.6,43.64,44.32,44.16391,1481900
"ZION","08/31/2017",43.93,44.16,43.6,43.66,43.50623,1648900
"ZION","08/30/2017",43.74,44.12,43.58,43.82,43.66567,1536000
"ZION","08/29/2017",43.67,43.87,43.26,43.71,43.55606,2427300
"ZION","08/28/2017",44.84,45.02,44.06,44.28,44.12405,1772000
"ZION","08/25/2017",44.42,44.9,44.33,44.7,44.54257,1381300
"ZION","08/24/2017",44.21,44.46,43.98,44.38,44.2237,1215900
"ZION","08/23/2017",43.61,44.35,43.6,43.93,43.77528,1497200
"ZION","08/22/2017",43.71,44.02,43.62,43.99,43.83507,1347700
"ZION","08/21/2017",43.85,43.88,43.29,43.54,43.38666,1497100
"ZION","08/18/2017",43.77,44.2,43.45,43.92,43.76532,1482900
"ZION","08/17/2017",44.97,45.16,43.76,43.85,43.69556,1696900
"ZION","08/16/2017",45.89,45.9,45.01,45.12,44.96109,1506900
"ZION","08/15/2017",45.53,45.77,45.1,45.13,44.97106,1235600
"ZION","08/15/2017",0,0,0,0,0,0
"ZION","08/14/2017",44.6,45.14,44.2,44.99,44.71198,1539300
"ZION","08/11/2017",44.68,44.94,43.88,44.11,43.83741,1898100
"ZION","08/10/2017",45.23,45.23,44.21,44.44,44.16537,2714000
"ZION","08/09/2017",45.44,45.61,45.03,45.29,45.01012,2224300
"ZION","08/08/2017",45.59,46.46,45.42,45.81,45.52691,2354800
"ZION","08/07/2017",45.8,46.09,45.48,45.76,45.47721,1998400
"ZION","08/04/2017",45.94,46.43,45.75,46.12,45.83499,2118800
"ZION","08/03/2017",45.66,45.85,45.31,45.49,45.20888,2479100
"ZION","08/02/2017",45.29,45.74,45.06,45.72,45.43746,2222600
"ZION","08/01/2017",45.51,45.58,44.99,45.38,45.09956,3371700
"ZION","07/31/2017",45.39,45.66,45.25,45.32,45.03993,2723400
"ZION","07/28/2017",45.11,45.44,44.81,45.26,44.9803,2179800
"ZION","07/27/2017",45.86,45.86,44.68,45.14,44.86105,4096000
"ZION","07/26/2017",46,46.29,45.24,45.67,45.38777,4601300
"ZION","07/25/2017",45.19,45.36,44.5,44.65,44.37408,2768000
"ZION","07/24/2017",43.55,44.36,43.55,44.32,44.04611,1829400
"ZION","07/21/2017",43.55,44.09,43.36,43.54,43.27094,2170000
"ZION","07/20/2017",43.95,44.25,43.6,43.84,43.56908,1578000
"ZION","07/19/2017",44.07,44.39,43.69,43.98,43.70821,1614900
"ZION","07/18/2017",43.98,44.28,43.59,44.08,43.8076,2276900
"ZION","07/17/2017",44.66,44.79,44.14,44.34,44.06599,3500400
"ZION","07/14/2017",44.34,44.92,43.94,44.72,44.44364,1827200
"ZION","07/13/2017",44.9,45.12,44.69,45,44.72191,1855000
"ZION","07/12/2017",45.12,45.28,44.45,44.79,44.51321,2243400
"ZION","07/11/2017",44.68,45.26,44.48,45.2,44.92067,5772900
"ZION","07/10/2017",44.37,44.85,44.13,44.66,44.38401,2232100
"ZION","07/07/2017",44.32,44.5,43.78,44.44,44.16537,1476000
"ZION","07/06/2017",44.76,44.87,44.07,44.12,43.84735,2077400
"ZION","07/05/2017",44.76,44.83,44.12,44.74,44.46352,2217900
"ZION","07/03/2017",44.24,45.09,43.97,44.73,44.45358,1435300
"ZION","06/30/2017",44.14,44.21,43.41,43.91,43.63865,2047500
"ZION","06/29/2017",44.41,44.85,43.38,43.99,43.71815,4443800
"ZION","06/28/2017",42.78,43.49,42.78,42.97,42.70446,3828500
"ZION","06/27/2017",42.56,43.08,42.5,42.54,42.27711,2057500
"ZION","06/26/2017",42.06,42.6,41.9,42.34,42.07835,1468500
"ZION","06/23/2017",42.6,42.84,41.83,41.93,41.67088,2095900
"ZION","06/22/2017",42.26,42.43,41.71,42.3,42.0386,1826000
"ZION","06/21/2017",43.03,43.23,42.25,42.33,42.06841,2123500
"ZION","06/20/2017",43.12,43.35,42.87,42.96,42.69452,2508100
"ZION","06/19/2017",43.67,43.81,43.18,43.36,43.09205,1561800
"ZION","06/16/2017",42.89,43.26,42.73,43.09,42.82371,3442500
"ZION","06/15/2017",43,43.46,42.75,42.87,42.60507,1873800
"ZION","06/14/2017",42.5,43.27,42.1,43.23,42.96284,2643300
"ZION","06/13/2017",43.14,43.57,42.8,43.13,42.86346,2556300
"ZION","06/12/2017",42.26,43.25,42.26,42.93,42.6647,4060500
"ZION","06/09/2017",41.81,42.53,41.5,42.34,42.07835,3191100
"ZION","06/08/2017",40.43,42.04,40.35,41.39,41.13422,3648600
"ZION","06/07/2017",40.37,40.63,40.25,40.46,40.20996,2284100
"ZION","06/06/2017",40.02,40.51,39.74,40.26,40.0112,3676700
"ZION","06/05/2017",40.29,41.17,40.1,40.46,40.20996,3186600
