#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"16.709","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EA-FY2013.CSV","Start Processing"
"13998.7656","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EA-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EBAY-FY2013.CSV","Start Processing"
"9800.7462","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EBAY-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ECL-FY2013.CSV","Start Processing"
"10333.1755","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ECL-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ED-FY2013.CSV","Start Processing"
"10332.8352","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ED-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EFX-FY2013.CSV","Start Processing"
"10633.0897","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EFX-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EIX-FY2013.CSV","Start Processing"
"12915.4602","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EIX-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EL-FY2013.CSV","Start Processing"
"10468.7031","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EL-FY2013.CSV","End Processing"
"0.9956","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EMN-FY2013.CSV","Start Processing"
"10562.7472","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EMN-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EMR-FY2013.CSV","Start Processing"
"9450.0267","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EMR-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EOG-FY2013.CSV","Start Processing"
"9333.1288","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EOG-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EQIX-FY2013.CSV","Start Processing"
"9049.7903","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EQIX-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EQR-FY2013.CSV","Start Processing"
"9950.0317","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EQR-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EQT-FY2013.CSV","Start Processing"
"12281.7718","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EQT-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ES-FY2013.CSV","Start Processing"
"10234.3962","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ES-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ESRX-FY2013.CSV","Start Processing"
"10383.1033","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ESRX-FY2013.CSV","End Processing"
