#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"16.6514","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\JBHT-FY2013.CSV","Start Processing"
"13545.9032","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\JBHT-FY2013.CSV","End Processing"
"6.0309","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\JCI-FY2013.CSV","Start Processing"
"10083.9457","260","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\JCI-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\JEC-FY2013.CSV","Start Processing"
"10413.255","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\JEC-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\JNJ-FY2013.CSV","Start Processing"
"10199.8617","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\JNJ-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\JNPR-FY2013.CSV","Start Processing"
"11099.8389","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\JNPR-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\JPM-FY2013.CSV","Start Processing"
"11366.6244","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\JPM-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\JWN-FY2013.CSV","Start Processing"
"9583.3095","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\JWN-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\JBHT-FY2014.CSV","Start Processing"
"9933.0642","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\JBHT-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\JCI-FY2014.CSV","Start Processing"
"9083.0909","260","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\JCI-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\JEC-FY2014.CSV","Start Processing"
"9249.9328","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\JEC-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\JNJ-FY2014.CSV","Start Processing"
"9175.5275","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\JNJ-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\JNPR-FY2014.CSV","Start Processing"
"10190.7727","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\JNPR-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\JPM-FY2014.CSV","Start Processing"
"11699.3272","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\JPM-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\JWN-FY2014.CSV","Start Processing"
"9865.1896","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\JWN-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\JBHT-FY2015.CSV","Start Processing"
"9615.4665","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\JBHT-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\JCI-FY2015.CSV","Start Processing"
"9267.3996","260","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\JCI-FY2015.CSV","End Processing"
"1.0119","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\JEC-FY2015.CSV","Start Processing"
"10666.7326","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\JEC-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\JNJ-FY2015.CSV","Start Processing"
"9723.4302","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\JNJ-FY2015.CSV","End Processing"
"1.0068","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\JNPR-FY2015.CSV","Start Processing"
"9341.5908","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\JNPR-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\JPM-FY2015.CSV","Start Processing"
"9366.5172","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\JPM-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\JWN-FY2015.CSV","Start Processing"
"10311.2327","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\JWN-FY2015.CSV","End Processing"
"0.4981","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\JBHT-FY2016.CSV","Start Processing"
"10421.3866","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\JBHT-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\JCI-FY2016.CSV","Start Processing"
"9848.7695","263","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\JCI-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\JEC-FY2016.CSV","Start Processing"
"11001.0808","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\JEC-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\JNJ-FY2016.CSV","Start Processing"
"10416.382","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\JNJ-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\JNPR-FY2016.CSV","Start Processing"
"9515.3198","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\JNPR-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\JPM-FY2016.CSV","Start Processing"
"9734.175","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\JPM-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\JWN-FY2016.CSV","Start Processing"
"10116.5574","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\JWN-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\JBHT-FY2017.CSV","Start Processing"
"9482.9933","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\JBHT-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\JCI-FY2017.CSV","Start Processing"
"9415.4539","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\JCI-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\JEC-FY2017.CSV","Start Processing"
"9701.0036","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\JEC-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\JNJ-FY2017.CSV","Start Processing"
"9783.1249","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\JNJ-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\JNPR-FY2017.CSV","Start Processing"
"9348.7207","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\JNPR-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\JPM-FY2017.CSV","Start Processing"
"9633.9481","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\JPM-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\JWN-FY2017.CSV","Start Processing"
"9830.2405","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\JWN-FY2017.CSV","End Processing"
