#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"33.3687","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\K-FY2013.CSV","Start Processing"
"15115.4061","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\K-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KEY-FY2013.CSV","Start Processing"
"9600.7548","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KEY-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KHC-FY2013.CSV","Start Processing"
"33.3462","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KHC-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KIM-FY2013.CSV","Start Processing"
"9799.89","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KIM-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KLAC-FY2013.CSV","Start Processing"
"10071.6929","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KLAC-FY2013.CSV","End Processing"
"0.501","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KMB-FY2013.CSV","Start Processing"
"10494.0306","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KMB-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KMI-FY2013.CSV","Start Processing"
"13683.3103","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KMI-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KMX-FY2013.CSV","Start Processing"
"10133.0334","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KMX-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KO-FY2013.CSV","Start Processing"
"9733.1544","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KO-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KORS-FY2013.CSV","Start Processing"
"10166.4703","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KORS-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KR-FY2013.CSV","Start Processing"
"9283.2588","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KR-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KSS-FY2013.CSV","Start Processing"
"9216.198","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KSS-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KSU-FY2013.CSV","Start Processing"
"9600.0951","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\KSU-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\K-FY2014.CSV","Start Processing"
"12416.3119","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\K-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KEY-FY2014.CSV","Start Processing"
"11199.9477","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KEY-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KHC-FY2014.CSV","Start Processing"
"49.8286","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KHC-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KIM-FY2014.CSV","Start Processing"
"9982.9909","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KIM-FY2014.CSV","End Processing"
"15.6402","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KLAC-FY2014.CSV","Start Processing"
"10150.0199","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KLAC-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KMB-FY2014.CSV","Start Processing"
"10564.5248","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KMB-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KMI-FY2014.CSV","Start Processing"
"9918.3667","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KMI-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KMX-FY2014.CSV","Start Processing"
"9799.9276","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KMX-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KO-FY2014.CSV","Start Processing"
"9633.1287","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KO-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KORS-FY2014.CSV","Start Processing"
"10132.7996","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KORS-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KR-FY2014.CSV","Start Processing"
"10716.8913","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KR-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KSS-FY2014.CSV","Start Processing"
"9949.4767","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KSS-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KSU-FY2014.CSV","Start Processing"
"10665.3721","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\KSU-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\K-FY2015.CSV","Start Processing"
"11515.2808","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\K-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KEY-FY2015.CSV","Start Processing"
"9718.0291","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KEY-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KHC-FY2015.CSV","Start Processing"
"4966.4103","129","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KHC-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KIM-FY2015.CSV","Start Processing"
"10566.6724","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KIM-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KLAC-FY2015.CSV","Start Processing"
"10078.7339","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KLAC-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KMB-FY2015.CSV","Start Processing"
"9870.9196","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KMB-FY2015.CSV","End Processing"
"15.6452","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KMI-FY2015.CSV","Start Processing"
"10071.1583","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KMI-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KMX-FY2015.CSV","Start Processing"
"9928.3902","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KMX-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KO-FY2015.CSV","Start Processing"
"10665.8827","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KO-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KORS-FY2015.CSV","Start Processing"
"9616.5426","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KORS-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KR-FY2015.CSV","Start Processing"
"9932.7534","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KR-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KSS-FY2015.CSV","Start Processing"
"9933.4576","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KSS-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KSU-FY2015.CSV","Start Processing"
"9999.4837","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\KSU-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\K-FY2016.CSV","Start Processing"
"10050.0992","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\K-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\KEY-FY2016.CSV","Start Processing"
"9566.4449","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\KEY-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\KHC-FY2016.CSV","Start Processing"
"9216.6267","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\KHC-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\KIM-FY2016.CSV","Start Processing"
"10199.8752","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\KIM-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\KLAC-FY2016.CSV","Start Processing"
