#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"93.7476","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\QCOM-FY2013.CSV","Start Processing"
"12326.0047","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\QCOM-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\QRVO-FY2013.CSV","Start Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\QRVO-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\QCOM-FY2014.CSV","Start Processing"
"8733.2798","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\QCOM-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\QRVO-FY2014.CSV","Start Processing"
"33.3753","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\QRVO-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\QCOM-FY2015.CSV","Start Processing"
"8566.4777","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\QCOM-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\QRVO-FY2015.CSV","Start Processing"
"8832.99","253","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\QRVO-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\QCOM-FY2016.CSV","Start Processing"
"9233.0134","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\QCOM-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\QRVO-FY2016.CSV","Start Processing"
"9783.0607","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\QRVO-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\QCOM-FY2017.CSV","Start Processing"
"10649.9525","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\QCOM-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\QRVO-FY2017.CSV","Start Processing"
"8866.7694","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\QRVO-FY2017.CSV","End Processing"
