#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"15.6241","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XEC-FY2013.CSV","Start Processing"
"10968.5122","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XEC-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XEL-FY2013.CSV","Start Processing"
"9065.4338","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XEL-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XL-FY2013.CSV","Start Processing"
"8834.5391","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XL-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XLNX-FY2013.CSV","Start Processing"
"9049.6241","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XLNX-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XOM-FY2013.CSV","Start Processing"
"9966.655","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XOM-FY2013.CSV","End Processing"
"0.5105","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XRAY-FY2013.CSV","Start Processing"
"10715.2474","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XRAY-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XRX-FY2013.CSV","Start Processing"
"10249.9161","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XRX-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XYL-FY2013.CSV","Start Processing"
"9099.4644","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\XYL-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XEC-FY2014.CSV","Start Processing"
"9716.8844","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XEC-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XEL-FY2014.CSV","Start Processing"
"8516.2202","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XEL-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XL-FY2014.CSV","Start Processing"
"8983.0649","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XL-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XLNX-FY2014.CSV","Start Processing"
"8533.2799","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XLNX-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XOM-FY2014.CSV","Start Processing"
"10316.3826","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XOM-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XRAY-FY2014.CSV","Start Processing"
"11248.0315","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XRAY-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XRX-FY2014.CSV","Start Processing"
"9135.1703","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XRX-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XYL-FY2014.CSV","Start Processing"
"9166.0863","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\XYL-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XEC-FY2015.CSV","Start Processing"
"9066.6565","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XEC-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XEL-FY2015.CSV","Start Processing"
"9109.9464","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XEL-FY2015.CSV","End Processing"
"0.5007","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XL-FY2015.CSV","Start Processing"
"9635.607","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XL-FY2015.CSV","End Processing"
"0.5113","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XLNX-FY2015.CSV","Start Processing"
"8952.3083","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XLNX-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XOM-FY2015.CSV","Start Processing"
"9066.3349","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XOM-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XRAY-FY2015.CSV","Start Processing"
"8416.2937","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XRAY-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XRX-FY2015.CSV","Start Processing"
"9764.4182","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XRX-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XYL-FY2015.CSV","Start Processing"
"9084.2524","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\XYL-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XEC-FY2016.CSV","Start Processing"
"9034.3804","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XEC-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XEL-FY2016.CSV","Start Processing"
"10166.5104","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XEL-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XL-FY2016.CSV","Start Processing"
"9882.1349","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XL-FY2016.CSV","End Processing"
