#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"15.6241","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\YUM-FY2013.CSV","Start Processing"
"10685.3802","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\YUM-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\YUM-FY2014.CSV","Start Processing"
"9532.1878","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\YUM-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\YUM-FY2015.CSV","Start Processing"
"8767.546","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\YUM-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\YUM-FY2016.CSV","Start Processing"
"9116.1763","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\YUM-FY2016.CSV","End Processing"
"15.635","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\YUM-FY2017.CSV","Start Processing"
"10033.3195","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\YUM-FY2017.CSV","End Processing"
