#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ZBH-FY2013.CSV","Start Processing"
"10483.1803","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ZBH-FY2013.CSV","End Processing"
"15.6522","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ZION-FY2013.CSV","Start Processing"
"8716.565","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ZION-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ZTS-FY2013.CSV","Start Processing"
"7849.6268","234","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ZTS-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ZBH-FY2014.CSV","Start Processing"
"8533.2012","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ZBH-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ZION-FY2014.CSV","Start Processing"
"9130.0405","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ZION-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ZTS-FY2014.CSV","Start Processing"
"9519.5547","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ZTS-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ZBH-FY2015.CSV","Start Processing"
"10948.8421","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ZBH-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ZION-FY2015.CSV","Start Processing"
"9673.6759","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ZION-FY2015.CSV","End Processing"
"1.001","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ZTS-FY2015.CSV","Start Processing"
"9026.8755","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ZTS-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ZBH-FY2016.CSV","Start Processing"
"8833.475","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ZBH-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ZION-FY2016.CSV","Start Processing"
"8299.5708","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ZION-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ZTS-FY2016.CSV","Start Processing"
"8200.0155","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ZTS-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ZBH-FY2017.CSV","Start Processing"
"8416.6121","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ZBH-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ZION-FY2017.CSV","Start Processing"
"9699.6171","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ZION-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ZTS-FY2017.CSV","Start Processing"
"10533.374","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ZTS-FY2017.CSV","End Processing"
