#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"11.0002","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SBAC-FY2013.CSV","Start Processing"
"11836.2307","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SBAC-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SBUX-FY2013.CSV","Start Processing"
"11153.9202","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SBUX-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SCG-FY2013.CSV","Start Processing"
"10287.015","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SCG-FY2013.CSV","End Processing"
"0.5","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SCHW-FY2013.CSV","Start Processing"
"10844.7597","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SCHW-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SEE-FY2013.CSV","Start Processing"
"10707.4173","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SEE-FY2013.CSV","End Processing"
"0.9744","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SHW-FY2013.CSV","Start Processing"
"9647.7166","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SHW-FY2013.CSV","End Processing"
"0.497","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SIG-FY2013.CSV","Start Processing"
"9744.6396","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SIG-FY2013.CSV","End Processing"
"1.016","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SJM-FY2013.CSV","Start Processing"
"10069.8075","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SJM-FY2013.CSV","End Processing"
"0.9985","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SLB-FY2013.CSV","Start Processing"
"9796.7996","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SLB-FY2013.CSV","End Processing"
"1.0097","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SLG-FY2013.CSV","Start Processing"
"10286.0149","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SLG-FY2013.CSV","End Processing"
"0.9996","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SNA-FY2013.CSV","Start Processing"
"9522.2707","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SNA-FY2013.CSV","End Processing"
"0.4992","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SNI-FY2013.CSV","Start Processing"
"9604.1206","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SNI-FY2013.CSV","End Processing"
"0.5018","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SNPS-FY2013.CSV","Start Processing"
"9243.956","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SNPS-FY2013.CSV","End Processing"
"0.497","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SO-FY2013.CSV","Start Processing"
"9489.2355","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SO-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SPG-FY2013.CSV","Start Processing"
"11019.446","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SPG-FY2013.CSV","End Processing"
"0.5021","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SPGI-FY2013.CSV","Start Processing"
"9823.9267","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SPGI-FY2013.CSV","End Processing"
"0.9733","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SRCL-FY2013.CSV","Start Processing"
"9706.7386","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SRCL-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SRE-FY2013.CSV","Start Processing"
"9609.233","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SRE-FY2013.CSV","End Processing"
"2.2533","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\STI-FY2013.CSV","Start Processing"
"11327.1141","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\STI-FY2013.CSV","End Processing"
"0.9966","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\STT-FY2013.CSV","Start Processing"
"9743.6641","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\STT-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\STX-FY2013.CSV","Start Processing"
"8961.8543","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\STX-FY2013.CSV","End Processing"
"0.5003","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\STZ-FY2013.CSV","Start Processing"
"9207.9324","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\STZ-FY2013.CSV","End Processing"
"0.4996","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SWK-FY2013.CSV","Start Processing"
"9416.2904","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SWK-FY2013.CSV","End Processing"
"0.9974","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SWKS-FY2013.CSV","Start Processing"
"9578.4412","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SWKS-FY2013.CSV","End Processing"
"1.0105","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYF-FY2013.CSV","Start Processing"
"76.7796","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYF-FY2013.CSV","End Processing"
"0.5099","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYK-FY2013.CSV","Start Processing"
"9897.0549","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYK-FY2013.CSV","End Processing"
"0.5004","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYMC-FY2013.CSV","Start Processing"
"9287.7016","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYMC-FY2013.CSV","End Processing"
"0.4982","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYY-FY2013.CSV","Start Processing"
"10143.374","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYY-FY2013.CSV","End Processing"
"0.4971","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SBAC-FY2014.CSV","Start Processing"
"10889.5791","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SBAC-FY2014.CSV","End Processing"
"0.5","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SBUX-FY2014.CSV","Start Processing"
"10593.4074","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SBUX-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SCG-FY2014.CSV","Start Processing"
"11709.5885","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SCG-FY2014.CSV","End Processing"
